"California Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",360.1283705169098,349.9276627365363,362.3553876969234,350.53311436577997,363.6513636393963,351.58996943617626,350.9279096022096,355.5698608437443,369.35497621509535,371.712358487815,387.1150559857214,388.44668698872937,385.58179005522425,378.684601990323,395.2741698988273,388.12541888325075,392.36727598062316,395.747206256774,377.5845509872711,360.6377941231775,351.21335149754975,339.11977844017264,346.364299342985,349.12656491349304,343.5346681555936,348.90502652862045,347.7353877376687,348.026237630809,349.52622628555343,351.20238804522035,301.4160699946424,323.2451857117434,321.739939290568
"Agriculture",28.702756368817532,27.242840040949293,27.548955686085787,28.447098418877353,28.983773375125647,30.46562213843883,31.099406085810987,31.626771121528048,31.297673293717345,32.353979731959974,33.9662046343832,34.90362065771094,36.247174484555096,36.417468751474274,36.20394990094299,35.938339178986816,36.90376802124628,37.43322025544206,38.64917464762169,37.1601313007797,37.408025292533985,37.07868410901601,36.89179388197729,36.77037969234721,37.29828533889203,36.821745749709216,36.25693821862364,35.63832962641604,35.26013363338939,34.79686608499181,34.93161276121177,33.72940849140454,33.37006652385505
"Industrial processes and product use",14.71772603623586,13.639628662961004,13.771898601883061,12.998524083522906,13.967619531641846,15.501129208587487,16.725139421688475,17.48703199975178,18.023837121917268,18.726182456138886,19.443504467243468,18.779220791239062,19.111074219333613,19.106645740863424,19.691916915163326,19.662182152344577,20.033465490064327,20.671165719786032,20.174558803350894,15.15572434315321,16.84904133427528,16.955949201496487,15.694399022615967,17.027211509234245,17.24330548144253,17.918274874227674,17.535510657669494,18.891392543298334,17.045887451549117,17.919880663398036,18.761770610141728,18.89385202134003,19.31847656418139
"Waste",39.46077055113304,39.06796022470104,38.086524620956034,34.47910003031791,33.03254916249311,31.47596661842484,29.53533441857009,26.3996237454823,24.51184898681752,23.50843815562773,23.73777919238463,22.470115284674726,22.09341300449479,22.624178180381513,22.017100486237506,21.662264739023865,21.04019501058249,20.63925289473081,20.31890615405148,19.439816545886877,16.099806796946094,16.78604399169284,17.039946442176337,16.39956557990771,16.32074565866397,16.008879810965425,14.52650799298771,15.436188152386006,15.40567362970463,15.85781575260327,16.05970537676994,15.56995728505169,15.297209453849641
"Land use, land-use change, and forestry",-37.80381540002804,-38.749263747717514,-38.30923172051406,-37.12456379037388,-36.45682126800046,-36.8260465396338,-36.04037964228498,-36.9887026905285,-36.912875577377314,-35.28763624605846,-35.75071810295027,-35.49252085870079,-35.49264002637596,-35.04957844502841,-35.96789935225928,-35.4536806369033,-33.83726465977444,-34.94588531750425,-32.06111409552266,-34.13588425586837,-35.11476986867062,-33.73060708585524,-33.49423577278046,-33.447365014777375,-33.58699305418712,-31.872787168456128,-33.11489621902756,-31.068584967056204,-30.31281403536446,-31.935534378019348,-22.463283098354104,-24.079666047324064,-32.72357991675519
"Net total",405.20580807306817,391.12882791743016,403.4535348853342,389.3332731081243,403.17848444065646,392.2066408619936,392.24740988599416,394.09458501997796,406.27546004017023,411.0133225854831,428.51182617678245,429.1071228636533,427.54081173723176,421.78331621801385,437.21923784891186,429.9345243167027,436.50743984274175,439.54495980922866,424.6660764967725,398.25758205712896,386.4554550526345,376.20984865652275,382.4962029169742,385.8763566802048,380.81001158040493,387.7811397950667,382.93944838792197,386.92356298585315,386.9251069648321,387.8414161681941,348.7058756444118,367.35873746221563,357.00211191569883
"Gross total",443.0096234730962,429.8780916651477,441.76276660584824,426.45783689849816,439.6353057086569,429.0326874016274,428.2877895282791,431.08328771050645,443.1883356175475,446.30095883154155,464.2625442797327,464.5996437223541,463.03345176360773,456.8328946630423,473.18713720117114,465.388204953606,470.3447045025162,474.4908451267329,456.7271905922952,432.3934663129973,421.5702249213051,409.940455742378,415.9904386897547,419.32372169498217,414.39700463459207,419.6539269635228,416.05434460694954,417.99214795290936,417.23792100019654,419.7769505462134,371.1691587427659,391.4384035095397,389.725691832454
