"Minnesota Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",83.40999525021965,83.11629571466652,84.17418442173027,88.83451502153191,90.37216455206784,93.44969807538726,98.13715093364422,96.39636179287417,97.08399683524414,97.25494264523574,102.98087088761572,99.54821371881874,101.80360276654456,106.41920561270693,104.60461883113666,104.64888784991413,102.31812650985984,103.37239297889946,103.02358360609524,95.33980942534835,92.63254740236864,91.57503152750812,85.53054162913737,89.97846030961415,94.92469395389787,88.50121811018587,91.03855386704164,90.33558511503408,93.76974229102375,90.64303486744589,77.65887799410302,82.5599914454279,84.26523893341052
"Agriculture",24.48282502545239,23.79411352925689,22.262617502569256,23.939681265845643,22.853279944694005,23.74247206628819,22.862919894422838,22.50030958666832,23.75642184021831,23.74959146505418,22.979317393686138,21.64199291542042,22.859241865057463,22.96686250814932,24.6041106434804,24.205536104885137,22.671824812826625,24.111394075747356,24.33436612523942,22.995057539486677,24.378458045503233,23.25703361376549,23.66412398765987,25.643215893763415,26.609912876805144,26.847580010415854,26.352253045860593,25.644929088710256,28.361128744036243,25.84851910317773,24.765294359336306,25.312907481618424,24.76011570173315
"Industrial processes and product use",3.649851680458893,3.6945048486980423,3.783180054070256,4.0124875021086295,4.303836035195966,4.804592940303471,4.677516993134978,4.473251166598986,4.13268443590126,3.809973514001371,3.2499154435413002,3.2901823702846738,3.384204545914883,3.4961207120516384,3.6326824622486042,3.6355157218828538,3.80543600373543,4.041433845666617,4.022376023291743,4.0966804225281175,21.390891662631397,21.732125500794233,23.053826808571834,22.490426613731767,24.283405657490594,16.78981436448248,16.155011298671617,17.55176684096192,19.204912662681064,18.724329821663126,17.42336219139166,17.742220715949358,16.807939317330344
"Waste",2.3613183932873034,2.4856031928968827,2.4710486523041215,2.3828281340663304,2.3531961836839335,2.342094343512605,2.543872967839036,2.60030650416002,2.6023629317599215,2.660713724945174,2.5583355648492927,2.6080463705108943,2.5257703877679343,2.64318241563734,2.6117836551766445,2.5897592054400658,2.69156185834694,2.6251589599578304,2.550333462081729,2.537311395289058,2.3414815994294336,2.3198024761298965,2.3784648363903655,2.322051779972491,2.3844077790034053,2.4191321313903895,2.2397746239078526,2.2817488378655635,2.319994314228605,2.4992388574844204,2.3072197089821977,2.2617566488519194,2.2503373657774315
"Land use, land-use change, and forestry",-7.207166033468927,-8.338190159038719,-10.029542724524832,-6.842865202705386,-7.528312303382933,-7.9040855319770085,-9.044527607678834,-7.261373197220987,-6.107452117859234,-7.01949008401064,-7.305804890553064,-8.791643085643656,-8.978781055039322,-9.36416535983708,-9.34099575667073,-8.401601859775637,-9.257429396624719,-9.775966142261504,-11.803966487734376,-10.037600775309341,-9.26441758286831,-11.44289880231181,-11.488887273301923,-12.859678680183148,-10.470378933154125,-10.13612932314425,-10.701695021660266,-10.670742582985513,-10.55194510914855,-11.345904799215345,-9.950503406426083,-10.197724346004907,-10.291107593673788
"Net total",106.69682431594931,104.75232712647963,102.66148790614908,112.32664672084712,112.35416441225883,116.43477189351451,119.17693318136226,118.70885585308051,121.46801392526439,120.45573126522582,124.46263439913942,118.29679228939106,121.5940385102455,126.16120588870814,126.11219983537157,126.67809702234655,122.22951978814412,124.37441371800976,122.12669272897377,114.93125800734286,131.47896112706442,127.44109431588592,123.13806998845753,127.57447591689868,137.73204133404286,124.42161529333035,125.08389781382144,125.1432872995863,133.1038329028211,126.36921785055581,112.20425084738712,117.67915194584269,117.79252372457765
"Gross total",113.90399034941824,113.09051728551835,112.69103063067391,119.1695119235525,119.88247671564176,124.33885742549151,128.2214607890411,125.9702290503015,127.57546604312363,127.47522134923646,131.76843928969248,127.08843537503472,130.57281956528482,135.5253712485452,135.4531955920423,135.0796988821222,131.48694918476883,134.15037986027127,133.93065921670814,124.9688587826522,140.74337870993273,138.88399311819774,134.62695726175946,140.43415459708183,148.202420267197,134.5577446164746,135.7855928354817,135.81402988257182,143.65577801196966,137.71512264977116,122.1547542538132,127.8768762918476,128.08363131825143
