"Oklahoma Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",118.7212207186057,118.80367309484323,120.50019767688501,123.48610814831792,120.80480712375692,121.75497415743844,122.67953218007587,123.11201748836375,121.46434306845399,118.91889356903961,123.15498397198013,124.58161844352097,124.20940580795768,125.63828642676118,124.34685434114552,130.10150136517657,131.1818339042073,131.4205271281876,135.05671410510797,128.34601458924433,126.98370599149507,128.97959036922327,125.69361236279944,126.23722115032653,127.80138262179784,122.95872472786262,118.27525434731952,116.27111258246825,121.08584725560239,112.27030611690837,100.21668881658954,103.94905471034181,104.16026317055085
"Agriculture",16.728251319814216,17.756751076567873,17.114920367476014,17.111564721705946,18.221435436711037,17.788770981527904,19.510390268276666,18.64954759614716,18.849320184276408,18.776908252820316,17.941479354881825,18.568877706182423,18.97135988360521,19.215897881340943,19.578031420524436,18.92717944705021,18.57975071533457,19.970337897333405,19.681624388974285,20.074077454888965,19.810282451792077,20.156463635814237,17.15817623734896,18.94991489486174,18.172466998068096,19.028791701672628,18.601184712527107,19.898765769794355,19.810342041503485,20.148878734617533,18.78450251992493,19.423156635977243,19.089145394533844
"Industrial processes and product use",5.323134593820451,5.3479048102224,5.552370370824597,5.891860027089814,6.253894392330423,6.592134942084312,6.830143613592539,7.094516857267211,7.109986571576028,6.999296885310062,6.751131670116936,5.820743700864551,6.185394434764543,6.077429098324545,6.470397328759102,6.6594870015327805,6.912239639381346,7.519558048346778,7.221715084099981,6.867069569542783,7.443123280980076,7.492735294346539,7.620215439050283,7.561478926028289,7.772529973678469,7.763045326602234,7.8338363636013035,8.070008411870582,8.030270723697306,7.714855246137194,8.214032508768284,7.242418129281752,8.564531395285613
"Waste",3.3438122756246007,3.3811195286929485,3.2733920039293407,3.0548660848030567,2.9577751503392347,2.849842363311331,2.7664046285423356,2.5724666163406487,2.3822965490899755,2.3680034397869414,2.2386585842670486,2.218166724153442,2.2054873096258367,2.1630009398711567,1.9984566843228373,1.9512384112019727,1.964735163812788,2.1486454584255403,2.3120519238399058,2.098107373317611,2.8921273812814094,2.966557034733352,3.043384180415411,2.957760958784765,2.9346800325367206,3.206205005604791,2.8885848855068668,2.872491440080503,2.8937885926203006,2.9385613292016726,2.790044685559495,2.5150798268526273,2.4715094284273804
"Land use, land-use change, and forestry",-23.621168410702417,-22.188119653003028,-21.384142940850474,-21.41002328345583,-21.862234144445246,-21.047877638517285,-20.474967683091887,-21.235221217521424,-20.34411124288995,-19.158224521460742,-20.356105972696454,-18.97329415022759,-17.673538664851147,-18.092281093467605,-17.71291700899714,-16.626800049335753,-15.767783566673863,-12.934092347845016,-14.025823193400399,-13.151199413197611,-12.867992218961568,-13.013440096780835,-11.23135927853722,-10.861225359691254,-10.049379960509293,-9.755109611925285,-9.676985492501103,-9.176235247823005,-9.237905413024107,-8.749401877887447,-8.670952201653126,-8.03274597149723,-7.6574899140268275
"Net total",120.49525049716254,123.10132885732342,125.0567374782645,128.13437569846093,126.37567795869239,127.93784480584469,131.31150300739554,130.19332734059734,129.46183513050647,127.9048776254962,129.7301476085495,132.2161124244938,133.8981087711021,135.00233325283023,134.68082276575473,141.0126061756258,142.87077585606212,148.12497618444826,150.24628230862174,144.2340695737961,144.26124688658706,146.58190623733657,142.28402894107688,144.8451505703101,146.63167966557185,143.20165714981698,137.9218748164537,137.93614295639068,142.58234320039938,134.32319954897733,121.33431632918912,125.09696333095621,126.62795947477085
"Gross total",144.11641890786495,145.28944851032645,146.44088041911496,149.54439898191674,148.23791210313763,148.98572244436198,151.78647069048742,151.42854855811876,149.8059463733964,147.06310214695694,150.08625358124596,151.18940657472137,151.57164743595325,153.09461434629785,152.39373977475188,157.63940622496153,158.638559422736,161.05906853229328,164.27210550202213,157.3852689869937,157.12923910554863,159.5953463341174,153.5153882196141,155.70637593000134,156.68105962608115,152.95676676174227,147.5988603089548,147.11237820421368,151.82024861342347,143.07260142686476,130.00526853084224,133.12970930245345,134.28544938879767
