"Vermont Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",5.747284951700109,6.015606435793735,6.394642794049596,6.393633593974563,6.246008512805657,6.2558326323410425,6.6794064142727265,6.742731512245352,6.443858706005673,6.327963063221834,6.839899295352148,6.852025502847374,6.532726776602791,6.847930025227536,7.210979834867382,6.91576121277442,6.864047553541611,6.637619523742439,5.933864267793837,6.231315499453685,5.979677713013887,5.965151437606758,5.47484452950588,5.727848014120259,5.911076539019368,6.102037006362984,5.84588363238715,5.737134938451897,5.9554488882138275,6.144335717613983,5.446708326243207,5.495390414943779,5.545444724644594
"Agriculture",1.370517122628302,1.317254853432539,1.3025460329075889,1.3683643675555899,1.3367855022413582,1.3308983690889613,1.3611254300728723,1.3471504357553117,1.4719549084483965,1.493027025848578,1.4657224847847203,1.4852324165159423,1.494367648228554,1.4937828211077195,1.4673084500147193,1.4774997450885785,1.4479798246144173,1.4345644736683774,1.4475257445548044,1.4552519805399244,1.4481072239785773,1.4803695905616043,1.47122941649213,1.5327736071969358,1.5304871345337276,1.5847948682607313,1.6048243026370244,1.6109226147157594,1.6027555579945276,1.5646033471799925,1.5406958083561653,1.5111119699989348,1.5063854400948364
"Industrial processes and product use",0.38821615836782336,0.36926648446033655,0.370421022312912,0.4055076600914715,0.4416208509473413,0.5660189068498892,0.6265560466382907,0.6550613768674163,0.7351859352974661,0.7747907984981696,0.65939850536397,0.5898741254804826,0.6120333904462623,0.5805645860009719,0.6265827532984429,0.6475669250517695,0.70873150524869,0.6958881540711085,0.6755874330129646,0.6735583447775692,0.7514629277382572,1.0130246192537722,0.9545188914774063,0.9911878017792364,0.96670496807688,0.9976207954061873,1.0459918568445163,0.9261175592234702,0.8530381212016817,0.9188157044053618,0.9261311810711762,0.9942747983230622,0.9520740956636103
"Waste",0.15592935473484446,0.15879452008397082,0.16163785386281523,0.2454868756363437,0.23075160750975837,0.23354487776204017,0.2697207960679589,0.25950796568582263,0.2913161594511628,0.288295905426335,0.31166405898362715,0.30790987167741685,0.2982016630177672,0.2997784251995703,0.2939310232134104,0.33051844809395936,0.3341046368468688,0.33093439155141446,0.3240899136653575,0.33146222012132925,0.3249539844990252,0.31418320291763985,0.3152638431083474,0.28838823034008004,0.2765445609556068,0.2854583152881894,0.25417625718486214,0.2497348374148542,0.25846762382525407,0.27064520165709477,0.3370009064195479,0.2969207426430295,0.2979683046586864
"Land use, land-use change, and forestry",-7.1356832463442315,-7.0623743823137435,-6.964486995280324,-6.951138635076921,-6.872951580482082,-6.762038904725219,-6.697874963442348,-6.6188727847863955,-6.595797578473234,-6.552369279934717,-6.393234150648621,-6.468905128242588,-6.361502953940294,-6.338361932185799,-6.286233932445511,-6.321794194095381,-6.252667164355589,-6.18722700052287,-6.206551104397107,-6.157390043006408,-6.12750273304777,-6.060983367873518,-6.041681623828868,-5.987569009349026,-5.903127720986363,-5.929697143461662,-5.823935871901745,-5.8553113192650885,-5.780880132022618,-5.726478849954701,-5.690020971047949,-5.634581338070815,-5.582106028789874
"Net total",0.526264341086847,0.7985479114568381,1.2647607078525889,1.461853862181048,1.3822148930220326,1.6242558813167163,2.2389337236095015,2.385578505767505,2.346518130729465,2.3317075130601994,2.883450193835844,2.7661367882786276,2.5758265243550813,2.8836939253499976,3.3125681289484445,3.0495521369133476,3.1021963558959964,2.9117795425104687,2.1745162546298555,2.534198001886101,2.3766991161819764,2.711745482466257,2.174175056754896,2.552628644087485,2.7816854815992214,3.0402138418564286,2.926940177151809,2.6685986305408926,2.8888300592126726,3.1719211209017306,2.5605152510421467,2.663116587837992,2.7197665362718526
"Gross total",7.6619475874310785,7.860922293770582,8.229247703132913,8.412992497257969,8.255166473504115,8.386294786041935,8.93680868705185,9.0044512905539,8.942315709202699,8.884076792994916,9.276684344484465,9.235041916521215,8.937329478295375,9.222055857535796,9.598802061393956,9.371346331008729,9.354863520251586,9.099006543033338,8.381067359026963,8.691588044892509,8.504201849229746,8.772728850339774,8.215856680583764,8.540197653436511,8.684813202585584,8.96991098531809,8.750876049053554,8.523909949805981,8.669710191235291,8.898399970856431,8.250536222090096,8.297697925908807,8.301872565061727
