"Ohio Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",256.4247308673388,256.2270243747267,260.556790870702,266.50937352542906,262.9923162197164,266.6040551751376,277.6575425369132,273.05442554408637,273.4054324136077,272.15008676571483,278.51841527218437,266.8766554224677,273.5138642474815,279.54907738870395,274.5438491455081,280.00241126764615,270.90052036576805,274.2319511505497,269.4831086944713,246.4260804198202,251.91006279196233,239.1178201097138,217.8633402463953,229.695096124472,231.29312301202236,214.50867233880751,208.4009425126924,210.08235063949152,217.46565606943312,200.22944427533523,192.17036412208373,198.86956247822806,199.7860970677807
"Industrial processes and product use",21.98607897141727,20.201060946611463,20.615397354505617,19.997052200603548,20.456134184845524,21.78428277633119,21.686020492538585,22.84637851281073,22.933217269557225,23.74896430659236,23.69063580770568,21.473128556239743,20.28900432580997,18.713218832027806,19.844212530066105,20.23884934472924,20.701438493083543,21.801420860412442,21.127911769299175,15.02633051604744,13.946866129818982,14.521897226607676,14.568923610110403,14.079927857836807,13.095023630506592,13.439051069597804,12.874978386555737,13.267718789958346,12.091172039845942,11.683824293193021,11.036922984472394,15.941819260943298,16.25924804321416
"Agriculture",13.199236892532749,11.14843861028125,12.227710100714237,11.443269524168086,11.77074582054692,13.310942136342721,12.464669965677746,11.128667768726245,11.238230987207297,11.289750817889077,11.589982201555278,12.897283822827134,12.071533655623444,11.29712981859762,11.399266402045685,11.957644714664127,11.658044866284124,11.6016101352688,12.502770862508763,12.449060466114075,12.661566974273407,12.574805582492736,11.350635870475537,13.115252835488178,12.033019137133328,13.304621350525208,12.575197581546805,12.83271070589213,13.455448215256345,12.686139778776882,12.07817123852447,12.29319585916241,12.05481265448667
"Waste",10.957628467164438,12.232496946025618,11.705551501984347,10.98071820848237,10.716770220020647,10.432044479033816,10.373980470187846,9.473041277840654,9.539800798798883,8.940599869913198,8.851377703381829,8.442002821730464,8.228205210803052,8.214187044800127,8.057148825124713,7.734202793391833,7.7456884129981,7.712857091448643,7.764314139347698,8.020237209947823,8.813547582236124,7.777115339402352,8.742417711044588,8.559713381221579,7.979293686862119,7.639675502110531,6.3825057799220914,6.122493086216484,6.5014666079907535,6.585957402952597,7.198118022470229,8.878125709542703,8.720386763083482
"Land use, land-use change, and forestry",-20.06497123203873,-20.08768361682292,-20.084642388907803,-19.772240754453758,-20.104957359976652,-19.164128096481925,-20.523256772240074,-20.253539316767746,-20.01100847374229,-20.213612335863047,-19.789193163873417,-20.722501110455497,-20.3629957091485,-20.191603671805186,-20.258889180979075,-19.738276362080068,-19.289035904436762,-20.846553472286466,-19.50236983078713,-19.761576439942456,-19.905655895398514,-20.529996109527467,-19.1196256810651,-18.2277236221602,-19.131536040790454,-19.096690027210744,-18.384994346309902,-17.447547400044567,-17.97895068106846,-17.505680003476513,-16.946506639747852,-17.539728809818232,-17.29170351063301
"Net total",282.5027039664145,279.72133726082205,285.0208074389984,289.1581727042293,285.8310090851528,292.9671964703634,301.6589566930773,296.24897378669624,297.10567299542885,295.9157894242464,302.8612178209538,288.9665695128096,293.73961173056944,297.5820094123243,293.58558772176553,300.1948317583513,291.71665623369705,294.50128576539316,291.3757356348398,262.1601321719871,267.42638758289235,253.46164214868912,233.40569175696075,247.2222665768584,245.26892342573396,229.7953302338303,221.84862991440716,224.85772582151392,231.5347922514577,213.67968574678122,205.537069727803,218.44297449805825,219.52884101793205
"Gross total",302.56767519845323,299.80902087764497,305.1054498279062,308.93041345868306,305.93596644512945,312.1313245668453,322.1822134653174,316.50251310346397,317.1166814691711,316.12940176010943,322.6504109848272,309.6890706232651,314.10260743971793,317.77361308412947,313.8444769027446,319.93310812043137,311.00569213813384,315.34783923767964,310.87810546562696,281.92170861192955,287.33204347829087,273.9916382582166,252.52531743802584,265.4499901990186,264.4004594665244,248.89202026104104,240.23362426071705,242.30527322155848,249.51374293252616,231.18536575025774,222.48357636755082,235.98270330787648,236.82054452856505
