"Michigan Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",186.3026642760698,186.85594989051955,187.151313137353,187.74237631523135,191.91760011834268,194.17151834653578,199.52812797460442,196.8930962540153,195.92253211322702,200.85537245064185,199.43905349547165,195.27038967531848,196.14307550785858,194.12300708399752,195.78933712749821,196.35610984720947,184.29055777613738,186.35614543344238,179.29259411797065,169.39620354922707,168.47650963717405,163.09806371546966,157.01631450717454,165.01056135965862,164.9777597421324,165.12226193549088,156.0747888958295,156.18999803647816,164.0786915251029,158.7162505306777,137.8782338302977,147.69982538300286,154.23816375994116
"Industrial processes and product use",12.792420916782891,11.637907115502133,11.809174009849194,11.743700064497535,12.44502438280818,13.632654103625441,13.214800477348522,13.63977747887998,13.32587239806497,13.22963916137525,13.341943203866533,13.330770045328393,13.039254114522942,12.777699235910022,12.54583940194559,13.083083594219516,13.044425193872959,13.026722158435017,12.397596567800477,9.758479789712881,20.422813264813275,20.47005719406978,18.88095322822343,18.079710518718326,17.934884705400236,17.75979544058926,17.49724583242969,14.848595530773922,13.922962720752894,14.050342030402492,12.837111665126656,13.641743631358244,13.257536569066561
"Agriculture",9.05100686385039,8.810789559718458,8.81907277424815,8.626140609541384,8.838411974663138,8.623563227339174,8.64844626346533,8.278701639664865,8.371117808438553,9.08302570858842,8.878898758739012,8.524859855555363,8.532860390673394,8.830577805808705,8.840549450210299,8.399970397401084,9.219475364406035,9.076497061494633,9.355263798287904,8.85685465826982,9.426108410581076,9.69413815807054,9.442917495505606,10.51842991388754,10.47516810197772,10.315824389347476,10.863815795186408,11.180488779671675,10.944834143725494,10.667684914075007,10.51051813891888,10.670336962142242,10.36781430569741
"Waste",12.226266259112633,12.575504218727673,12.564732738743588,13.555666222534748,13.288937113110897,12.873640615274812,12.734170436625512,11.769431824636643,11.370959160052143,11.214689653868867,10.85101499573648,10.433195737075367,10.284209220375901,10.087086928710995,10.242173684733936,9.971464666771057,9.349988439835494,9.234830296722519,8.955764772901812,8.63896272969038,8.146093230025773,7.901836888253865,7.501963053578039,7.092005355361763,7.045434368190615,7.4228491206002465,6.97806906266736,7.033766348180546,7.147801108075197,7.038582885801327,6.927443779242884,7.561241156019551,7.4317092044114865
"Land use, land-use change, and forestry",-17.713165908883074,-17.500561427554665,-18.064950406263875,-17.26462658600134,-17.836285869940202,-17.53523125150703,-18.028367207240347,-18.32746032149917,-18.446892180083186,-17.454747804523738,-18.02309801132418,-18.688617168002004,-18.907379982996417,-18.967217931820443,-18.791538535525632,-18.983245580550552,-19.193237601265945,-19.196942414899546,-19.50031313736979,-20.025033936884626,-19.68850103351639,-20.492589373980124,-20.026517006225518,-19.918966598060784,-20.348115363696405,-20.384340026639336,-20.403943976370993,-20.067597678652767,-19.98082728057108,-19.16434140455708,-19.346549379851986,-18.961203830414817,-18.761341882792788
"Net total",202.65919240693265,202.37958935691316,202.27934225393005,204.4032566258037,208.65368771898468,211.76614504126815,216.09717794480343,212.25354687569762,210.5435892996995,216.92797916995065,214.48781244248948,208.8705981452756,209.09201925043442,206.8511531226068,208.62636112886238,208.82738292505059,196.71120917298595,198.49725253519497,190.50090611959104,176.6254667900155,186.78302350907776,180.6715065818837,172.8156312782561,180.78174054956543,180.0851315540046,180.23639085938854,171.00997560974199,169.18525101645153,176.1134622170854,171.30851895639947,148.80675803373413,160.6119433021081,166.53388195632382
"Gross total",220.37235831581572,219.88015078446782,220.34429266019393,221.66788321180502,226.4899735889249,229.3013762927752,234.12554515204377,230.58100719719678,228.9904814797827,234.3827269744744,232.51091045381366,227.5592153132776,227.99939923343084,225.81837105442725,227.41789966438802,227.81062850560113,215.90444677425188,217.69419495009453,210.00121925696084,196.65050072690013,206.47152454259415,201.16409595586384,192.84214828448162,200.70070714762622,200.43324691770098,200.62073088602787,191.41391958611297,189.2528486951043,196.0942894976565,190.47286036095656,168.1533074135861,179.5731471325229,185.2952238391166
