"South Carolina Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",63.66153824587686,63.11006948934957,63.59883484496125,68.44022338790153,69.49337460002431,68.07105228933105,72.18321124369537,73.98987108342844,78.02052874001953,81.71292903455839,84.80881460091364,82.86644133106607,84.12873684132764,84.81849615571652,90.90775458998093,89.90962641076587,90.26815507685424,90.04816805086391,88.39411949772983,83.14818547743211,86.25612578082966,82.28808090326945,75.78518260032334,71.56729170871148,75.58344321174029,74.19130074061903,73.1056727172948,70.62638349217946,74.68603712590765,70.40865390306875,64.36126178674829,70.62088947370756,69.3541546552176
"Industrial processes and product use",4.343816657137777,4.0690855198988105,4.049160358096623,3.8223506367820623,3.8537013800468123,4.223358179116162,4.670654024872432,4.851021519592743,4.8854736181055145,5.0038866659140275,5.123285187453146,5.056313129497241,4.681961454680041,5.23085460322057,5.748591311132807,5.950644240348972,6.705451048293273,7.162096906435291,6.601248372277745,5.821685691418346,4.732395723695598,4.76244027442225,5.36873961199087,5.083447008707329,5.334186254532725,5.668429780728563,5.776443502454345,5.779109189805025,6.316383852358841,7.089321987679764,6.333826362649553,6.534268148996634,7.16162102693458
"Waste",2.384354623423049,2.6149613779121004,2.6249110180982536,2.633441116247164,3.8392274546762444,3.5680963087025406,3.164815933256023,3.0432488230118997,3.169919621221185,3.0485736403242827,3.025891865177051,2.877269015737879,3.0347114238945903,3.1118771312688307,2.9843055654681976,2.934006212165119,2.9073852759004475,2.760548795547306,2.69232802973271,2.5534214959051016,2.8879420617839315,2.4882700061877987,2.8380905361213937,2.6993319083269407,2.9812451569474976,2.8301225243089614,2.913296371493243,2.767153688965217,2.85724710224754,2.6918463112103446,2.7998275633516023,2.939290813360903,2.907105103762984
"Agriculture",2.715085467591989,2.648513736853299,2.572868572736035,2.59161051898992,2.799873437955968,2.635355178772491,2.6946858895118084,2.6640244155755672,2.558481690740782,2.7048071598842167,2.6084707503475126,2.6522262117542863,2.7162586715331187,2.5938652011724965,2.5345746611157995,2.639707017212014,2.44202317330676,2.4709720244343405,2.503164046793168,2.325787290900561,2.3043801297331172,2.2642056336916707,2.3024093530456944,2.2706982336369994,2.1992802801905125,2.253648233800538,2.26751389335575,2.2144898853454884,2.337694637083533,2.2021291415082107,2.327130787765194,2.119973513910096,2.0450555663079757
"Land use, land-use change, and forestry",-20.826810339242968,-20.51110517802202,-20.75037935009189,-20.845928668790208,-20.71966539239079,-20.94005644119796,-21.114675762074103,-21.3141006204437,-21.758805929263886,-21.67969035921644,-21.903494124860686,-22.409558592099003,-22.519400809765816,-21.854788465963097,-21.461400159618652,-21.05786939847631,-20.84047700005103,-20.50835921170787,-20.020540848275292,-20.103042940850482,-20.237077558406718,-20.41348004328874,-20.089495264898495,-20.19833719644222,-20.374576165001997,-20.57804392346852,-20.732074138185098,-21.228843842562686,-21.578767664294308,-21.36866676652949,-20.63664404451357,-20.88847964702312,-20.56676979670547
"Net total",52.27798465478671,51.931524945991754,52.095395443800285,56.64169699113047,59.266511480312545,57.55780551472427,61.59869132926153,63.234065221164954,66.87559774082312,70.79050614146446,73.66296827903065,71.04269109595647,72.04226758166956,73.9003046254153,80.71382596807909,80.37611448201567,81.4825375743037,81.93342656557299,80.17031909825818,73.74603701480564,75.9437661376356,71.38951677428243,66.20492683658281,61.422431662940525,65.72357873840902,64.36545735598855,63.33085234641304,60.15829241373251,64.61859505330325,61.023284576937584,55.18540245600106,61.32594230295207,60.901166555517676
"Gross total",73.10479499402967,72.44263012401377,72.84577479389218,77.48762565992068,79.98617687270334,78.49786195592223,82.71336709133563,84.54816584160865,88.63440367008701,92.4701965006809,95.56646240389134,93.45224968805547,94.56166839143538,95.7550930913784,102.17522612769774,101.43398388049198,102.32301457435473,102.44178577728086,100.19085994653346,93.84907995565612,96.18084369604232,91.80299681757117,86.2944221014813,81.62076885938275,86.09815490341101,84.94350127945708,84.06292648459814,81.3871362562952,86.19736271759756,82.39195134346707,75.82204650051463,82.21442194997519,81.46793635222315
