"Oregon Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",30.50722898396233,32.83021347927834,34.24869703760627,34.93442665017993,36.09486013967703,33.994440893185576,36.407429161752006,35.41865114606009,41.55637801684476,43.156209814349694,41.7109056251779,41.37486686615842,39.913323644179066,40.91699620838992,41.395603781922425,41.517440923585745,40.550049048802286,43.5968462028603,42.67533172653821,40.66874652836093,40.2000881819408,37.00106069290467,36.36133641288628,38.7417566045117,37.36849653185424,38.379568843458124,38.40440258969739,39.429408999671274,40.25390191732648,42.37542565133365,38.19838765191984,39.24743290563589,38.36487330617645
"Agriculture",6.681301420906001,6.547750565598747,6.673899110345742,6.959303267569961,6.930987191164451,7.362735053725011,7.118913467638223,7.376335354695393,7.590615772986858,7.00667384123354,6.76575682032965,6.833794378526645,7.159264488803974,7.466202661667615,7.330678238612177,7.616482648297596,7.298394954069714,7.310603306874924,7.279120859898327,7.594854405462259,7.338696769442332,7.508637538650774,7.283396255890334,7.307193127814075,7.155719658981745,6.77211151225246,6.665968735587689,7.096707609916493,7.063945045145106,7.013035436772666,7.021558738222964,6.895810590086072,6.8244598170079325
"Industrial processes and product use",4.268244963718473,4.089806336034166,3.7192661432149023,3.3909324059536274,3.4000769327288207,3.7765239932627472,3.94303999155412,4.506106844461384,4.288127639507019,4.174334806682655,4.000710849087309,3.022106067584667,2.875065449662081,2.8540830332414493,2.9845986415252708,3.00044834053614,3.2152435449538537,3.4889355138483746,3.3667691557036155,2.556007064844864,2.3672778169852173,2.508219350304676,2.3467207749241554,2.426096559291315,2.6610322675720157,2.7103158099280993,2.569678934523777,2.7196102297482456,2.654808985577182,2.8028352427365637,2.9149808310410723,3.107289360175245,3.042286776117285
"Waste",2.8056053916594,3.164591608087396,3.245529153852531,3.180435171548643,3.246113533395695,3.307036851244211,3.277019040378576,3.1562933761158294,2.9632560358397315,2.9866588468240027,2.9569305959584695,2.932238369669414,3.0246543654504943,3.118582869125398,3.169999403973917,3.1209893418238326,3.1600156310125667,3.3363810813556274,3.193937080828891,2.9744471689566696,2.3731840438656873,2.1886604667373284,2.288045730037544,2.2964854694387036,2.325860597849249,2.343457368618396,2.176162623281333,2.1213360149819134,2.192033184458042,2.135816267920358,2.0517820295308256,1.9205729087071555,1.888453933785328
"Land use, land-use change, and forestry",-38.53531556159641,-38.8718068585182,-38.241480031806375,-38.07000990627278,-39.11965649024492,-38.82082767925437,-38.8227961387585,-38.300500883312246,-39.94564823783527,-40.43355000423272,-39.6508385377752,-40.692791403681355,-37.1144816845449,-40.45733881715304,-40.98837455409596,-41.319076410609526,-41.86914884909261,-41.41100713722003,-41.882898764386205,-41.5771991458947,-42.26013096293124,-42.937982317538925,-42.42736177622566,-41.96913012208669,-42.35419510319429,-41.77810297124737,-40.97374107761909,-39.52570165426005,-41.23647967856216,-42.10403344753914,-37.25622767817254,-38.26378682977536,-39.218952176937556
"Net total",5.72706519864979,7.760555130480455,9.64591141321307,10.395087588979386,10.552381306721081,9.619909112163178,11.92360552256443,12.15688583802045,16.4527292273431,16.890327304857173,15.783465352778123,13.470214278257792,15.85782626355072,13.898525955271346,13.892505511937834,13.936284843633786,12.35455432974581,16.32175896771919,14.632260058582837,12.216856021730017,10.019115849302786,6.268595731058525,5.8521373975126565,8.802401638969108,7.156913953062961,8.427350563009703,8.842471805471106,11.841361200057882,10.928209453944646,12.223079151224098,12.930481572542156,12.907318934829,10.901121656149442
"Gross total",44.2623807602462,46.63236198899865,47.887391445019446,48.46509749525217,49.672037796966,48.44073679141755,50.74640166132293,50.457386721332696,56.39837746517837,57.323877309089895,55.43430389055332,54.16300568193915,52.97230794809562,54.35586477242438,54.8808800660338,55.25536125424331,54.22370317883842,57.73276610493922,56.51515882296904,53.79405516762472,52.27924681223403,49.20657804859745,48.279499173738316,50.7715317610558,49.511109056257254,50.205453534257074,49.816212883090195,51.36706285431793,52.16468913250681,54.327112598763236,50.1867092507147,51.17110576460436,50.120073833087
