"U.S. Territories Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",37.17051482407454,37.33450246338374,38.2312955858699,39.2090588465092,41.13305408729222,39.67121142219625,39.44210228006265,40.01149648660604,39.21154823383565,38.81336116406385,60.89482968439158,69.64305057229991,68.58226503276039,72.41988763895347,74.71837788605468,68.20303957325567,71.47232688330033,67.07947781197548,56.33023870132362,53.321507847820136,45.62276963507084,43.9209432282129,42.58667384551771,36.52098434594813,36.17885470924044,36.075003259869554,33.52532989800028,32.57321134109112,32.449124585797065,31.228861973471666,29.45532182868737,29.59407763016414,29.423547219796976
"Industrial processes and product use",0.9824119385726766,1.0970753956727557,1.0714812471518498,1.1345782161702092,1.2803552391114246,1.554923232903049,1.7888613440013448,1.970048702286711,2.03714314338174,2.16769657571204,2.311603918725328,2.3941496936083646,2.4001835406376912,2.4415810147585724,2.574947752265921,2.5462215392537373,2.6993742342606737,2.700010896352259,2.684252729707171,2.585162075971397,2.4737231279272014,2.4062233253044063,2.4524754748628,2.408487538145757,2.4768113588480474,2.3996124491514133,2.2760381719153804,2.24716162404764,2.1215359190660856,2.131638958335941,2.1047624815313597,2.160610712940374,2.196405411902529
"Waste",1.4090531903041137,1.4226140319247491,1.3817103472552374,1.3079571750323342,1.221925425271313,1.2661414292725897,1.3112146451948057,1.5470182068908853,1.4619924008895129,1.4551602756405293,1.4199721751850767,1.4670723591881671,1.4228702623001088,1.4344171966429364,1.4388033867238288,1.3772225631470836,1.2725388603044336,1.2169545069943086,1.17105877717403,1.206059609771437,1.833840524563968,2.828907007655441,1.7410831165851415,1.7887324971227634,1.5959063326525675,1.497488514453094,1.673363987883802,1.6730539416216919,1.3215965822069702,1.1638465119425279,1.171953246144262,1.5744005540736796,1.5430574380081041
"Agriculture",0.0013926813632102574,0.0014813027306540868,0.0011563222353261362,0.0012342552844053344,0.0015300421542834678,0.0014024010402491763,0.0013244480329009042,0.001169006380598143,0.0007396308325017388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Land use, land-use change, and forestry",-1.5207839554981308,-1.557450622164791,-1.4841172888314629,-1.4841172888314629,-1.4841172888314609,-1.520783955498125,-1.557450622164791,-1.5207839554981308,-1.4841172888314589,-1.447450622164797,-1.557450622164791,-1.5207839554981308,-1.5207839554981288,-1.520783955498125,-4.3441172888314785,-4.305309802164494,-4.344117288831493,-4.269933799957533,-4.454117288831469,-2.03411728883148,-2.1807839554981303,-2.2907839554981235,-2.144117288831442,-2.0698874327068366,2.4025493778352196,2.439216044501874,2.3292160445018664,2.475882711168521,2.402549377835207,-1.630783955498132,-1.4841080762102545,-1.6674502691506112,-1.557299965707192
"Net total",38.0425886788164,38.29822257154711,39.20152621368085,40.16871120416469,42.152747504997784,40.972894529914015,40.98605209512691,42.0089484466661,41.22730612010795,40.98876739325163,63.06895515613719,71.98348866959832,70.88453488020005,74.77510189485685,74.38801173621296,67.821173873492,71.10012268903394,66.72650941536452,55.731432919373354,55.07861224473149,47.74954933206388,46.86528960567462,44.63611514813421,38.648316948509816,42.654121778576275,42.41132026797594,39.803948102301334,38.96930961792897,38.29480646490533,32.893563488252006,31.247929480152735,31.661638628027585,31.60571010400042
"Gross total",39.56337263431453,39.8556731937119,40.68564350251231,41.65282849299615,43.63686479382925,42.49367848541214,42.5435027172917,43.529732402164235,42.7114234089394,42.43621801541642,64.62640577830199,73.50427262509645,72.40531883569818,76.29588585035498,78.73212902504444,72.12648367565649,75.44423997786544,70.99644321532205,60.18555020820482,57.11272953356297,49.93033328756201,49.15607356117274,46.780232436965655,40.71820438121665,40.251572400741054,39.97210422347406,37.474732057799464,36.49342690676045,35.89225708707012,34.52434744375014,32.73203755636299,33.329088897178195,33.16301006970761
