"Hawaii Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",18.437186117335614,16.311057240973504,17.842819708127628,16.79563827384208,17.748495368204797,17.898659521235334,18.023222644027115,17.755628588225054,17.98315885896655,16.996462036602708,17.577714058096994,17.059471456738066,18.082042021843098,17.83544535608987,18.60152282902217,19.63495678470216,20.062574721013917,19.21614425872188,17.69086258503621,16.832362496038805,17.33908531084125,17.60617695360023,17.05227173702707,17.18407494266364,17.22434792304871,17.20011934826834,17.161013844230673,17.48126637821251,17.15020804008571,17.549096564254242,13.425355945984101,15.324251643749527,15.821456611717098
"Industrial processes and product use",0.21092682122074785,0.2071082339393891,0.20925140153421193,0.3731288104735969,0.4493872942232245,0.5183394836193121,0.32434250222293387,0.337229533448413,0.3722906204858893,0.4046359987092978,0.4152030710846445,0.4391036518615062,0.4582620023406239,0.47184764413189295,0.49950293111470484,0.5246851673231897,0.5594261350449481,0.5909982005140337,0.6260696101373705,0.6648120559637739,0.7251525864364944,0.7315368956679612,0.74803117781237,0.7550940684179598,0.7635548458046075,0.7943884770082512,0.793888092826706,0.7844202014874595,0.7772270296804947,0.7955139558488482,0.8229052081179942,0.8483778185270867,0.8751472128769135
"Waste",1.0775030271311252,0.975098994144419,0.9215777189552173,0.9447383033737451,0.9383256105990321,0.8694173548549925,0.8779666383232165,0.7845817760337246,0.6841199083160583,0.6388614836576189,0.6345939809550908,0.6482180593917405,0.6486831839001712,0.6427225310502858,0.6599855083684235,0.6501412080776133,0.6112049182780266,0.6278789479161566,0.5988696626881691,0.5489385670824813,0.6135053959715037,0.6515710380044949,0.7050911080289791,0.6389711964975435,0.6254990791352495,0.6253217723154902,0.5475429729734402,0.5588666090831371,0.5315811472246285,0.5483253059330369,0.5284445443312381,0.5879016712925283,0.5786497657990574
"Agriculture",0.5989167414495083,0.6311106821166121,0.5668969681749363,0.5418493720009124,0.5243910747655415,0.5413781468433434,0.5129849639171872,0.5203035606471734,0.5361423671840455,0.5160997640922127,0.5024742120282218,0.45673606702246644,0.4489097055723702,0.45736462647245896,0.4551788011505685,0.45124701262653627,0.46312631808651883,0.4487218643890019,0.4204504993118625,0.42442377242283064,0.41098157696182985,0.40113852566505354,0.3950674461265214,0.37468111324841263,0.36558659956349215,0.3635036439977827,0.3816003883460351,0.38915590743997236,0.3914775058902915,0.3794796017569909,0.3727319314283079,0.37826979332724664,0.3857204831710007
"Land use, land-use change, and forestry",-2.822299966444616,-2.8124868414016793,-2.8557911991510667,-2.9777728093158573,-3.062903914436656,-3.146893738822332,-3.165326322307607,-3.1820329641086325,-3.1121718152940923,-3.0959211128243598,-3.04732896780389,-2.999925012112324,-2.9879595500325906,-2.9437759494947335,-2.9371853689150362,-2.918932428279658,-2.9497641380283657,-2.9434291962013717,-2.9197225453843787,-2.876875293817598,-2.872010746025702,-2.8097507227929137,-2.798633808407126,-2.8210375383252293,-2.8472507669733234,-2.8273667496923505,-2.793539125956585,-2.8341054074368914,-2.828480655748251,-2.8605464103387277,-2.808775877136686,-2.821320530379195,-2.817996315480463
"Net total",17.502232740692378,15.311888309772247,16.684754597640925,15.677581950374476,16.59769543335594,16.68090076773065,16.573190426182844,16.215710494245734,16.46353993965845,15.460138170237478,16.082656354361063,15.603604222901453,16.64993736362367,16.463604208249773,17.27900470074083,18.34209774444984,18.746567954395047,17.940314075339696,16.416529811789236,15.593661597690293,16.216714124185376,16.580672690144826,16.101827660587816,16.13178378250233,16.131737680578734,16.155966491897516,16.09050617242027,16.379603688786187,16.022013067132875,16.41186901745439,12.340661752724957,14.317480396517192,14.842977758083602
"Gross total",20.324532707136996,18.124375151173926,19.540545796791992,18.655354759690333,19.660599347792598,19.82779450655298,19.73851674849045,19.397743458354366,19.575711754952543,18.55605928306184,19.129985322164952,18.603529235013777,19.637896913656263,19.407380157744505,20.216190069655866,21.261030172729498,21.69633209242341,20.883743271541068,19.336252357173613,18.47053689150789,19.088724870211077,19.39042341293774,18.90046146899494,18.952821320827557,18.97898844755206,18.983333241589865,18.884045298376854,19.213709096223077,18.850493722881126,19.272415427793117,15.149437629861643,17.138800926896387,17.660974073564066
