"Missouri Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",107.12709939374788,107.70460360574316,107.41418171625382,105.36627565637517,113.34228486771066,119.9225784897271,125.23544805255572,128.82938283462062,130.61045336737203,130.657551585262,131.0258299092069,136.45370079530247,137.31454230424754,144.01811248059255,145.50847356591672,148.37021817180627,147.20601096944105,144.8610163369612,142.0261678471508,135.02791530029887,139.51796136078443,139.21145157872212,131.46129333318794,135.71090514558838,135.8745787429048,126.54487414346059,120.79367913610163,126.36861663862479,127.20370389341362,118.99330846210655,110.830029890211,119.13507960234826,115.50448291978594
"Agriculture",22.084009167579747,20.596248546491616,19.9312848716198,21.831114177523034,21.973027688547155,21.518910983030445,22.65041102783774,21.925944031535355,21.819132318093697,20.5655055715434,21.442980208163632,22.546201374043733,22.785247313713196,22.519276646618653,21.845518156598786,21.555185101100577,22.249705971953126,22.351129320002798,22.987991319872798,22.748288593498906,23.31814597765519,21.49411047743358,20.697799736589864,22.712743520151445,23.401386446195318,23.23410145559777,21.83379213344036,23.800006646259835,24.76869687084885,23.1504589312241,22.105068299073125,22.244804796261562,21.48896887103864
"Industrial processes and product use",8.27209594795812,6.467756405553185,6.474739318612695,6.588689851035177,6.935146465636221,7.35170672871033,7.639628308649539,7.94731812196661,7.850861571795895,7.884089851756829,7.560070476037424,7.238215669590092,7.49521378227866,7.82785838078849,7.755339586794284,7.749583769105308,7.351459143688429,7.408145879922725,7.207124440120592,7.904487954586323,9.752153447683904,10.151568336921708,11.02752121232925,11.546965111796846,11.193711630226664,11.383589433031863,10.151336038859748,10.638944569685714,10.440663856701995,10.489918858255159,10.489777704235365,10.707206699596133,11.163672779528556
"Waste",3.671381125551248,3.7120000014451815,3.593934638008831,3.3710074339833893,3.1931896819036374,3.098878516775952,3.284545128376576,3.1479215976046175,3.06653105577416,2.840614713663895,2.815064257766655,2.7655592588149176,2.717348653272533,2.7734413157345714,2.807298234838615,2.5796296964112906,2.662531734612603,2.5728428259580536,2.576895903481473,2.629313037483042,3.6153387657571137,2.7364876152845237,2.7848848618293873,2.711822905559211,2.702380955659161,2.6216593232678083,2.5826749286412136,2.7272749920503614,2.744803011558002,2.751544444127304,2.7957785139391302,2.8742728916807763,2.838024911629347
"Land use, land-use change, and forestry",-25.545025390407968,-25.91828775023121,-25.964626548287693,-25.53489857256431,-26.271904341124785,-24.819179550443632,-26.56692474285897,-26.642360790598815,-25.195063614595988,-25.683085581029996,-25.052140733233568,-25.840197419001022,-25.734681909825014,-25.74711334769462,-25.29044747135127,-24.892535251754627,-24.888399898981977,-25.467718170036196,-25.17778943440086,-25.028110203093643,-24.43734494418049,-24.89367043687466,-24.109977639976606,-22.227573454099492,-22.7646371692084,-23.413464664790908,-22.64662388800109,-22.572840779527503,-22.99257018153966,-21.444039658090404,-22.095221762466373,-21.714715132213716,-21.64971465526871
"Net total",115.60956024442902,112.56232080900192,111.44951399620743,111.62218854635245,119.17174436267291,127.0728951678002,132.24310777456063,135.20820579512838,138.15191469843978,136.26467614119616,137.79180411794107,143.1634796787502,144.5776701436869,151.39157547603966,152.62618207279712,155.36208148666884,154.58130792071321,151.72541619280858,149.6203900762248,143.2818946827735,151.76625460770012,148.6999475714873,141.86152150395986,150.4548632289964,150.40742060577753,140.37075969056713,132.71485834904183,140.9620020670932,142.1652974509828,133.94119103762267,124.12543264499226,133.24664885767302,129.34543482671376
"Gross total",141.154585634837,138.48060855923313,137.41414054449513,137.15708711891676,145.4436487037977,151.89207471824383,158.8100325174196,161.8505665857272,163.34697831303578,161.94776172222615,162.84394485117463,169.00367709775122,170.31235205351192,177.13868882373427,177.9166295441484,180.25461673842346,179.4697078196952,177.19313436284477,174.79817951062566,168.31000488586713,176.20359955188061,173.59361800836194,165.97149914393646,172.6824366830959,173.17205777498592,163.78422435535802,155.36148223704294,163.5348428466207,165.15786763252245,155.3852306957131,146.22065440745862,154.96136398988673,150.99514948198248
