"Wisconsin Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",89.43696891240583,92.29095250301482,91.50657198806192,94.50502580561187,97.73752060204625,100.83749584818824,104.91479981555734,107.37700141381464,105.51448023350687,108.91808613698318,111.12229762813597,109.74539000694277,110.99101079548095,109.70784813157121,111.45012693915469,114.92934094152135,106.98785749627999,108.5556459323425,108.60931080705247,99.42905869504858,102.46950878859764,101.33340647539723,93.77368714820514,104.1236031513974,104.06206150246851,102.1369243843586,98.0151136820403,100.89207347800523,103.72747551950035,96.97998768176511,89.28234569748078,94.93196049837778,93.42501405425865
"Agriculture",19.994671853000476,19.631782581846736,18.702077373719774,18.951533503588436,18.389573954878138,18.411431222231702,18.07823013623901,17.70273748914769,18.371651534775793,18.628418602126672,17.58287875656305,17.552722527173145,17.995703733369574,18.057875938371478,17.70938939455217,17.7153231506323,18.37219879186782,18.662951321789972,18.441387187906717,18.685618656133556,19.931537498801074,19.33852354393146,19.53292044721767,20.18276100467397,21.297050196108646,21.485008048504426,21.7795785563428,21.46371253304677,22.53616973557329,21.436084590588816,20.991359201451143,21.28394002878756,21.134117421496363
"Industrial processes and product use",2.9886653246372608,2.7951313311060844,2.897039683185036,2.942634973298598,3.123980548808655,3.5802843501758947,3.7914156354078474,4.056863736432274,4.354190852823978,4.651386410422657,4.903415752866935,4.685927027513751,4.836790658533988,4.9121619180916305,4.959841468241183,4.7887957242393195,5.060721516660031,5.431679598775264,5.177631166702713,4.705952353432839,4.261889052853042,4.338382766246437,4.4144448132803555,4.345541913621296,4.068728458064216,4.266951877023806,4.0637278313418586,4.208245126521599,3.840561193194785,3.8406595347531467,3.7148995586569407,3.829294949847426,3.9185628450597556
"Waste",5.465764419692313,5.808485600555011,6.185396097469169,5.9231263186416285,5.81490452004257,5.809513189303588,6.369685373740069,6.534698933712902,6.3328165067573225,5.878873277959044,5.7354782884519615,5.693558470481214,5.533261451840231,5.557741511261027,5.624226595088599,5.597037494718657,5.595178524657101,5.508249021805578,5.348159112046449,5.081888919205311,3.645392049967444,3.6359320672477367,3.6831410957766453,3.5519270126126696,3.389564529082453,3.3867896720474047,3.3734054445753814,3.455008136899604,3.315619447911393,3.25116993797158,3.2678442952299984,3.2187870369528677,3.1831378609475736
"Land use, land-use change, and forestry",-21.749542697206497,-22.871196877330835,-22.46869088981041,-20.694627616194634,-21.337645318934307,-21.084884932957074,-22.712155417428583,-22.18869518307353,-23.126894722943675,-21.927216036938397,-22.476579426892176,-22.89570857074837,-22.366684450080523,-23.260255011785592,-22.78024791578196,-22.522174689337273,-22.870591155870354,-22.82891499567593,-23.214746190443485,-23.32628409375983,-22.132839526326197,-23.810615793150657,-22.660587593763665,-22.644183490782492,-22.48941872927862,-22.461550245083252,-22.72072102234544,-22.603453101600333,-22.7950399292529,-22.779643910533608,-21.81299762947767,-22.09996214712522,-21.990554320691775
"Net total",96.13652781252941,97.65515513919183,96.82239425262549,101.62769298494588,103.72833430684132,107.55383967694237,110.44197554351567,113.48260639003395,111.44624440492031,116.14954839055312,116.86749099912576,114.7818894613625,116.9900821891442,114.97537248750974,116.96333648125469,120.50832262177434,113.14536517359457,115.32961087903739,114.36174208326486,104.57623453006045,108.17548786389301,104.8356290596722,98.74360591071614,109.55964959152286,110.32798595644522,108.81412373685097,104.5111044919549,107.41558617287288,110.62478596692691,102.72825783454505,95.44345112334119,101.16402036684039,99.67027786107056
"Gross total",117.8860705097359,120.52635201652267,119.2910851424359,122.32232060114052,125.06597962577563,128.63872460989944,133.15413096094426,135.67130157310748,134.57313912786398,138.07676442749153,139.34407042601794,137.67759803211086,139.35676663922473,138.23562749929533,139.74358439703664,143.03049731111162,136.01595632946493,138.15852587471332,137.57648827370835,127.90251862382028,130.3083273902192,128.64624485282286,121.4041935044798,132.20383308230535,132.81740468572383,131.27567398193423,127.23182551430034,130.01903927447322,133.41982589617982,125.50790174507866,117.25644875281886,123.26398251396562,121.66083218176233
