"Louisiana Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",189.7451055406742,187.65557894910617,194.22310714646127,197.0687814061812,200.2860925368015,201.31510993420162,199.8318660248899,206.8349306383434,197.74756693903973,198.5746542043202,216.5027803913627,193.2626014243762,198.31238674982447,192.79695728396078,197.2259848804025,193.9038840374804,199.93189499642503,204.69122167728634,198.26350791173894,189.478960564194,196.31376047883887,202.74294290317093,196.34784015631033,191.26739246531557,188.34479041885606,183.87215539316585,185.09937587243053,185.000098674189,192.4172083689792,192.6919724665838,175.0404683137397,184.14485138927998,191.120243623751
"Industrial processes and product use",25.281034977098788,24.534623863136325,26.54347265226797,25.726965568977594,26.03154870027784,26.742078838603444,27.20634206689585,28.02659980157068,31.484378053700635,28.500484909781573,27.870470155627345,23.679845799885243,26.388307321885176,22.913972265459655,26.85848848645717,25.573881750521473,25.771785361080028,28.08217055216995,25.723109129563536,21.38945793626505,23.117327007027264,18.65468588777964,18.029033340385165,16.402599080400755,16.31557925894093,17.71585724718094,16.735056762626048,17.232913827631158,16.929930214741603,18.064561952839842,18.70516338259824,19.774188356805904,19.091740264190815
"Agriculture",9.19200057724825,9.192070196630054,9.420483689598953,8.697151470694262,9.172875324118323,8.67668469673152,9.501526156990543,9.129354513219488,10.136480258583397,9.654102982216747,9.74781706696912,9.491210346034737,9.607701076836712,9.5589901408838,9.567112643935513,9.430045055600964,8.7510792420707,9.385478264962746,8.71433637651129,9.842374280575651,9.257420461642099,9.358775078553803,9.072977253025368,9.643194945893661,8.957533746502557,9.96294586406953,9.45723738557117,9.213690047446848,10.143203588554236,9.387270025825941,10.011499611637532,9.743765356965397,9.736909027615107
"Waste",4.50219131068114,4.388716148759582,4.335709464381303,4.1618359899490125,4.186690997561433,4.076155833273986,3.9372053170985004,3.859993549089094,3.5008391861649053,3.5806000207480024,3.544632320242742,3.5285279845676234,3.534511846611732,3.5629262847826557,3.4558346178293946,3.4462419199848187,3.4638125300340166,3.474799319445869,3.505402917639498,3.489769286855946,3.4901009734455792,3.3897761192955738,3.3680855681571766,3.6703164078114225,3.534957913697987,3.701709776294978,3.898973563339061,4.156942481818587,4.699388458242025,4.334956733329612,3.7704349043506635,3.5773043769849693,3.515925357669198
"Land use, land-use change, and forestry",-26.536404906887594,-26.20347044262711,-26.351705051301508,-26.268246029581473,-25.81115624132052,-26.180033385108416,-26.05610011104564,-25.48572271622047,-25.562158429649635,-24.875061058700624,-25.920514302454244,-27.1505254636999,-27.659037688671546,-27.085071673207395,-27.573530353339734,-27.658582248158954,-18.362440296667927,-18.311657342757844,-18.75177640566578,-18.904116884965926,-19.224879286387168,-29.305246492592495,-29.112630439955037,-30.127295924092014,-30.540519285561903,-31.133519545035952,-30.42149980408315,-30.3809271870659,-30.426677565158688,-29.516437266696833,-29.549879507863217,-29.167162219093523,-28.837590495975608
"Net total",202.18392749881477,199.567518715005,208.17106790140798,209.3864884062206,213.86605131743855,214.62999591770216,214.42083945482912,222.3651557860022,217.30710600783902,215.4347810583659,231.74518563174763,202.8116600911639,210.18386930648654,201.74777430187947,209.53389027528482,204.69547051542872,219.55613183294182,227.32201247110706,217.45457992978749,205.2964451829247,212.95372963456666,204.84093349620744,197.70530587792297,190.8562069753294,186.61234205243562,184.11914873567537,184.76914377988368,185.22271784401968,193.76305306535838,194.96232391188238,177.9776867044629,188.0729472609427,194.6272277772505
"Gross total",228.72033240570235,225.77098915763213,234.5227729527095,235.65473443580206,239.67720755875908,240.81002930281056,240.47693956587477,247.85087850222266,242.86926443748865,240.30984211706652,257.6656999342019,229.9621855548638,237.8429069951581,228.83284597508688,237.10742062862457,232.35405276358767,237.91857212960974,245.6336698138649,236.20635633545325,224.20056206789064,232.17860892095382,234.14617998879993,226.817936317878,220.9835028994214,217.15286133799754,215.2526682807113,215.19064358396682,215.6036450310856,224.18973063051706,224.47876117857922,207.52756621232612,217.2401094800362,223.46481827322611
