"Washington Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",67.82996694656717,67.14646673423084,74.22248692580466,72.08919148320003,77.0371253453641,74.33146790777278,78.04023787525843,73.03630944434991,80.06607814881235,82.6419815851148,82.19399806102395,77.57592144817752,71.86466958470359,73.35416761969901,74.73316194650404,75.79889498807162,73.07399688312081,76.38540793837893,75.22890025789906,73.1144529966147,70.52327196853369,64.69727877145745,63.16923921249481,70.00291407385761,68.78868937950975,69.4421530679977,70.47032808495243,72.24229842029132,72.67267722451133,77.7293728781027,64.92852260985823,70.4091388719975,71.08801377789084
"Agriculture",7.777427434475846,7.355788522833502,7.652727206474079,8.408121679561283,8.283771540572191,8.034570970001964,7.600393330857041,7.464764703492702,7.8485647194148145,7.720073136928337,7.933835597549907,8.18663475060399,7.768684785098907,7.959229389567316,7.998490655901547,7.665984742108096,7.908960554158314,8.315375876884774,7.854109735002151,8.766939055712964,8.483669111190567,8.515229467930693,7.928036955426616,7.979889105919058,9.037574363007082,8.146752487683736,7.910230863179709,7.9799953912462085,8.532744093586619,8.79652347662815,8.817176822818553,8.51015630998248,8.317929677130287
"Industrial processes and product use",10.739155699006815,10.620183733317322,10.310536158486812,10.595135470428152,9.539364831506877,10.178861226785836,11.402122182584995,11.658346185331874,11.22816777142862,11.242193581457695,10.332554792214186,5.203483422681326,6.259586498553037,5.405679688533808,5.294347661946942,5.648211140508237,5.167505960476985,6.12722806669442,5.463975069402949,4.176638191453102,4.238384893145723,4.5335179388514675,4.196237925277626,4.528467053202087,4.742889283734219,4.70400096660395,4.336186179746318,4.469376121631735,4.063552070713063,4.408550798349297,3.882578099959785,3.5051066777755153,3.538806049700293
"Waste",3.9196662142104746,3.837003014535816,4.05956170644085,3.863106121553616,4.140600101748934,4.2596894083282075,4.138018902492129,4.187535713489652,3.8723218464542253,3.7282254461734134,3.6890026356649424,3.536259145498401,3.6338770359011563,3.567496013857138,3.847970338378902,3.693286341688704,3.646794171249093,3.642999680119918,3.586526907512428,3.5889411032953182,2.860695512917953,2.5313031620810658,2.3647369002769314,2.3993792709459942,2.2915753699187142,2.5205550223821205,2.511314253629907,2.7187754162787945,2.903452220457665,3.1252692760562018,2.9756576314723135,3.090487210864547,3.062633043787439
"Land use, land-use change, and forestry",-15.006152898555616,-14.499103127121256,-14.203465270481152,-14.783205877184283,-14.494995054440764,-14.161913299271042,-15.200947795943847,-16.068977651987208,-16.340175246505666,-16.678902776486638,-16.976792812027004,-17.23502856992835,-17.184556672866606,-17.529681368958865,-18.584924886335482,-19.217447326703653,-18.01962401420932,-19.357988493110085,-20.066419064746377,-19.875556952849838,-20.463628904265665,-20.870784739913425,-20.88517418547516,-21.38265550310081,-21.041041260112152,-19.038154119784856,-21.580016110195952,-20.34851003357135,-20.656845353811576,-20.31764700165426,-19.414568171474013,-18.119995193244485,-18.555896784829955
"Net total",75.26006339570469,74.46033887779622,82.04184672672525,80.17234887755879,84.50586676475133,82.64267621361776,85.97982449524875,80.27797839467694,86.67495723960434,88.65357097318761,87.17259827442598,77.2672701970329,72.34226123139008,72.75689134269841,73.28904571639595,73.58892988567301,71.7776335547959,75.11302306896795,72.06709290507021,69.77141439422626,65.64239258152227,59.40654460040725,56.77307680800082,63.52799400082395,63.81968713605761,65.77530742488267,63.6480432713124,67.0619353158767,67.5155802554571,73.74206942748208,61.189366992634874,67.39489387737555,67.4514857636789
"Gross total",90.2662162942603,88.95944200491748,96.2453119972064,94.95555475474308,99.0008618191921,96.8045895128888,101.1807722911926,96.34695604666415,103.01513248611,105.33247374967425,104.14939108645298,94.50229876696125,89.52681790425669,90.28657271165727,91.87397060273143,92.80637721237666,89.79725756900521,94.47101156207803,92.13351196981658,89.64697134707609,86.10602148578793,80.27732934032068,77.65825099347599,84.91064950392476,84.86072839616976,84.81346154466752,85.22805938150836,87.41044534944805,88.17242560926867,94.05971642913634,80.60393516410889,85.51488907062004,86.00738254850886
