"Delaware Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",18.160105896131224,17.651467339842277,17.64681077760593,18.879902987540106,18.37686315054643,17.755260183510117,17.842556084278968,16.605115161380063,16.1432379720693,16.16876034026899,16.324022818249112,15.830379819922815,15.807248999230087,16.503774943063473,16.557890958738067,17.317927663679402,16.23638929591408,17.127462915851947,16.087441715098567,11.89557698689307,12.871329101190378,13.87734565492487,14.532791501049983,14.217112328649323,13.978822681422521,14.062319275473534,15.044571489459951,13.762648799054046,14.024176363576476,13.594983656586743,12.209626308993236,12.72183214680861,12.77040830701563
"Waste",1.0453853892499123,0.8911650452647669,0.7347943667948071,0.816929846175964,0.7632437797033077,0.6591173031581657,0.6888884769104233,0.6552831362724488,0.6038422988327196,0.6801199970197287,0.7323180877445958,0.7252179441234434,0.7115429705593488,0.7721775119698215,0.7693784505196307,0.7613839709659868,0.7740785318187453,0.7546386528051031,0.7154881140884884,0.6940479744350782,0.43904115944002403,0.4367811823270326,0.49210385279603086,0.5146716319593987,0.6300846144574533,0.7058934735577749,0.7697670556654935,0.7447153878889865,0.7248421803843198,0.7324847701246369,0.6834334642195867,0.6819173862732759,0.6847434799324585
"Industrial processes and product use",0.34504516025006343,0.3201666949828164,0.3628297366999338,0.42094824403392894,0.4560232496979016,0.4833879725726748,0.5041446885751832,0.4859999008938627,0.5513127139335592,0.5911387783925531,0.5950437359910146,0.5805093382244262,0.6087360525741179,0.616910743771016,0.591872912516341,0.6183896242440351,0.6142666514372774,0.7090214477923514,0.707327887074051,0.6199914049506497,0.5861300416291841,0.6104762460350939,0.5926469043134782,0.6495071408119182,0.6535587825484722,0.6645266542872554,0.5582260923113905,0.5093275992994989,0.5412404852602375,0.5382177014357025,0.6226823751049584,0.6164024126457434,0.675888225798866
"Agriculture",0.4459820885908983,0.38513998601103555,0.4304898835593553,0.42142217295685347,0.4639792262125323,0.42986695367665584,0.41531656102036385,0.4286674010079771,0.41526033537162227,0.4434261396934018,0.43336441232824086,0.4044836510379928,0.427450083419373,0.431121560824561,0.3876829844780227,0.4304895478563689,0.36813654631461734,0.3880924182344787,0.37127488196720226,0.4007001473257982,0.4145102312462386,0.3880804139848786,0.3648266718467339,0.3737456124508901,0.3934699421821941,0.4264563899709846,0.4409473958602237,0.39610112827976496,0.48092983925149824,0.414271130636441,0.39925359361003016,0.3996075153341413,0.3879003705716224
"Land use, land-use change, and forestry",-0.4774177001105346,-0.5235299014555649,-0.501464077273346,-0.48173365145187125,-0.48083656368050204,-0.4963493936870535,-0.5283829804968992,-0.5305031314868681,-0.5515549030412804,-0.5552123370924491,-0.5593778291717942,-0.5734353462668036,-0.5713642478633449,-0.5646917517315206,-0.5799199876620815,-0.5828193267217572,-0.6064376738701132,-0.6116120854926446,-0.6708910793771694,-0.6730744283847295,-0.7014222520337549,-0.7154172700836358,-0.6904006467011831,-0.6701745777010403,-0.6870402416422772,-0.680281136578467,-0.7156662730569555,-0.7105684670458272,-0.7005864516510204,-0.6697177945986293,-0.6376181671469124,-0.6770371741484522,-0.632899770924509
"Net total",19.519100834111562,18.724409164645333,18.67346068738668,20.05746959925498,19.579272842479675,18.831283019230558,18.92252283028804,17.644562468067484,17.16209841716592,17.328232918282225,17.52537122514117,16.967155407041872,16.983613857919586,17.75929300789735,17.72690531858998,18.545371480024034,17.386433351614606,18.367603349191235,17.210641518851137,12.937242085219866,13.60958828147207,14.59726622718824,15.291968283305042,15.08486213617049,14.968895778968365,15.178914656711084,16.0978457602401,14.702224447476471,15.070602416821512,14.610239464184895,13.277377574780898,13.742722286913319,13.886040612394071
"Gross total",19.996518534222098,19.247939066100898,19.174924764660027,20.53920325070685,20.060109406160176,19.327632412917612,19.450905810784942,18.17506559955435,17.713653320207204,17.883445255374674,18.084749054312965,17.540590753308678,17.55497810578293,18.32398475962887,18.306825306252062,19.128190806745792,17.992871025484718,18.97921543468388,17.881532598228308,13.610316513604596,14.311010533505824,15.312683497271875,15.982368930006226,15.75503671387153,15.655936020610643,15.859195793289551,16.81351203329706,15.412792914522297,15.771188868472532,15.279957258783524,13.914995741927811,14.419759461061771,14.51894038331858
