"Idaho Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",12.319559624259696,13.154517801035409,12.243518869280328,13.317146704104864,13.376093688649444,14.18176951153145,14.726790891276602,14.893547398042932,14.90384532577791,15.791802219947968,16.43264763844843,16.426849711865483,15.787129845183054,15.425600572061684,16.56187607129867,16.696975349474766,16.867534453410794,17.322694039772212,16.694462946017207,16.17033537108479,16.792186135181353,16.5057357105479,16.244235125413333,17.67570472959743,17.04052301484361,17.667779754167558,17.95788329653659,18.368444240841637,18.427935229060985,19.610298423171457,19.286298295146988,20.35536169511288,20.671129445778668
"Agriculture",7.9236670828558236,8.157947321260002,8.203088675530102,8.914724127822938,9.052638347614085,9.56858832803939,9.982133341645193,10.111343919258488,10.522449725035086,10.304678006837372,10.887923513386747,10.902408835657805,11.248612595271988,11.94137476864828,11.841503713135289,12.403675095908106,12.616797936831638,13.04371943913224,13.057479867545952,13.538652016663006,12.966436665158568,13.70424135051731,13.572004121618798,13.734313114760306,13.304793024178572,13.43461910525,14.05816860772808,14.153210948442991,14.642749282902148,14.309425861515217,15.02265601516753,14.89583660680546,15.061549950284311
"Industrial processes and product use",1.7329092408111733,1.697588696902926,1.6794126270590046,1.6629962863018877,1.7301639279926855,1.8998366355206033,1.9642503068629662,2.000170556367209,2.093525108395562,2.126384188626373,1.996676532481211,1.8730441904270951,1.9145444739939068,1.8619096625252813,1.8215894048578256,1.890571350642814,2.0067505540756585,1.82589070830754,1.7586871382205818,1.6135334700914417,1.1854276422083618,1.1685458746436583,1.2578336123618146,1.2011802263746127,1.3451329567497257,1.380996463493854,1.2730835459122676,1.1768333541217988,1.160366972638762,1.1372797324946853,1.2818282846361735,1.3014331873152007,1.4017341114475603
"Waste",0.675543238066067,0.7182347277916467,0.7138020442054591,0.8095244339965803,0.8632859292475402,0.8129884562107925,0.8149474014406781,0.7864991008253011,0.7325841167060564,0.7271578566380893,0.7904355321551074,0.7955108173151347,0.8266114686493918,0.8229243682490791,0.8616908035945757,0.8588200778659868,0.9074675650586315,0.9069573984233231,0.9336148842924596,0.8531247557872049,0.7301376086523526,0.5402058997521294,0.5984074453268691,0.8239244189475049,0.8213245993276269,0.9184784066207259,0.8862605375235674,0.8716581838356715,0.8274638191213187,0.8797774542634423,0.8891566921203243,0.8600788335099936,0.8593567326010992
"Land use, land-use change, and forestry",-2.4110009256009346,-3.0381568376052406,-2.9359048924098787,-2.8936878220308806,-0.9224946901966439,-2.9690217406017365,-2.6740934440991304,-3.10737246584793,-2.752804263846442,-2.7062492048139757,0.3047860067638173,-3.1386801347151483,-2.6862937615259797,-2.5499019193176515,-2.8781627458656347,-1.9952253757892109,-2.5592693153224966,0.7760862866289756,-2.6412801851102627,-2.319840161213055,-2.6112679936806202,-2.4258680245581754,0.3566530610791164,-1.9931418028186134,-2.8016599552191104,-1.3470749868223915,-2.790328892109488,-2.185728134985845,-3.18219945152309,-3.0880421471204964,-2.897685287266742,-2.6873316418072615,-2.3115407826671865
"Net total",20.240678260391824,20.690131709384744,19.903917323665013,21.810703730195385,24.09968720330711,23.4941611907005,24.814028497126305,24.684188508646002,25.49960001206817,26.24377306723583,30.41246922323531,26.859133420550368,27.09060462157236,27.501907452166673,28.208497247020727,29.85481649810246,29.839281194054223,33.875347872264285,29.80296465096594,29.85580545241339,29.062920057520014,29.492860810902826,32.02913336579993,31.441980686861243,29.710113639880422,32.05479874270975,31.385067095591015,32.38441859225625,31.87631585220013,32.8487393243243,33.58225399980428,34.72537868093627,35.68222945744445
"Gross total",22.65167918599276,23.728288546989983,22.839822216074893,24.704391552226266,25.022181893503753,26.463182931302235,27.488121941225437,27.791560974493933,28.252404275914614,28.950022272049804,30.107683216471493,29.997813555265516,29.77689838309834,30.051809371484325,31.08665999288636,31.85004187389167,32.39855050937672,33.09926158563531,32.4442448360762,32.17564561362644,31.674188051200634,31.918728835461,31.672480304720814,33.435122489679856,32.511773595099534,33.40187372953214,34.175395987700504,34.5701467272421,35.05851530372322,35.936781471444796,36.47993928707102,37.41271032274353,37.99377024011164
