"South Dakota Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Agriculture",17.46057768426723,17.495565628430462,18.741898981282404,19.783829829983873,19.762129440144903,19.778476827644734,20.123932715670517,18.990874945366734,19.439008546886544,19.661168846201733,18.506510265229615,21.704485549010087,20.17880607291508,20.402738650382084,21.91719365034413,21.761212897197346,22.389564616139793,22.826652295633718,21.761750582174038,23.548619568828315,22.472854177373907,23.525603927253393,20.90969657014638,24.983059353724148,25.447041405934993,24.666652379992495,23.73839649126249,26.648946931815797,27.93014741543368,25.994894772993163,25.494256026083303,25.96155454940846,25.289143254000653
"Energy",12.833369686084804,12.786740915935576,12.672745087998068,13.28721294229045,14.029131453762512,13.851129518273575,13.840537448240596,14.300541822119898,13.923500770376128,14.420899421770885,15.226836681328532,14.455794472531636,14.387398981538245,14.76127566622249,14.771226882549232,14.28845547039091,14.532347204298665,14.955459904672058,15.975609427310943,15.62564245026168,15.880284830694782,15.38745038043322,15.574945721843976,16.04682574711572,16.068801714181436,14.619433146392641,15.34355923558688,15.206503810553693,16.10672307601271,16.511373217434528,15.414550109529822,15.779204589836416,16.392684621454325
"Industrial processes and product use",0.9495301963092195,1.021630002424674,1.0525083935609132,1.2817066128347532,1.352687307433325,1.359164413651095,1.4256770844504998,1.4767363617799465,1.4753124770575343,1.4714143211491002,1.490324127448133,1.4959088711505995,1.385605288022983,1.3905784199500582,1.3802891271712068,1.4243316094271399,1.4663795102619155,1.471811565422165,1.3980376402834107,1.1692441937507219,1.0540782086188798,0.9972515238070392,1.0320536676277592,1.0836699806902885,1.0769915165084052,1.1263921234162304,1.0809812991295398,1.1169633709500655,0.9563329280232515,1.1235809644029642,1.0319207876648837,1.1101745350575842,1.241209540648416
"Waste",0.4672201058521102,0.4769673249815395,0.449142514959049,0.4407303997448316,0.48330862130652374,0.4512652228965933,0.42205069301968406,0.41360266020292896,0.3851116410643296,0.36747834315714295,0.3700495276054395,0.3632900361145215,0.3666409067502635,0.3691455219935308,0.36731900635527137,0.3708936593440901,0.37937756250101456,0.3887514527661553,0.39317955949083033,0.3997946539794437,0.401216291775321,0.3789505784083626,0.4043590073160457,0.40959086763955704,0.49425616056558175,0.48045328609375104,0.4917966046417991,0.47856090574801174,0.48083560387497126,0.5024000889859804,0.499591919810231,0.523116969249083,0.5208434455832017
"Land use, land-use change, and forestry",4.146074619324294,1.5944369835707377,1.1217780624721236,2.0935857960617,0.6482146169179968,1.0288265698663044,0.11402437733122574,1.6316825223308107,-0.0832705989024332,1.001174857257089,-2.1739375612322447,0.2665167752248831,-0.924698048276555,0.8817667775343424,0.086748049243918,0.9519782505152835,-1.3286140685121062,2.2081284693034418,-0.6086068232323808,0.21091740616874466,0.019230379798114802,-1.0042821808420566,-3.09260393393378,-2.0877067874638477,-1.2816062297989725,-1.519751789329136,-1.7984398226944456,-1.4529989992053884,0.04777145403930747,0.5738198739232758,-0.5513866825079812,-0.8753315459918433,-0.7012290093280745
"Net total",35.85677229183766,33.37534085534299,34.03807304027256,36.88706558091561,36.275471439565266,36.468862552332304,35.926222318712526,36.81343831180032,35.1396628364821,36.92213578953595,33.41978304037947,38.28599570403173,35.393753200950016,37.80550503608251,38.52277671566376,38.79687188687477,37.43905482468928,41.85080368779754,38.91997038602685,40.9542182729889,39.82766388826101,39.28497422905996,34.82845103300038,40.43543916170586,41.805484567391446,39.37317914656598,38.856293807926264,41.99797601986218,45.52181047738392,44.706068917739906,41.888932160580254,42.4987190975597,42.74265185235852
"Gross total",31.710697672513362,31.780903871772253,32.91629497780043,34.79347978485391,35.62725682264727,35.440035982466,35.8121979413813,35.181755789469506,35.22293343538453,35.92096093227886,35.593720601611714,38.01947892880684,36.31845124922657,36.92373825854816,38.436028666419844,37.84489363635949,38.76766889320139,39.6426752184941,39.528577209259225,40.74330086682016,39.80843350846289,40.289256409902016,37.92105496693416,42.52314594916971,43.08709079719042,40.892930935895116,40.65473363062071,43.45097501906757,45.474039023344616,44.13224904381663,42.440318843088235,43.37405064355154,43.443880861686594
