"Montana Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",32.14559767797814,33.50729947034452,34.608187670393285,31.947030180164386,34.946044569046876,34.56445577743351,31.530911048795428,33.700364795980796,36.208521907172745,36.98284362683414,36.31736314526999,36.226189337524524,35.25221434560766,38.129093986170446,39.775432759207284,40.82827836285473,41.17249918766467,42.90970285405804,41.828646218647215,37.42721271566101,39.350976103172854,35.97142506422307,34.59944445069337,35.90648092296746,37.63224482649199,36.73671894487252,34.306097806652424,34.232906003534616,34.71126663833708,35.72321886599052,28.75163449636645,31.45114390489886,32.549520037662845
"Agriculture",15.511032757639915,15.928858638127123,15.349698293313683,17.351950697361346,16.349166603919326,17.605572651584374,17.860354961033817,18.65963544419129,17.039527562968196,17.594302368184803,15.879441527789753,16.593233078709872,16.921028875314093,16.547334108217377,17.393847662885396,16.87694368603466,16.97245711260824,17.043228380490902,16.81182830163175,18.747491236687218,18.16550621871742,20.113886710353388,15.75341538277576,18.84715671312217,20.233158054302383,18.669867288925314,18.8742309356159,19.95886217469799,20.100776373314147,21.865202605856584,18.149570041552632,19.10682638425484,18.398916555466162
"Land use, land-use change, and forestry",22.50318353389267,26.187074277668536,20.170682316547072,20.20275933565019,11.337941773412613,15.000507764194394,13.050721956771659,21.866015874148136,18.402653262804666,21.81092554407132,12.783471127717027,19.699311310842692,14.954041045078537,16.943019986933173,16.016878501525955,15.602847600881619,15.052622167958118,17.913229214654162,13.882437122194977,17.809873446810204,23.839130641927692,17.044820269288785,6.90429273660629,17.737821896848395,13.30964450689658,15.941306106922386,26.439669381651253,18.727276661163867,23.190267714260617,17.61439895692452,12.998836816628604,9.100664261640633,10.015085680968568
"Industrial processes and product use",2.9713027260163325,2.7724771167477247,2.6662060937367222,2.6136318565390884,3.06176686191294,3.0258824916680567,2.7668076402870505,2.6979365665968644,2.6976946696048567,2.7415721446127965,3.024970598138238,1.43787013053601,1.8630236846099073,1.6501925133483348,1.6185134971269033,1.5471440437326838,1.559147445653682,1.663452914203039,1.5964570987811197,1.2712970699474866,0.9266319768976609,0.9070732676306191,1.0293089628688696,0.9729333937048673,0.9602206841998752,1.0250377603592087,0.9731774232886715,0.9172183496342265,0.9242592024904067,0.95780617453019,1.0343878729050469,1.0782822014293874,1.1046002513466793
"Waste",0.43728431090497905,0.45139457476385597,0.46636488434375906,0.48289415973897204,0.5118648961516897,0.5354750434709701,0.48178537702992635,0.46947571867936255,0.42627394849261224,0.3958488142659779,0.37045468367582685,0.3528153345684485,0.381057149456193,0.38872950210369545,0.38244637675262166,0.36352540470548345,0.3583880377320914,0.35341838051278346,0.37965490062317014,0.3869277414583968,0.9940987666744416,0.5450936610394186,0.5514344992734856,0.4466881994806924,0.5079516697202898,0.5956324837458113,0.5643571978577921,0.4879865683681163,0.5405007525799197,0.5772837031419696,0.5829012140539669,0.5640007031691453,0.5589380290706428
"Net total",73.56840100643204,78.84710407765176,73.26113925833452,72.59826622945398,66.20678470444345,70.7318937283513,65.69058098391788,77.39342839959644,74.77467135104307,79.52549249796904,68.37570108259084,74.30941919218155,69.3713651000664,73.65837009677303,75.18711879749816,75.21873909820918,75.1151139516168,79.88303174391892,74.49902364187822,75.64280221056431,83.27634370739008,74.58229897253528,58.83789603221776,73.91108112612358,72.64321974161112,72.96856258482525,81.15753274506604,74.32424975739882,79.46707068098216,76.73791030644378,61.51733044150671,61.30091745539286,62.6270605545149
"Gross total",51.065217472539366,52.66002979998322,53.09045694178745,52.39550689380379,54.86884293103084,55.73138596415691,52.63985902714622,55.52741252544831,56.37201808823841,57.71456695389771,55.5922299548738,54.610107881338855,54.41732405498785,56.715350109839854,59.17024029597221,59.61589149732757,60.06249178365868,61.96980252926477,60.61658651968326,57.832928763754104,59.43721306546238,57.53747870324649,51.933603295611476,56.173259229275196,59.333575234714544,57.02725647790286,54.71786336341479,55.59697309623495,56.27680296672155,59.12351134951926,48.518493624878104,52.20025319375223,52.61197487354633
