"Nevada Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",31.724628547034623,33.63025983440521,34.61043434439871,34.9573634245824,37.02605953706693,36.14487758643986,38.74226130418954,38.91176850780792,41.97711309614958,42.44875124629158,46.36883587463056,45.666256229506516,42.60235381643566,45.07470189218097,49.11700466407096,51.511217246301236,42.40288482910911,42.18804161267907,41.52088845811326,40.216187787733624,41.097411678393016,37.59489700040748,37.61947261273358,39.33950080399372,40.11196612330698,38.23454490714782,39.384968009656404,39.441465260971,40.60204884165237,41.223705705582915,36.53344633337757,39.610539813397224,40.174875908541466
"Industrial processes and product use",1.1102948746339132,1.1917839006928113,1.185304050209795,1.1769019626787596,1.2471306811824807,1.3829444876739396,1.4603241983179203,1.5262680369038446,1.7274141491957995,1.7801020408937565,1.7990918692819982,1.8085859560473625,1.8563271507081947,1.8840581388672026,2.029558237659738,2.117951484888445,2.1189020915592005,2.0086451622728227,1.9879585424749862,1.9709403878603404,2.4683087553036027,2.5019568877384857,2.623516775200482,2.5553221574598433,2.575141421885822,2.3996253991106027,2.2187733611795033,2.113393105851393,2.180387664860413,2.151901370698174,2.4870690774194033,2.4370646250436767,2.501154112606732
"Agriculture",2.261784654431392,2.301217950089946,2.342075916778886,2.452557215408048,2.271436354938124,2.4003479517359048,2.4457193552887797,2.466289448804226,2.612071974867092,2.301259620999278,2.4316623775573913,2.387214627178822,2.414395680072508,2.4914835108260074,2.555570683845471,2.5938187435537343,2.4140717626264134,2.336218067219987,2.425940003747342,2.5051521913897563,2.5177439500604937,2.475040548242652,2.318978944679148,2.4352256917272523,2.4991761918743105,2.5904682389243,2.432615125775155,2.465253577018565,2.4621110936280366,2.5753572140562744,2.383463622804371,2.4325435223072756,2.3948984015683425
"Waste",0.976808003909572,0.9931822430734865,0.9613574872967648,3.480039031045491,3.452109932276858,3.305691310045177,3.1450977546412417,2.863175314610344,2.5770182248155677,2.5890511989965694,2.5198904862159024,2.416942456186005,2.3569085615541105,2.3868159377304834,2.4453295071844794,2.4619509663611447,2.3726151833981053,2.2646287153874214,2.15540586854841,2.107817165597691,0.6201494399080497,0.5015514553257806,0.754373505076062,0.6841790725032648,0.7681857560206883,0.6897078489941628,0.7231106431246954,0.5710038562770747,0.6559064831708683,0.7949449185447478,0.7916246055771173,0.8028774047036443,0.7375446149586288
"Land use, land-use change, and forestry",0.5322228349993369,0.06058421779961219,1.2177872981450797,-0.2002456648695298,-0.13213580475603892,0.09719277470382055,0.18875149274913125,0.05528043411991493,-0.045110461969829825,0.33189985905164565,-0.053680219023018935,-0.5323058775938356,0.09650285581473131,0.13884712436467309,0.29154869034869146,0.34374774164851923,0.4371143184012537,0.30163921466374216,0.6431211789001933,0.41889862317445004,0.3450668141659473,0.9136390440706217,-0.10901697884822821,0.570793320029735,1.0207615482553287,0.8448689646246745,0.4982855183935642,0.48388412709572476,0.7592845375330016,0.33785130328309754,0.20498768907037282,-0.04597391911453627,0.06153131936995326
"Net total",36.60573891500884,38.17702814606107,40.31695909682924,41.866615968845174,43.86460070070835,43.3310541105987,45.982154105186616,45.82278174224625,48.848506983058215,49.45106396623283,53.06580038866283,51.74669339132487,49.326488064585206,51.975906603969335,56.43901178310934,59.02868618275308,49.745588185094086,49.09917277222305,48.7333140517842,47.21899615575585,47.048680637831104,43.98708493578502,43.207324858841034,45.585021045713816,46.97523104134313,44.75921535880156,45.25775265812933,45.07499992721376,46.659738620844685,47.08376051216521,42.40059132824884,45.23705144633728,45.870004357045126
"Gross total",36.073516080009504,38.116443928261454,39.09917179868416,42.0668616337147,43.99673650546439,43.23386133589488,45.79340261243748,45.767501308126334,48.89361744502804,49.119164107181184,53.11948060768585,52.2789992689187,49.22998520877047,51.83705947960466,56.14746309276065,58.684938441104556,49.30847386669283,48.797533557559305,48.090192872884,46.800097532581404,46.70361382366516,43.0734458917144,43.316341837689265,45.01422772568408,45.9544694930878,43.91434639417689,44.75946713973576,44.59111580011803,45.900454083311686,46.74590920888212,42.195603639178465,45.28302536545182,45.80847303767517
