"Maine Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",18.687828838482655,18.59411284645185,19.477103042130718,18.725488006814977,19.910413316730327,18.750208075419504,19.505755045407415,19.677121366972273,18.973434318808692,20.142464009657655,22.147007848587336,22.515411296694673,23.84702399394156,23.93754824039224,24.18110364662061,22.855483315569444,21.43820339002207,21.019259193630916,19.115639429765583,18.34292444632603,18.0696524387192,18.036895844761148,15.861624360450092,16.61263393308955,16.674120714478263,16.75036099863789,16.046089832517183,14.748395241487449,14.70138854782919,14.436411921042176,13.428198807554692,14.153213846096754,14.95628846401262
"Industrial processes and product use",1.1115607935059622,1.0659107366721072,1.1208213369911093,1.2178452410044034,1.195434259965172,1.3499533538323012,1.3851502581143473,1.4613272129798018,1.5567312224051344,1.5966250783996554,1.5224171833499367,1.5049261615319902,1.5315759011747783,1.4628591027192983,1.550927764546901,1.5839990308057792,1.6495772055842517,1.6814206515298895,1.5728787479476756,1.3577998042976849,1.0722228965407128,1.1654288893814888,1.1458560033031306,1.286687692079876,1.4319044124927254,1.3776756667693433,1.3849911187628732,1.2208245566055378,1.241927870155343,1.2632500333185817,1.29537239960597,1.3067924482256832,1.3044727470078068
"Waste",0.670606307428461,0.6822060325517829,0.6874939324879871,0.6363993188249832,0.6477913113013981,0.6739283690544858,0.7355509949602451,0.7207354697286468,0.7608049684885049,0.8655690136563827,0.8954455764517152,0.8777178134759395,0.8411554613235098,0.7923847262409754,0.7967310672861879,0.8924261151964479,1.0182672530145018,0.9752231958754335,1.0223210794350965,0.9716834768606708,0.8167954631075786,0.7612783775896632,0.6270087299236975,0.6076787167542851,0.6207131561900895,0.5895290968152858,0.5653140906186637,0.5662441792136761,0.5660363918990927,0.5696369511510279,0.611457340540392,0.638849232470051,0.6389679383733605
"Agriculture",0.6066212643333391,0.5883075089264902,0.5863223180687188,0.5856365334982605,0.5995448956049473,0.5802711563956587,0.6511471080225139,0.6177988068178364,0.6342494643558664,0.6423676614027867,0.5788022696711034,0.5823158889508476,0.6185581634474883,0.6165843635491454,0.6155581657624808,0.6525643657244713,0.6717139303629884,0.6500195600936883,0.6805652520607011,0.6610629573624182,0.6567629053370868,0.5483289660749301,0.5539232443108724,0.56083806578315,0.513911442092146,0.5301351647087639,0.549307167701592,0.5411165170939624,0.5553009712746165,0.5439941808542391,0.5432559743443939,0.5229166206542766,0.5092502113108748
"Land use, land-use change, and forestry",-13.427793222031145,-13.42422039255246,-13.339269941343764,-13.348329489928156,-13.462036363541198,-13.559289808556176,-13.70264174070134,-13.83639089856549,-13.976086334899355,-14.245909126880681,-14.374503506070864,-14.693082428521462,-14.9577122673952,-15.149947945039175,-15.514215487359838,-15.748996496389253,-16.092178289348833,-16.316512029620647,-16.757579776651433,-16.991165790116476,-17.208915403063994,-17.535094017577816,-17.806833612273373,-18.111606889788305,-18.187138433817537,-18.270335482848846,-18.288313813147596,-18.4088279858978,-18.497074718234003,-18.249068949052717,-18.07655624367001,-17.86839251591234,-17.664449240271264
"Net total",7.648823981719271,7.506316732049772,8.532470688334767,7.81703961021447,8.891147420060644,7.795071146145773,8.574961665803182,8.640591957933072,7.949133639158843,9.001116636235798,10.769169371989227,10.787288732131989,11.880601252492136,11.659428487862483,11.630105156856342,10.235476330906888,8.685583489634979,8.009410571509282,5.633824732557628,4.342304894730329,3.406518300640581,2.9768380602294116,0.381578725714423,0.9562315179185603,1.053511291435683,0.9773654440824373,0.25738839645271483,-1.3322474914971778,-1.4324209370757615,-1.4357758626866932,-2.198271721624561,-1.2466203684655746,-0.2554698795666006
"Gross total",21.076617203750416,20.930537124602232,21.87174062967853,21.165369100142627,22.353183783601843,21.35436095470195,22.27760340650452,22.476982856498562,21.925219974058198,23.24702576311648,25.14367287806009,25.48037116065345,26.838313519887336,26.809376432901658,27.14432064421618,25.98447282729614,24.777761778983812,24.32592260112993,22.39140450920906,21.333470684846805,20.615433703704575,20.511932077807227,18.188412337987796,19.067838407706866,19.24064972525322,19.247700926931284,18.54570220960031,17.076580494400623,17.064653781158242,16.813293086366023,15.878284522045448,16.621772147446766,17.408979360704663
