"Arkansas Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",57.831074809625186,56.73597905647743,58.81060494833663,57.722206278246034,61.441790401967445,64.70064787572257,67.01518784700822,65.77649931314443,67.21027059327113,68.75990263130694,69.38873461831388,68.19281280844393,65.92993991360207,67.25342489390773,67.09318827486578,65.60636729370076,68.24944187796197,69.43807394596227,70.00078050501166,68.23489090889,73.87574648484426,75.42539487730383,74.26228132088322,76.48722627145912,77.51352864589118,66.4511580428307,68.84407704830771,71.2380365063838,76.82844939421865,70.50570931930996,58.7188832617887,65.98478214300279,67.24118349687141
"Agriculture",16.231704898593016,17.545271852801285,15.698400258819115,17.09512734390327,16.90461914804928,16.806185141301626,16.931285944120802,16.62312939669583,17.76364756357428,17.18205012053619,17.85520502426302,16.884936973094614,17.074979863748528,16.685733830688847,17.556206885986207,18.5948023751821,17.993703866467815,17.581959164148966,16.728685768435366,18.280159238267654,19.713483053806033,17.9506438703235,17.640578782253503,15.763828784730528,16.895313046101283,17.307103981540028,18.10407799774875,15.629437288819176,18.23957498893374,15.961219704659774,16.564930819267786,16.620157206313372,16.559622563685135
"Industrial processes and product use",4.8796423734468375,4.674264954181776,4.743999901976747,4.8013875006213125,5.015671553872557,5.49255912286669,5.82884043688914,6.167654671179859,6.547605157500022,6.866049788156746,7.05074918668816,6.981758518557107,7.451717027731771,7.6679711364255585,7.623635236051635,4.710227132880325,5.0038115667940355,5.234389666332569,5.085420163069499,4.448151943140316,3.948705317377224,4.375643309274282,3.9742917857287794,3.1447326573134435,3.5584246159324584,3.569695569390745,3.1725579681802,3.708530408013309,3.822747459885547,3.54303193881875,3.7896034844743443,4.01730491125456,4.191311704150309
"Waste",1.9400798510631287,2.2131984446355384,2.4241757198359397,2.0593549768140873,2.3699118766108405,2.367856244595468,2.480756245428469,2.353180182452034,2.192954287533985,2.1914596793607357,1.9955122815283541,1.9554408552115716,1.9381617862876033,1.9676628476017937,2.0108271943823106,1.9765555556859675,2.0269737731445336,2.0212804292456408,2.183185176547712,2.0785209414291077,2.950201013881232,2.767802972400434,2.718948722652476,2.5749055165639323,2.6049554484799056,2.583409921207024,2.515414751389307,2.4749098605792446,2.423210531846972,2.5025041656002114,2.5219871596607475,2.572059195079746,2.538488115973969
"Land use, land-use change, and forestry",-53.54267020088893,-52.52833645980267,-52.02723368080321,-51.3039281212601,-50.525926590580625,-49.2422371557435,-48.985543437213614,-47.916384151202585,-46.66312474694216,-45.70323151916612,-44.92392557732344,-43.704215076679105,-43.166813985028305,-41.89106838144565,-40.82319523418026,-40.07240538577583,-38.305598588197725,-37.0929243463286,-35.93525991070104,-35.16440895276298,-34.83238462628049,-35.071136603155345,-34.444873947435575,-34.579183088080335,-34.52287153309561,-34.76793988800555,-35.09571309952223,-34.8229951247615,-36.3124571896523,-34.46577987760193,-33.877144556294944,-33.575161487078084,-33.0089123973918
"Net total",27.339831731839247,28.640377848293376,29.64994714816524,30.374147978324615,35.2060663899195,40.125011228742856,43.27052703623301,43.00407941226957,47.05135285493725,49.29623070019449,51.36627553346997,50.310734078628116,49.22798460634167,51.68372432717828,53.460662357105676,50.81554697167331,54.96833249617063,57.18277885936085,58.0628117023632,57.87731407896409,65.65575124362823,65.44834842614671,64.1512266640824,63.39151014198668,66.0493502233092,55.14342762696294,57.54041466610373,58.22791893903403,65.00152518523262,58.046685250786766,47.71826016889663,55.619141968572386,57.521693483289035
"Gross total",80.88250193272818,81.16871430809604,81.67718082896845,81.67807609958471,85.73199298050012,89.36724838448636,92.25607047344663,90.92046356347215,93.71447760187941,94.99946221936061,96.2902011107934,94.01494915530722,92.39479859136998,93.57479270862393,94.28385759128594,90.88795235744914,93.27393108436836,94.27570320568945,93.99807161306424,93.04172303172707,100.48813586990873,100.51948502930205,98.59610061151797,97.97069323006701,100.57222175640482,89.91136751496849,92.63612776562596,93.05091406379553,101.31398237488492,92.5124651283887,81.59540472519157,89.19430345565047,90.53060588068084
