"Alabama Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",126.50247364078808,129.58958395571216,134.6528670214088,136.64235514249455,137.09444928449378,147.54097441738648,150.46170737998867,145.58814144819294,147.97160179166795,150.249680096105,155.72812833994058,146.55243073742054,149.7183607028203,151.77657729406613,152.13549629799599,152.41447284162743,154.14853807278448,157.00230470879572,150.86103208252314,132.47975682146026,145.13576363760632,140.1263227041274,132.42810133665586,130.41266884631162,131.56784301272458,126.58620079485985,119.7162901216965,114.2160179150129,119.85332473854434,112.28310976327624,105.15071265269147,115.02524950038058,115.69981950923943
"Industrial processes and product use",16.197307983753785,16.50307225986657,17.013980778992046,17.63193549035847,18.804913295095997,19.87944027966865,21.368080415796943,22.923004270092385,24.730013104929345,26.181088071614294,27.998235503385906,19.677608113181112,13.259685390921863,12.896797524946022,12.561808186374623,12.475324361515172,12.792068493538338,12.608776167112927,12.509173791712819,10.109218940352841,8.628005381941541,9.170935372151341,8.67488800757499,8.936483572445853,10.181109211437303,9.223929687918629,9.381672796186088,9.218524078434129,8.712599022484138,9.041651530054757,9.094844683952836,10.278343359886302,10.177657612833766
"Waste",3.222414166995756,3.128991195495406,3.104558806077441,3.826316487006413,3.893723229573435,3.902907821505622,3.783026182981276,4.220532707402596,4.131617569334387,3.899272784357459,4.005260470165846,3.8712340401045426,3.9184494887659342,3.7641312074445867,3.8118717398085975,3.7926517782658715,3.6691131891894786,3.8658975704615406,3.878467127416034,4.326402402163497,4.624280274661118,4.5044281079657935,4.659282134718637,4.664796776395056,5.033695994033763,4.7241223479926004,4.771090214727754,4.968897087320223,5.331559516261597,5.558713734940159,5.687167738160429,5.153917610494801,5.064893426568311
"Agriculture",6.256273089761482,6.2523786663708165,6.158917093328606,6.135700388811454,6.464684819082527,6.334979965983052,6.349767986243959,5.96993465219149,5.94242348740095,5.859214941533371,5.597480770256195,5.616019317716973,5.459824238118799,5.540886625177709,5.531506844643781,5.362116381745724,5.13518414959116,5.216681756021407,5.384614359767401,5.138429905164473,5.117682067604402,5.075738703290739,5.083028849478266,5.3009713751574,5.11267213853403,5.09894004656042,4.990051202133282,5.400000367863077,5.368080624402271,5.173350692419325,5.291402927535737,5.134488555023615,5.024960135433925
"Land use, land-use change, and forestry",-54.80163834218325,-54.399070590558196,-54.59744962482807,-54.93801658968854,-54.714191358048375,-54.74467734707883,-54.61663343672665,-54.79919741544044,-54.52238174497103,-54.042677258233134,-53.85198611206534,-53.12670930168866,-53.00325275771146,-52.25244659251817,-52.30227250742257,-52.09617484958823,-53.001376914065425,-53.01009436232752,-53.0511217934568,-53.43311612706037,-54.256207039551356,-54.2872232044474,-54.83762510447599,-55.67981278090921,-56.4357186652868,-57.092148775589024,-57.39612903909232,-58.082547796944176,-57.515071212299695,-57.072464433308014,-56.24074951615949,-55.66413350856849,-55.069609613727486
"Net total",97.37683053911584,101.07495548688676,106.33287407497883,109.29829091898233,111.54357927019734,122.91362513746498,127.3459485282842,123.90241566243895,128.25327420836163,132.14657863537698,139.47711897168318,122.59058290673451,119.35306706291541,121.72594605911627,121.73841056140043,121.94839051356595,122.74352699103804,125.68356584006406,119.58216556796258,98.6206919420807,109.249524322262,104.59020168308788,96.00767522395176,93.63510778940073,95.45960169144288,88.54104410174246,81.46297529565132,75.72089165168614,81.75049268939264,74.98436128738247,68.98337848618098,79.92786551721682,80.89772107034796
"Gross total",152.1784688812991,155.47402607744496,160.9303236998069,164.23630750867088,166.2577706282457,177.6583024845438,181.96258196501086,178.7016130778794,182.77565595333266,186.18925589361012,193.32910508374852,175.71729220842317,172.35631982062688,173.97839265163444,174.040683068823,174.0445653631542,175.74490390510346,178.69366020239158,172.63328736141938,152.05380806914107,163.50573136181336,158.87742488753528,150.84530032842775,149.31492057030994,151.89532035672968,145.63319287733148,138.85910433474365,133.80343944863031,139.26556390169233,132.05682572069048,125.22412800234048,135.5919990257853,135.96733068407545
