"Rhode Island Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",9.311281445724003,11.068400548373546,13.431083788086676,11.06201166216778,13.074120373239387,12.263398761411878,13.769711902272611,13.447288852101469,13.961732651964626,13.310791004392632,11.888494200494932,12.492721891261924,11.772166288959976,11.648899892737678,11.155415899050727,11.27725173855011,10.752980079826315,11.262777314934244,10.808569397808228,11.351031732773052,11.15766373706533,11.202410763116381,10.54679835484935,10.146083459669113,10.675073727771458,10.897040730642324,9.65867988826627,9.99419304493835,11.119959893917308,10.50970809656794,9.894950461780414,10.678058079104579,10.25248891218931
"Industrial processes and product use",0.08710050069253908,0.0825313277251087,0.08566867147212484,0.10030415065697836,0.12437391630496428,0.18166870249850342,0.21919457153721708,0.2538877594820329,0.281539056066173,0.3105143134396364,0.3210309796793109,0.3405424559293486,0.35561758451206893,0.36577143410813573,0.3844358488037114,0.39847213473267645,0.4200700644801819,0.44226871246746857,0.46573407134371136,0.47032980504124966,0.46629158115513114,0.5182818643664643,0.5328338742621127,0.6160691471323166,0.6721402387107189,0.6746192059395425,0.6730816966161906,0.5876752838586075,0.5913624114304277,0.6763271618953416,0.7752339904284726,0.7708297427213527,0.7071109886806906
"Waste",0.7968719056553805,0.7603296026854106,0.7764184160564555,0.6555970556716069,0.7083453006168339,0.7688432559946531,0.7254555650367155,0.7698234921276623,0.8351953075712952,0.6832304667703529,0.7470454685695586,0.7405050975548347,0.7166298598432991,0.7967739273852426,0.7630870799408408,0.7652837979597197,0.7001969967276034,0.5809225902114177,0.4863066896576414,0.40959993276979867,0.4653644692270299,0.2982195799927732,0.459534006992025,0.32011351412978983,0.2734287780117231,0.2810588779339125,0.27962677642329953,0.2886929595010695,0.30267724347809183,0.3286220146974326,0.21438484332134,0.2121980233143394,0.2148139288629018
"Agriculture",0.042875176392163476,0.04382561120087639,0.048634361126671403,0.06562182943836761,0.04567140484647715,0.04192897513410628,0.04323719519352795,0.03829862547480079,0.042671553574265934,0.044850654138040694,0.04625436576840326,0.04380368154764448,0.04050258682992781,0.03896717645917323,0.03810655654218327,0.038400455584889186,0.03968646820268353,0.03694711299550607,0.04128445496446571,0.0401999298197684,0.038237962638779634,0.04062628813935186,0.04059398951535787,0.03897201767185248,0.038022545745359064,0.04102975251685723,0.03763553917184836,0.03728222613898046,0.03698146762106883,0.03515573085179115,0.03276300417413451,0.03180725461212999,0.031597486318550555
"Land use, land-use change, and forestry",-0.45220304082844437,-0.44657671839941643,-0.4440239207302079,-0.4383130558172477,-0.4290457899826593,-0.4258121201950258,-0.42555192663686053,-0.4317578327014473,-0.4253405236602687,-0.43062358267042405,-0.4408863205043733,-0.439688066841638,-0.45290642977236895,-0.44545210430511584,-0.42873826258459513,-0.4438405650726308,-0.4448793962077328,-0.43767224786050635,-0.44214376549582246,-0.4446305594062654,-0.45130057999854173,-0.44990939098243404,-0.4604221175481623,-0.4596370248410287,-0.4612484313772844,-0.4611735817723367,-0.4578932008741214,-0.47142616446406954,-0.4820843307701255,-0.49104662056824655,-0.5048946591450675,-0.5097971197064347,-0.5171319152780453
"Net total",9.785925987635643,11.508510371585526,13.897781316011718,11.445221642117483,13.523465205025003,12.830027574844115,14.332047307403213,14.077540896484518,14.69579804551609,13.918762856070236,12.56193869400783,13.177885059452112,12.432009890372905,12.404960326385115,11.912307121752868,12.035567561754766,11.46805421302905,11.885243482748129,11.359750848278223,11.826530840997604,11.67625717008773,11.609629104632537,11.119338108070684,10.661601113762043,11.197416858861978,11.432574985260299,10.191130699603487,10.436417349972936,11.56889668567677,11.058766383444258,10.412437640559293,11.183095980045966,10.688879400773411
"Gross total",10.238129028464087,11.955087089984943,14.341805236741926,11.883534697934731,13.952510995007662,13.25583969503914,14.757599234040073,14.509298729185964,15.12113856917636,14.34938643874066,13.002825014512204,13.61757312629375,12.884916320145274,12.85041243069023,12.341045384337463,12.479408126827396,11.912933609236784,12.322915730608635,11.801894613774046,12.27116140040387,12.127557750086272,12.059538495614971,11.579760225618847,11.121238138603072,11.658665290239261,11.893748567032636,10.649023900477609,10.907843514437007,12.050981016446896,11.549813004012504,10.917332299704361,11.6928930997524,11.206011316051455
