"Massachusetts Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",87.26054153076919,85.20869379497708,86.91858410836744,83.29796828657378,83.9559244560647,81.14082423593511,81.91664362054212,87.88560239944928,86.0703352959466,83.71685084094459,84.60020882096805,84.72343904528955,85.03962763619064,87.25293865540796,84.93191594890041,85.40665750044523,78.9005509206346,82.07640278695486,77.18168082342815,72.60911656507056,74.98127224569102,70.91167107427931,64.31867951181144,67.98836153123563,66.8039285472236,68.22183314081153,65.14829778967028,65.24558643594189,64.91952135500584,64.38664152452678,53.796548740062505,57.52366540413932,60.59063896632346
"Industrial processes and product use",0.7302073028043984,0.7145334141244262,0.7409841359095749,0.8595210607059234,1.0270469117448946,1.3692752787426852,1.6153606459965295,1.8513738326614742,2.1902850055868863,2.3298900609009174,2.4086739946462106,2.479240682906303,2.5556380190283616,2.665032937226907,2.612479637404514,2.720461994283182,2.88443241393575,3.0420010968749356,3.2016599780537582,3.1680971021875646,2.9135752901883367,3.064256008149237,3.17444223996167,3.588085630642608,3.9982061130830804,3.9387861651849625,3.995438139672761,3.489313419468342,3.929872448336912,3.7318643868722385,4.1084661410739045,4.266933825210844,4.403947719622969
"Waste",2.5279373970076158,2.568763655089205,2.4877872180678766,2.2172055590878967,2.198768075259465,2.0776828749344833,2.0833769754659133,1.975334182861317,1.957410002750837,1.7920947232083213,1.6485182403981185,1.6553728911692378,1.7648890829057702,1.8336642618691135,1.8521249763904644,1.8855164549762629,1.87947198499507,1.8051528446583527,1.8065837889095033,1.7420450369841136,1.6402218638395532,1.6199336787854606,1.7448000349480814,1.6194333363315234,1.5659301586366656,1.5885994578847127,1.5589166107978716,1.5372855841550903,1.5122168050692233,1.5039949596683821,1.4599224729162197,1.3738318003344185,1.3628256048571348
"Agriculture",0.4301279436940178,0.4157867984299905,0.4196182525417297,0.4057418576403911,0.40825680139738424,0.39931610107702825,0.3809247546043092,0.37784682918875834,0.3814726453813735,0.3858261075783706,0.3726778338864138,0.34567430600024124,0.3657863952437527,0.3419340238211759,0.32991769168391755,0.33334434124914436,0.32979948819619015,0.31139788419024866,0.31950659943057746,0.30853854733191716,0.32713230403013643,0.29715607530199717,0.2894837368641701,0.28647576290247007,0.2747231146237755,0.2835066638305213,0.2620741612765818,0.27697681703333826,0.26628975020010803,0.2568960142452873,0.24590850718334223,0.2705427500778587,0.2754983017653461
"Land use, land-use change, and forestry",-5.088512593592829,-5.1476215527361795,-5.138161505703972,-5.187948050342477,-5.206415618780279,-5.225033998009555,-5.352959941119023,-5.383022937559462,-5.531316908047635,-5.610307495605219,-5.650624883789887,-5.747552228711122,-5.789173335081736,-5.86322056293329,-5.982282627522873,-6.048708999094001,-6.105692251078745,-6.154543157774708,-6.2916648770281505,-6.359018998983673,-6.429663723578856,-6.4982695110467015,-6.513025442434658,-6.526420531026286,-6.642986720599881,-6.649669356612702,-6.662710784592174,-6.704930824130516,-6.651713151987936,-6.644226454704705,-6.604293587480796,-6.519581846322697,-6.471058426522207
"Net total",85.8603015806824,83.76015610988452,85.42881220918264,81.59248871366552,82.38358062568615,79.76206449267977,80.64334605548984,86.70713430660138,85.06818604161808,82.61435423702699,83.3794540061089,83.45617469665422,83.9367677982868,86.23034931539188,83.74415562685644,84.29727129185983,77.88856255668286,81.08041145490368,76.21776631279384,71.46877825259048,73.43253798017018,69.39474732546931,63.0143800811507,66.95593573008594,65.99980121296726,67.38305607109902,64.30201591682531,63.84423143246815,63.97618720662415,63.235170430607965,53.006552273755176,56.91539193343975,60.161852166046714
"Gross total",90.94881417427523,88.9077776626207,90.56697371488661,86.780436764008,87.58999624446643,84.98709849068932,85.99630599660887,92.09015724416084,90.5995029496657,88.2246617326322,89.03007888989879,89.20372692536534,89.72594113336854,92.09356987832517,89.72643825437932,90.34598029095383,83.9942548077616,87.2349546126784,82.509431189822,77.82779725157415,79.86220170374904,75.89301683651601,69.52740552358536,73.48235626111223,72.64278793356713,74.03272542771172,70.96472670141749,70.54916225659866,70.62790035861208,69.87939688531267,59.61084586123597,63.434973779762444,66.63291059256892
