"New Mexico Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",67.48746555046478,62.69442675142844,65.94684466756485,69.17681919332831,70.17108476371993,70.22774532905224,69.99877188226692,73.26210821843313,73.24593290306196,74.28193375520443,77.85157542092938,77.76352213344288,75.71495443023313,79.27576005792471,81.30375503881348,82.81818488392288,84.11140171547603,82.85567271973271,80.98255061284684,82.59432372348027,78.5955420226605,81.6090510510258,77.39752442212539,76.00626710070698,69.29793536838986,68.9095856897602,66.37362549677012,66.44814934300874,63.44590718706957,68.71788983563644,63.489239664955484,63.96529507373718,64.16395689399297
"Agriculture",9.599229881475397,10.004143493185753,9.243989166504164,9.619169680090359,9.92975619431126,10.293270023267898,11.313883686985989,10.979796089360663,10.81552972971714,11.094662272072764,10.492792696734522,10.848668093729241,11.434151212437726,11.232386760659125,11.628396980776941,11.486487736101195,12.14966654017193,11.428026907835745,12.101769094294125,11.570544172152111,11.840830035221384,10.903360858622479,10.695401643122656,11.59173834014431,10.947486206384543,11.358326206873466,10.655002810659512,11.428952855091419,11.148438276996584,10.910215629473866,10.402287705628723,10.52286213671431,10.007068039392724
"Land use, land-use change, and forestry",5.994965488695174,8.023925710136265,5.705734294886154,5.2919797660221475,5.1421598076952435,6.131047478972325,7.214259337894877,7.786794381729556,4.9954720896569675,7.550899035055384,4.389097582208342,4.695396404667802,7.276185842221391,6.486318730566117,7.339732909679516,6.650595115473099,7.562437166496146,5.356289325199224,6.12860776302996,5.921211799111719,6.936123034545179,5.629991492537257,5.939183633185352,7.1495330974011715,6.905982924769765,8.061306782598834,6.15219658147258,7.525884556720241,6.621128406956284,5.660324685913185,5.7532943209896406,3.5061039823912235,5.657572015182866
"Industrial processes and product use",1.504931555369046,1.447076787153682,1.4240547657448996,1.6126029147067815,1.7626683246622468,2.0678485529550863,2.242926179194529,2.2837827255355743,2.429318651422427,2.669538007583379,2.365833703345356,2.2219944635384823,2.248943206547321,2.283195407719462,2.417013729313697,2.465956242544649,2.6200150552510957,2.5535586980225804,2.386219119244121,2.187026692891315,2.14891032591621,1.5576782270419487,1.6659992325017048,1.670791465220331,1.8767313138329824,1.7950861161606386,1.645972933883249,1.4157498182095105,1.3436645884119214,1.3412558705970112,1.524393239940081,1.520828314698877,1.6362778533391842
"Waste",0.783019610338733,1.144022531657223,1.1308723564163505,1.0675640256348577,1.0882904825682493,1.2217007407730842,1.3627447015710161,1.298353611609906,1.2383557142048986,1.1518235233129717,1.346784911953181,1.3298819632231897,1.3005476234640718,1.305874153748873,1.3199826077977928,1.3175459600940982,1.3578485150735045,1.4019096327274414,1.3368619635474022,1.3333271926760784,0.7945944338367262,0.8232846919808485,0.8133905293255698,1.0704243553544266,1.109469410440223,1.0487964609608829,1.046842024046937,1.199447887647747,1.2331447014706363,1.1943618514979633,1.0673550165184935,0.9791565366125191,0.9622264292120221
"Net total",85.36961208634311,83.31359527356136,83.45149525111641,86.76813557978247,88.09395957295693,89.94161212502063,92.13258578791333,95.61083502666882,92.72460908806339,96.74885659322894,96.44608431517078,96.85946305860159,97.97478231490365,100.58353511061829,104.00888126638142,104.73876993813592,107.80136899246871,103.5954572835177,102.93600855296245,103.60643358031149,100.31599985217998,100.52336632120833,96.51149946026067,97.48875435882724,90.13760522381736,91.17310125635403,85.87363984683239,88.01818446067766,83.792283160905,87.82404787311846,82.23656994803243,80.49424604415411,82.42710123111976
"Gross total",79.37464659764794,75.2896695634251,77.74576095623026,81.47615581376031,82.9517997652617,83.8105646460483,84.91832645001845,87.82404064493927,87.72913699840642,89.19795755817356,92.05698673296244,92.16406665393379,90.69859647268225,94.09721638005217,96.66914835670191,98.08817482266282,100.23893182597257,98.23916795831848,96.80740078993249,97.68522178119977,93.37987681763481,94.89337482867107,90.57231582707531,90.33922126142606,83.2316222990476,83.1117944737552,79.72144326535981,80.49229990395742,77.17115475394871,82.16372318720528,76.48327562704279,76.98814206176289,76.7695292159369
