"Iowa Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",64.62631156308139,66.94236798522061,64.6632243785628,67.56930019737254,68.89247910876306,72.22803602587572,74.8240295190756,74.4532259274381,77.89877544784832,79.77695747215513,81.49907145331116,80.43968718647305,80.76465576234253,80.7341472283253,81.92275970010276,81.47012893446367,83.24221054531179,89.00151749748298,92.42236368782535,87.21438509522432,92.15603902819055,88.8432278583596,82.4130211777303,84.25960914939228,83.83666172476192,78.02230223644348,73.9587333739036,74.32255963621091,80.23723251014991,75.26471359797922,63.221365370078644,71.32699423347766,71.59951589349032
"Agriculture",34.915945995457044,34.49548892453837,31.490992485449517,32.74238509205662,33.59462872793613,33.82858459788649,33.14198834475104,31.870764824230903,33.92323464545971,35.63922780097849,32.478683916000676,33.93431558139223,36.585862166433856,33.7140785173548,33.871304438469494,35.13366299058652,36.77046552283381,36.66360759340687,36.32620767146769,34.65853278447077,35.73992986567227,37.49869336309823,36.736285867428236,36.83562633737026,42.09773434705756,39.28158841324981,38.39441234260603,37.93053165701799,43.28755505470599,39.43138315372877,37.515589409246516,38.58274326555885,37.70749380621846
"Industrial processes and product use",3.2628234037641843,3.3069822625186265,3.391878641824698,2.9030359655892983,3.1467965894836216,3.1408089366497793,3.562793470491323,3.7832431143380747,3.9746406242537833,3.797378065084622,3.6250592771797625,3.3726512853486903,3.4972320003005137,3.5764770850579386,3.7757797791603216,3.92135807797255,4.4625080636247825,4.856166930157622,4.577245858551046,4.132848926323637,4.7137375036764135,4.578557795584316,4.958702055759432,5.151833839343716,4.601347110898916,4.703658144706874,4.7663988927128615,5.947798403178758,5.79786376969973,5.704849059344814,5.7239132937439265,5.621762439948664,5.8632354153600446
"Waste",2.8002754611236105,2.6517861291651452,2.5598754840018305,2.4700391204657177,2.4216859507742456,2.4347165817054446,2.3678663407699965,2.2070951483287917,2.150319500847511,2.1252832279073806,2.1299650117962656,2.0331372261987206,2.0172727881287322,2.021825726790472,1.946726915820241,1.738481308232706,1.885136213554608,1.9266624019113223,2.106625528872615,2.123498388474489,2.3500909427285603,2.439031792305437,2.851550578612803,2.537963554484852,2.513888598652889,2.5807656064682845,2.6174531550947546,2.82194492176328,2.834159789198744,2.702095512352985,2.743997984994761,2.6821503247706855,2.63827881049759
"Land use, land-use change, and forestry",-6.1361936878696,-9.383762619964592,-10.118408024701594,-5.232580931146351,-6.908707578888121,-8.538109457901506,-10.536036147014023,-10.315672513294325,-9.42161922825361,-10.70102043022958,-11.441759980215414,-11.816343938153492,-12.250749680362942,-13.96378741314027,-13.05412617413247,-11.22052728383023,-15.476735683896951,-12.711208153846231,-16.114477073214115,-12.699179915412158,-14.563752493119697,-16.54771656247722,-13.71594289502508,-15.189515378825071,-12.725088477612957,-13.266432394953526,-11.440410375844655,-11.38796578210689,-11.809173444071083,-11.615580966793818,-9.807525470429074,-10.52539422889635,-10.690997237953901
"Net total",99.46916273555664,98.01286268147817,91.98756296513726,100.45217944433783,101.14688279806893,103.09403668421592,103.36064152807393,101.99865650104154,108.52535099015572,110.63782613589603,108.29101967807244,107.9634473412592,110.61427303684269,106.08274114438825,108.46244465942033,111.04310402742522,110.88358466142803,119.73674626911259,119.31796567350258,115.43008527908104,120.39604484714812,116.81179424687035,113.24361678450569,113.59551750176604,120.32454330375836,111.32188200591493,108.29658738847259,109.63486883606403,120.34763767968327,111.48746035661196,99.39734058763479,107.68825603485952,107.1175266876125
"Gross total",105.60535642342623,107.39662530144275,102.10597098983885,105.68476037548417,108.05559037695706,111.63214614211743,113.89667767508796,112.31432901433587,117.94697021840932,121.33884656612561,119.73277965828785,119.77979127941269,122.86502271720563,120.04652855752852,121.5165708335528,122.26363131125545,126.36032034532498,132.44795442295882,135.4324427467167,128.1292651944932,134.9597973402678,133.35951080934757,126.95955967953077,128.7850328805911,133.04963178137132,124.58831440086846,119.73699776431724,121.02283461817092,132.15681112375435,123.10304132340578,109.20486605806386,118.21365026375587,117.8085239255664
