"Florida Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",187.92907879516363,188.92988103280962,191.787471412468,198.91623449363695,203.31320919875333,207.97886861992473,214.6655195529371,217.52745006936823,230.14297245315177,230.21279679428824,238.82258165683984,237.56958839306927,242.18851974021257,248.74117027196573,255.52835142453327,258.25303568221034,256.18638301269567,254.1363571869885,239.26582862287293,227.06678171725463,241.61817506677522,228.25311406807398,223.54859811626454,223.65983368486297,228.55800539983204,232.33672023862513,233.55797852691705,233.24224969726666,234.02400942473903,227.12106787831385,207.68741327198242,224.39000774148363,228.87364447372428
"Industrial processes and product use",6.500263431679587,6.25549439466648,6.453432531940125,6.871389152024831,7.566396875624363,8.757546966743687,9.736835705430567,10.359203554793964,10.82251102528977,11.314317505849951,12.088738030649571,12.347601380468383,13.100432761652032,13.556339693944327,14.153357767885346,16.600194719851146,18.679780416242643,21.07377940129747,15.478209128749407,16.814665532961506,17.9648711683953,22.08993164801197,20.118251083394156,18.459480001468762,19.877826654800778,19.973671796401415,24.902447737286877,25.450117870027256,29.682369264230257,28.355638202568674,27.305946386269053,27.355612594705935,23.73056202737218
"Waste",10.268076204080216,9.288528259211045,9.518873941936072,9.42788023944566,9.25886300466414,8.935996068557868,8.926341979051324,8.371600852248582,8.09057033570131,8.348755788201036,8.590050423420967,8.448561984884694,8.678473948068577,9.40808039845631,9.995955246286934,10.730872008869856,10.575336020450148,9.141779944003783,8.310703246466998,7.823637515376436,10.494518737701691,9.334006924937574,9.603035058675509,9.487388560932414,9.574894869266224,9.543531669944361,9.879170228596834,10.543132709092259,10.80317169288568,11.305115804772214,10.173812758351165,10.279475800376053,10.156928590025444
"Agriculture",10.55977125599825,10.559137938464593,10.528109137560731,10.61724121903938,10.921277707565423,10.813553743659948,10.47119464540083,10.654711507702062,10.196249612964941,11.681516792137323,11.673705816172893,10.149899819395923,10.247185139551567,9.92803654406008,9.80639524763717,9.935878350247908,9.334275949536835,9.76604469288796,9.340441299136975,8.94689575168215,9.260533440572543,8.99829635616022,9.095870640827675,9.26121718920806,9.11901569179283,9.032289549449493,8.743846431498753,8.653750167399963,8.884306141328603,8.506317278172698,8.530278213491204,8.526400117668173,8.348560407020384
"Land use, land-use change, and forestry",-8.100691540314571,-7.6671665248993905,-8.151966147013805,-7.911040743171507,-7.471548727281987,-6.742374713997674,-6.997827686704051,-7.001917478212554,-6.182644638951546,-10.169406039072495,-9.823017488374395,-5.769974875962077,-4.855629407400548,-4.902296089944667,-3.960606754545535,-3.9414431834947368,-4.216994636119839,-3.6051498504058657,-4.498701661394045,-5.005762261765864,-4.8886061838060995,-4.593071879044057,-4.341715020855566,-5.056092772601713,-4.98219677740337,-5.074798098735359,-4.308528843839567,-5.44639254494203,-4.268333207223556,-4.354643063782051,-3.7214336767747906,-2.4354063708850444,-1.6477357970262543
"Net total",207.15649814660713,207.36587510025234,210.13592087689113,217.92170436097533,223.58819805932526,229.74359068488857,236.80206419611577,239.91104850590028,253.06965878815623,251.38798084140404,261.3520584387089,262.74567670185615,269.35898218208416,276.7313308184818,285.5234529317972,291.57853757768453,290.55878076280544,290.5128113747719,267.89648063583223,255.6462182555089,274.4494922296387,264.0822771181397,258.0240398783063,255.8118266638705,262.14754583828847,265.81141515568504,272.77491408045995,272.44285789884407,279.1255233159599,270.9334961000453,249.9760169533191,268.11608988334876,269.46195970111603
"Gross total",215.2571896869217,215.03304162515172,218.28788702390494,225.83274510414682,231.05974678660726,236.48596539888624,243.79989188281982,246.91296598411284,259.2523034271078,261.55738688047654,271.1750759270833,268.51565157781823,274.2146115894847,281.6336269084265,289.48405968634273,295.5199807611793,294.7757753989253,294.11796122517774,272.39518229722626,260.65198051727475,279.33809841344475,268.67534899718373,262.3657548991619,260.8679194364722,267.12974261569184,270.8862132544204,277.0834429242995,277.8892504437861,283.3938565231835,275.2881391638274,253.69745063009387,270.5514962542338,271.1096954981423
