"Tennessee Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",107.03830198823759,102.73740940239813,108.7732718009615,119.62721663493092,114.74511017703729,120.8592241564741,121.60866075861857,125.04973699411596,125.05293877611444,126.1791765062073,131.1560555136522,128.97208708967904,126.72112347525093,124.90399429554492,126.82843067310866,128.6184567884943,130.04916991425932,129.51967920707676,123.99392237922741,102.6453045185841,109.42607537504419,105.27318134320343,98.8899567683739,96.96595496492739,102.34518594945803,98.25336701493404,101.11993655855743,96.70772010415817,92.9619987101522,92.16717943436537,83.50907690710012,93.00269972139554,91.80694438870617
"Industrial processes and product use",6.806367213141596,6.299863558138658,6.377123747380466,6.094945474130718,6.246307636376564,6.819934432055704,7.048372860602369,7.386949377629831,7.506287637726871,7.735622647690207,7.863815098780853,7.591810490562349,8.114797836553704,8.358759650910986,8.114651323267259,8.39778759153137,8.932618995558139,9.407218610920474,9.455802313538864,8.47182340748356,5.9257692236472,6.175250270446716,5.426728861309355,5.659511277497845,5.6426535029616005,5.932322918378963,6.069654771074238,6.339345580650077,6.227489694608644,6.1368016857796945,6.717992923956326,7.027149135431462,7.476864417980484
"Agriculture",8.122009462288737,7.995242737302042,8.05192039199784,8.132740037113026,8.71158729102118,8.575951278901677,8.545243893354778,8.234508457170252,8.23869804822402,7.797159030436404,7.9948558301722015,8.101158232118943,7.890601425121656,8.036070157076349,8.082460653844104,7.7159548797991135,8.06887426213047,7.752356841217646,7.553609299183737,7.5976932996063535,7.324913271122071,7.384692133636733,7.51491563798007,7.799919383479237,8.360462081133946,7.231462086819244,7.470414564959702,7.718853357374649,7.975169514420552,7.477487618115977,7.347421899549218,7.3658214556817825,7.167264599933664
"Waste",5.564611751890049,5.910437366938942,5.901661768407535,5.580129048259076,5.714167898900511,5.75106693125454,5.511097922346172,5.093099748385954,4.677977646284321,4.269216744795616,4.285056541710577,4.071763078616793,4.103272657172327,4.182268012236973,4.170332951230339,4.05390965176124,4.061088109529705,3.9389387697687734,3.871363016956898,3.946502629728931,4.498012514484712,4.294371267464339,4.560483790002583,3.9079272181273446,4.069510355174065,4.169899827065005,4.045432476017321,4.023648155392971,3.959227513780393,4.154509430811137,3.5518560185311108,3.5451014172831843,3.5022365162710547
"Land use, land-use change, and forestry",-42.442591107296494,-42.23243776615902,-41.71906883369359,-41.92496133175673,-41.369037104861036,-41.10724661411805,-41.31460636198307,-40.32187678258287,-40.52761802242662,-39.98386020651664,-39.167562063261855,-38.543605389680934,-38.409596566959245,-37.920042393694466,-37.97294757512647,-37.398607683910775,-37.61879243976831,-37.53735720782184,-36.451726462631946,-36.478827378792474,-36.50286615145116,-36.3984098221369,-35.90780501878912,-35.414495277120615,-35.65609916458772,-35.6278828950033,-35.19843950967113,-34.7196469438117,-34.81059152600697,-34.60087268122098,-34.368957189157356,-34.199719122637205,-33.84676692842996
"Net total",85.08869930826148,80.71051529861873,87.38490887505372,97.510069862677,94.0481358984745,100.89893018456797,101.39876907293882,105.44241779471912,104.94828408592304,105.99731472261287,112.13222092105401,110.19321350129617,108.42019882713939,107.56104972207476,109.22292802632388,111.38750122767527,113.4929588417093,113.08083622116182,108.42297054627497,86.18249647661045,90.67190423284701,86.72908519261432,80.48428003887679,78.9188175669112,84.7617127241399,79.95916895219395,83.50699886093756,80.06992025376417,76.31329390695484,75.3351054878512,66.75739055997943,76.74105260715476,76.1065429944614
"Gross total",127.53129041555798,122.94295306477775,129.10397770874732,139.43503119443372,135.41717300333553,142.00617679868603,142.7133754349219,145.764294577302,145.47590210834966,145.9811749291295,151.29978298431587,148.7368188909771,146.82979539409862,145.48109211576923,147.19587560145035,148.78610891158604,151.1117512814776,150.61819342898366,144.8746970089069,122.66132385540293,127.17477038429817,123.12749501475122,116.39208505766591,114.33331284403181,120.41781188872763,115.58705184719726,118.70543837060869,114.78956719757588,111.1238854329618,109.93597816907217,101.12634774913678,110.94077172979196,109.95330992289136
