"Wyoming Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",68.9048865930242,67.88418272831399,73.6636296704544,70.32214094303978,73.31816990648007,70.97062935749379,72.7654649927607,72.8445890338494,79.47404013960545,79.58485482008403,83.58192064826659,86.1154314642106,84.79182712157895,86.08317972327708,88.18381659247962,88.00474855660428,90.53659276156078,93.44816854964438,94.93939251478771,90.63156742554946,92.40685669049743,91.45396963318423,91.02821162783158,92.47080059603641,87.4905104065619,85.29445430763569,79.52315991620904,79.76063927205062,81.58331864862832,75.00270112946889,73.5866847049557,72.17486133359387,71.73664845644646
"Agriculture",7.4168835988062165,7.210533985100031,7.444919839320826,8.16480596170687,8.440987188413965,8.638860960664216,8.529375856278826,9.459471021714032,9.303679768624319,8.2461500650478,7.976805475814005,8.201945993803164,8.112423778073056,7.756672844847717,8.014099620214777,7.852711761122309,8.037910750756073,8.594035676627785,8.205720182302118,8.347837760579107,8.193230456257147,8.615861013912749,8.089687241452951,8.984106050347398,9.441884878537893,8.753728936009535,8.316165946897684,9.118885663510753,8.755571515554479,9.243845888151506,8.303527255756006,8.565349475768567,8.40179772802305
"Industrial processes and product use",3.187907353260994,3.2445322581835154,3.3176488089734035,3.388600974728678,3.474239793531059,3.823624751895182,3.8700517950254016,3.982808017896857,3.724060525664957,3.5097187882781022,3.4783437341714643,3.3345566624099363,3.3953978636998756,3.472025404890672,3.689287817399651,3.9188392597577217,4.06897704253837,4.1312128975803395,4.185934114155947,3.575064168080561,2.8313867454387376,2.851866567813762,2.7961683273653506,2.807853445032522,2.840466158496973,2.857233470043618,2.76025772997565,2.939336183799777,2.9542444222828275,3.030365831229105,2.7838992547557586,3.004045703630753,3.0903680716421986
"Land use, land-use change, and forestry",3.6718022900967284,3.247193986440357,0.7329084676753073,5.653976197819007,3.2004909740196634,3.215840039476823,3.328685207560986,7.172766308227043,5.136644270911919,4.6914252354058625,2.127654008223927,0.6464834986129226,3.6740014620199672,3.8175789217150005,2.0191726184050567,6.351136025626229,2.3961410804661076,3.726246012671663,2.640224736612576,1.704267645109809,2.721862182579368,4.004090991571582,2.4883936254645738,4.394904306585247,5.8319573689770685,3.7253482370246824,3.670897772048099,3.0692179264423904,3.4740261333150504,3.165925899809517,1.7310919032840935,0.4996520500382242,1.5739341281780252
"Waste",0.23751364015586057,0.23802050647562975,0.23224824860782128,0.22242218262321278,0.22068397907934284,0.21057390150055505,0.20937530465863144,0.1963620043170916,0.18300002453007475,0.1722759262177226,0.16905478879476166,0.15677289565792346,0.15939136831372747,0.16299196346418865,0.15590801675936367,0.1517927789451688,0.16176439102425844,0.17265096747874353,0.16438353136340367,0.14638509849996012,0.22467804511783562,0.231858799845648,0.23245439673661772,0.2612514641092093,0.26862878703547,0.2772403893827357,0.2850227840932279,0.268117015669205,0.26582935472443303,0.25936739783006335,0.22317937971829344,0.2845804904148235,0.28025278382953417
"Net total",83.41899347534401,81.82446346451351,85.39135503503175,87.75194625991756,88.65457184152409,86.85952901103056,88.70295315628455,93.65599638600443,97.82142472933671,96.20442483503352,97.33377865527075,98.45519051469455,100.13304159368558,101.29244885819466,102.06228466525846,106.2792283820557,105.20138602634559,110.07231410400291,110.13565507922175,104.4051220978189,106.37801411989054,107.15764700632798,104.63491521885106,108.91891586211078,105.87344759960929,100.90800534009627,94.5555041492237,95.15619606147276,97.03299007450511,90.70220614648909,86.62838249846985,84.52848905344624,85.08300116811928
"Gross total",79.74719118524727,78.57726947807316,84.65844656735645,82.09797006209855,85.45408086750443,83.64368897155374,85.37426794872357,86.48323007777739,92.6847804584248,91.51299959962766,95.20612464704682,97.80870701608163,96.4590401316656,97.47486993647966,100.04311204685341,99.92809235642947,102.80524494587948,106.34606809133125,107.49543034260917,102.7008544527091,103.65615193731117,103.15355601475639,102.1465215933865,104.52401155552553,100.04149023063222,97.18265710307159,90.8846063771756,92.08697813503036,93.55896394119006,87.53628024667957,84.89729059518575,84.02883700340801,83.50906703994126
