"New York Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",215.87266824087132,207.53043977512877,207.17873024511823,200.24206528755764,198.59228119057536,203.62436318106518,205.16566468070255,207.74801176395866,207.44003596880736,209.05933947867123,216.154289236226,212.81455161666136,208.9054075354119,217.57596164066635,221.99860896202682,218.416845589896,201.55129172813233,207.69351269901355,194.39309435785879,178.816133341899,187.51130308162996,179.0242454784846,170.60920086453646,171.49843370797407,177.03912178425605,175.01411886208024,170.1679089536068,167.02268545430013,174.07308132207677,170.4683319550042,148.07830383884405,159.5951225216454,165.98987301286894
"Industrial processes and product use",6.452926812800838,6.119588160140218,6.010084534618402,5.978632948266678,6.123763765512527,7.0941404323927975,7.683021428040769,8.30948387203776,8.81247568465183,9.121197415866297,9.427788276052786,9.493312163772439,9.132258082524817,8.976916907799303,9.297345413191485,9.433425202093526,10.017787402550233,10.71039156975285,10.74598659667487,10.00012215349647,9.469318475958985,10.374135855775819,10.853356762997981,11.905387141372861,12.418446764492446,12.356266162639454,11.899383437911187,10.540691419545215,12.234823620887266,11.752115057767723,12.875823673535518,13.280805675997094,13.913511976924577
"Agriculture",8.106956745462833,7.811196643405386,8.079894734284098,7.788544596402601,8.026242462146397,7.713716704873834,7.844989763799254,7.572351862160855,8.04677033109255,8.24625266584134,8.268020775187575,7.993290759086355,8.782680805294676,8.730539180453052,8.202137048587092,8.238233959361347,8.55124677507691,8.466359484475754,8.665319937668109,8.617041580166573,8.935172705875315,9.003603997020848,9.783897897569348,9.427031686861932,9.370200760184035,9.774568272139561,9.981822419165365,10.186898154044234,10.141934437122135,9.967100375259625,9.96057720506475,9.94385611281449,9.842956817480081
"Waste",6.658102338201646,6.585008526726765,6.383615936591711,6.203630163478759,6.4419028149907565,6.306522774961271,6.28147773776541,6.244356732165783,6.4227709880976285,6.296697052372336,6.4691789626199,6.343978653656886,6.4343028105988385,6.866497316911158,6.737888496300086,6.796204127151853,6.6668160096569125,6.722040795631419,6.609385993072766,6.6659219010084385,6.042460607070306,5.934171136400555,6.03780568291574,5.632378422578482,5.797736733124647,5.493627520727335,5.054779267491777,5.218343531998328,5.25988859983926,5.341072887917456,6.116485037867295,5.470018616097488,5.396150080016972
"Land use, land-use change, and forestry",-37.45137620302004,-37.407881959524445,-37.15253890684161,-37.70225323895437,-37.32398305052742,-37.336480876513235,-37.29497849336734,-37.471557471802335,-37.72322345270099,-37.50898269121434,-37.62040648428566,-37.97074280024753,-37.910230229587356,-37.638967244295685,-37.72726725020878,-37.66711352219913,-37.62976936079677,-37.96846122754186,-37.89042103318572,-38.01092128599552,-37.45200887600002,-37.595502568426106,-37.186044966456954,-37.105191013124845,-37.18503812213789,-36.94383755982928,-37.068283889031456,-36.56323693903561,-36.500911223953665,-36.073297352366936,-36.07447662034942,-36.39264569244368,-36.21855648601056
"Net total",199.6392779343166,190.6383511458767,190.49978654377085,182.51061975675128,181.86020718269765,187.40226221677986,189.68017511694063,192.40264675852072,192.99882951994834,195.2145039215369,202.6988707658006,198.6743903929295,195.34441900424292,204.5109478015342,208.50871266989674,205.2175953563036,189.1573725546196,195.62384332133172,182.52336585208883,166.08829769057496,174.50624599453454,166.74065389925573,160.09821624156257,161.3580399456625,167.4404679199193,165.6947432577573,160.03561018914365,156.4053816208523,165.20881675597175,161.45532292358206,140.95671313496217,151.8971572341108,158.92393540128003
"Gross total",237.09065413733663,228.04623310540114,227.65232545061247,220.21287299570565,219.18419023322505,224.7387430932931,226.97515361030798,229.87420423032304,230.72205297264935,232.72348661275123,240.31927725008626,236.64513319317703,233.25464923383026,242.14991504582989,246.2359799201055,242.88470887850275,226.78714191541638,233.59230454887359,220.41378688527453,204.09921897657048,211.95825487053457,204.33615646768183,197.28426120801953,198.46323095878736,204.6255060420572,202.6385808175866,197.1038940781751,192.96861855988791,201.70972797992542,197.528620275949,177.0311897553116,188.2898029265545,195.1424918872906
