"West Virginia Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",139.12368136120017,131.39374950350967,134.59600435235294,127.26076326556613,134.11714172351662,132.22171166340328,138.88465071955463,141.29586489495344,144.23597986777236,148.086441246526,140.8028363504347,133.18929120459302,144.06150157777347,139.5169859267604,138.03925500449637,140.39366939775854,140.96402862708405,142.4935893364085,143.86727799550187,123.14934691049605,131.99420953108296,126.1800961294531,119.51103895755703,123.16646595251544,131.6497335194903,123.71203403172932,122.25067070747752,123.14669694635504,119.83955814432865,113.1142282818226,103.71631614139947,113.27754320642383,109.20537551093591
"Industrial processes and product use",21.204627053405613,21.030997189877688,21.03113099792935,21.22993051338838,21.408082851407286,21.61231979644587,21.519831021463947,21.53306715190964,21.468911769651342,21.19811319910888,4.182949487091544,3.700165812541694,3.0197376990528406,2.952086901582972,3.066846210603603,3.047692623661923,3.227851051519003,3.250025167010288,3.3190652011096864,2.785713329159106,2.354845519864977,2.5214101056833083,2.61840233909125,2.719680219525052,2.911507618431802,2.8979331795091428,2.8070242335687188,2.2150483687812823,2.4892593460335313,2.9083800120349372,2.783984545066693,3.055954729777905,3.3414294549907555
"Agriculture",1.5316655777284451,1.51456977807532,1.5856810298666677,1.6116031160773578,1.584976315871286,1.576509953945679,1.6058917071331,1.472187562533354,1.4651492961115646,1.4940659939313718,1.4906132714511156,1.4598484130191378,1.53651140223769,1.4623414971686157,1.4507389596629339,1.6248479479707998,1.5415094655068624,1.6053219458340422,1.4488127055885562,1.4695410266062297,1.4047784849081084,1.4584772085717905,1.3968460270492762,1.4752366623576685,1.406017232190658,1.3809896801158552,1.4460257417827356,1.403994060082854,1.4899531504478103,1.3723406669621365,1.3932769140801717,1.347450786708996,1.3248558272797273
"Waste",0.8853037281845563,1.1250023647619982,1.1286778310004486,1.0309396308859775,1.1353721460976978,1.1484269992923375,1.1828555920981367,1.0642953336186518,1.0251919079446472,0.9647339704476743,0.9547431962084972,0.95189494173912,0.9083019198058538,0.9320897970797313,0.9029561272857243,0.8543421505721382,0.8520951374028852,0.8440673532092721,0.8567103833442364,0.8664095192452996,1.4625509288608725,1.2661663431079355,1.222567718662587,1.1594058381518073,1.108270565925489,1.025479376438255,1.0128236283289416,1.0091067222452705,1.0475052534358287,1.0462470210198522,1.051396669486337,1.0036570531405522,0.9897068345835389
"Land use, land-use change, and forestry",-27.833041856939044,-26.604202376112102,-27.67015552996591,-27.73300334526269,-27.670123555516668,-27.698557435805128,-27.765412013405673,-27.71788485758158,-27.720908276946503,-27.549567060642406,-27.527187242501693,-27.491165228872187,-27.65680433398735,-27.63442218814996,-27.40399354180525,-27.495149889478117,-27.50518144966416,-27.677225310731526,-27.626961814599767,-27.70371640795218,-27.60983012725913,-27.51438822914757,-27.599919312043724,-27.604792256414207,-27.76878535522159,-27.768038943383406,-27.787685913901058,-27.905617236194985,-27.884126121095075,-27.7131629994206,-27.702527785705197,-27.773949095452366,-27.68786455921556
"Net total",134.91223586357972,128.46011646011257,130.6713386811835,123.40023318065514,130.5754494813762,128.86041097728202,135.42781702684417,137.64753008543352,140.47432456453345,144.19378734937152,119.90395506268416,111.81003514302076,121.86924826488253,117.22908193444175,116.05580276024341,118.4254022304853,119.08030283184864,120.51577849173057,121.86490447094458,100.5672943775545,109.6065543374578,103.91176155766856,97.14893573031642,100.91599641613575,109.30674358081669,101.24839732440915,99.72885839725687,99.86922886126945,96.98214977315074,90.72803298241892,81.24244648432747,90.91065668059892,87.17350306857439
"Gross total",162.74527772051877,155.0643188362247,158.3414942111494,151.13323652591782,158.2455730368929,156.55896841308714,163.19322904024983,165.36541494301508,168.19523284147994,171.74335441001392,147.43114230518586,139.30120037189295,149.52605259886988,144.8635041225917,143.45979630204866,145.92055211996342,146.5854842815128,148.1930038024621,149.49186628554435,128.2710107855067,137.21638446471692,131.42614978681613,124.74885504236015,128.52078867254997,137.07552893603827,129.01643626779256,127.51654431115793,127.77484609746443,124.86627589424582,118.44119598183953,108.94497427003267,118.68460577605128,114.86136762778995
