"Kansas Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",83.85965313878575,83.46284083761459,80.5720983219862,87.22733430776135,87.89347634621129,84.86971801569852,90.57556831474507,86.97130614104908,85.68520964450433,87.70554057220059,90.15290700268275,85.97716884439191,90.01582540501919,92.6025984742529,90.49210279710788,86.52232205316133,87.3403413496431,92.54312981955347,88.65911581561896,86.0237648442909,85.01385467412975,82.66471332971047,77.29095557280453,80.93086216613662,81.43889669483148,76.13087191449189,73.26069288365969,68.69353736448024,72.38425641767476,69.39360485702467,66.59832761457068,68.51871998496179,71.49634879237026
"Agriculture",25.182711131455413,24.115710504839434,26.669828772341617,29.606084731846394,27.60655852477168,28.77559720111606,28.96104934544158,29.205574861587195,29.43875674132929,28.6272479269843,28.464761534354317,33.98047297631498,30.31056063418984,31.63959858622418,31.759504630453204,33.51753244249199,30.51914140529367,33.91952341644673,35.53271473868486,30.07423271043837,33.280569705015004,31.48011069487439,31.704493512838752,36.81952845524558,33.61501208948619,34.70671184941947,35.269999143412065,36.85425935852875,34.17302218003779,36.491560944539216,34.38136457727523,34.70170629063252,34.031582065706715
"Industrial processes and product use",6.300561900034188,5.7019854580079805,6.207629370588723,6.016647627687564,6.154664926592363,6.485977413509707,6.505721006380275,6.437059407665793,7.584953306827492,6.606489890110906,6.915515483426652,5.335265537305555,4.7566358114704705,3.2001680901482508,3.5144531925655906,3.731278661335436,3.9816704117870056,4.035679066179069,3.8363689982650238,3.319502501440719,4.199568113632797,4.10601955694298,4.230877531814671,4.377988881578498,4.582461724365944,4.514510923895477,4.689583776676697,4.816413060547543,4.527933450461721,4.437721508857615,4.211036938877106,4.396325872818461,4.399452830411584
"Waste",2.9957449872691835,3.1239467533785805,3.1249787418174173,2.9521312232116435,2.903981006259369,2.807462785870844,2.771133401611961,2.8155430799541477,2.663821555044622,2.5892000907253623,2.613987028243153,2.5539206045013105,2.371832922378976,2.373708728997442,2.309896037817305,2.4439806434325777,2.490126417661036,2.423129079743619,2.4244566597961588,2.3477515317013053,3.384076966011418,3.0106808323309924,3.1592594604673683,3.198770589065612,3.2770355643582034,2.411394170113844,2.313997018968953,2.3025371712924665,2.2490993358355986,2.2631352476978215,2.28408230799948,2.385696917177128,2.357811523476841
"Land use, land-use change, and forestry",-6.025094906622428,-6.455366425994106,-6.252452865510699,-7.281013868302612,-7.858510230860186,-6.345566931013243,-8.69824858097058,-9.297974535657152,-8.342220623610544,-8.308674341329283,-10.52232187873618,-7.41101723248617,-8.433934317930255,-6.54532441624487,-7.28953322795962,-6.896738562732377,-6.68881822922015,-4.2545017451269835,-6.8938827737821775,-5.358859834527555,-6.982106411066552,-7.7542914356294474,-5.51365969717343,-4.1307652126709025,-3.5282117609970567,-4.67245311392586,-4.254064363904371,-6.895773614219814,-7.207113215206199,-7.025453852937388,-7.85367095292845,-8.049184717582675,-7.9615493482331425
"Net total",112.3135762509221,109.94911712784649,110.32208234122325,118.52118402220434,116.70017057297451,116.59318848518188,120.11522348720828,116.13150895459908,117.03052062409517,117.21980413869187,117.62484916997069,120.4358107300276,119.02092045512822,123.2707494633779,120.78642342998435,119.31837523768895,117.64246135516466,128.6669596367959,123.55877343858283,116.40639175334374,118.8959630477224,113.50723297822938,110.8719263807519,121.1963848793554,119.38519431204477,113.09103574399482,111.28020845881302,105.77097334062918,106.12719816880366,105.56056870518194,99.62114048579404,101.95326434800724,104.32364586373225
"Gross total",118.33867115754452,116.40448355384059,116.57453520673396,125.80219789050695,124.5586808038347,122.93875541619512,128.81347206817887,125.42948349025623,125.37274124770572,125.52847848002115,128.14717104870687,127.84682796251377,127.45485477305847,129.81607387962276,128.07595665794398,126.21511380042134,124.3312795843848,132.92146138192288,130.452656212365,121.76525158787129,125.87806945878896,121.26152441385884,116.38558607792532,125.32715009202632,122.91340607304183,117.76348885792068,115.5342728227174,112.666746954849,113.33431138400987,112.58602255811932,107.4748114387225,110.00244906558991,112.2851952119654
