"Utah Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",57.339150664326056,56.015483223736766,57.814303123925356,60.06197760940749,60.97607539969671,61.3139552360461,61.683280762956755,64.48789145025191,67.74668424894152,66.93198279230378,69.03492920814206,67.42010206319678,68.45485000039707,69.63017609249782,72.99296597576485,74.45662447136176,76.25638191485426,77.32807198850261,78.0381031220695,73.00553524918804,72.15843634829774,71.65938054689451,69.44456187813489,74.40245985640263,73.16904525871635,70.93946178615059,64.87847635874674,64.62043129562254,66.06496182062305,66.33383262823506,63.15853544690675,68.20027931646563,65.7748546344537
"Agriculture",4.1861331283423455,4.224675019090144,4.212667049989004,4.519105697969588,4.339447971632392,4.559352415628682,4.526982739150906,4.923626220752239,4.951932402717055,4.6552482241249615,4.797884937427691,4.702501997583437,4.70081873483669,4.671571511515446,4.708330842522347,4.839720464684092,4.56644134309223,4.706775852572011,4.706439583520762,4.596898055218255,4.735267282802011,4.752231567492485,4.765124770497404,4.907810714330464,4.904685872471616,4.883103244448383,4.817022959698564,4.688992826534847,4.620524391677509,4.84721532534566,4.66957942400775,4.671935319440269,4.559360941832825
"Industrial processes and product use",2.786002571770154,2.7157387756522944,2.6994255898689556,2.706770137487064,2.854708398993025,3.0562360891763514,3.2771189436340733,3.3116972222619454,3.2553270187041488,3.084170150109568,2.7120740811115365,2.266979407772547,2.3286879068121564,2.557561460600521,2.4680125399555073,2.5354215235313506,2.5773548206239454,2.7069808920824228,2.603104097304684,2.113343621510034,2.7952767519122625,2.9591070918139772,3.145645516512176,3.097942379831306,2.837251495614807,2.77557603651106,2.5566379649322784,2.571640889237393,2.570864983092723,2.6047686651990265,2.660695873692543,2.662927812123657,2.6658043054435616
"Land use, land-use change, and forestry",2.281656375282822,2.58145727169797,1.9696501858368918,3.3319211857684303,3.0961768204779925,2.871200431496593,2.1626682794555143,2.7244370448414617,3.097004109329892,2.79882480569626,2.5552264870218195,2.574895699662303,3.05963874578072,2.647997220716258,2.9688587515859464,3.1161316787843636,3.095658300252913,3.4550023842792266,3.0585920583571835,2.939412594020829,3.2378384489672043,2.849635304913318,2.908765127954503,3.6607546115347316,3.4979578696538267,3.652998621278392,2.8882475631324667,3.2525603342084444,3.08264077100015,2.4744260823905497,2.7898629097565673,2.343300483048718,2.492453048744625
"Waste",1.4399405194908352,1.5361496268162498,2.1994402857084023,2.1402523463722223,2.071314109522061,2.043509215346667,2.033123647647051,1.7787793409267356,2.025830930602868,1.5392414134438743,1.4106879510563115,1.7855793093153358,1.5758939204495062,1.3257577783166774,1.3078083858517529,1.5296834890070303,1.481230521148167,1.517295620187376,1.5001118464948353,1.5361274626333228,1.258963710969587,1.2206252042988741,1.2188290351786102,1.165620007333003,1.2088064598873502,1.2192763847950046,1.2873275191908753,1.3372502672117446,1.3316477807067935,1.3595442574666183,1.3751003704361875,1.3892640796417464,1.377972230996826
"Net total",68.03288325921221,67.07350391699343,68.89548623532862,72.76002697700481,73.33772270032219,73.84425338769438,73.6831743728443,77.22643127903429,81.07677871029547,79.00946738567845,80.51080266475942,78.75005847753042,80.11988930827614,80.83306406364673,84.4459764956804,86.47758162736861,87.9770668999715,89.71412673762364,89.90635070774695,84.19131698257048,84.18578254294881,83.44097971541316,81.4829263282776,87.23458756943214,85.61774695634396,83.47041607318342,76.42771236570093,76.47087561281495,77.67063974710021,77.61978695863692,74.6537740247998,79.26770701072002,76.87044516147154
"Gross total",65.75122688392939,64.49204664529546,66.92583604949172,69.42810579123638,70.2415458798442,70.97305295619779,71.52050609338879,74.50199423419282,77.97977460096558,76.21064257998219,77.95557617773761,76.17516277786811,77.06025056249543,78.18506684293047,81.47711774409446,83.36144994858424,84.8814085997186,86.25912435334442,86.84775864938977,81.25190438854966,80.9479440939816,80.59134441049984,78.57416120032309,83.57383295789741,82.11978908669013,79.81741745190503,73.53946480256846,73.21831527860651,74.58799897610007,75.14536087624637,71.86391111504324,76.9244065276713,74.37799211272691
