"New Hampshire Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",15.246333955394316,14.923093040974761,14.952907003647006,15.274422348065155,15.318094546719738,15.383922549350002,15.71774239457782,17.477092308774072,16.854962135259772,17.00278103324902,17.632732855797606,17.291791458305735,17.318587480896348,21.28455082255387,22.301567343702345,21.61633276897234,19.944828814790284,19.579646397474246,18.805489434641373,17.30423398171742,17.11838820100189,16.819356434996614,15.027038349299787,14.719684273488916,15.43733660768452,15.394908050413221,13.74904562874519,13.316626397691028,14.275077508774505,13.997300246854003,12.429504389931129,13.235388026665499,13.841888032649473
"Industrial processes and product use",0.3212923723047995,0.29899989780262537,0.2996294895544803,0.2970313546362446,0.3287019434499768,0.4400787998075855,0.4966054721375627,0.5286762972500009,0.5612471763851072,0.6144774467037072,0.554737038726928,0.5837898825002305,0.6080201922840293,0.585379562711523,0.6540471743018901,0.6932400230077578,0.748323863313978,0.760274505936615,0.7597086831084493,0.8117518190486579,0.8511000814065796,0.879897930131139,0.8874193655227376,1.0135370580072327,1.1609115746048229,1.111397541023152,1.101939872264051,0.9836299016380655,0.9719520370035811,1.0022881524043077,1.024462583385388,1.0668910828550882,1.1348200825375596
"Waste",1.0757864194370776,1.210416521832887,1.210788323722692,1.2932569827832954,1.4106854793452477,1.4892908397850746,1.4464274845655771,1.3464259542689045,1.358145659020117,1.2772742338044865,1.1667174312659547,1.165851363647363,1.1282095899444382,1.221393534857963,1.2639631089122279,1.1130112034000614,1.1084679445508516,1.0829131046602365,1.0917022742034752,1.0225666269687317,0.7713786437246386,0.7142740945955586,0.6611963152165015,0.6645424418087348,0.6271981533183999,0.6349943486485845,0.648042377538554,0.6791098658279531,0.7139108581921375,0.7422221522902496,0.8009726837877956,0.8209177487510969,0.8100433783731079
"Agriculture",0.2334082038209128,0.2297423767061673,0.22872963655924827,0.23372403122046867,0.23812910519665548,0.23751682875332109,0.23350734964630093,0.23124267018984673,0.2412433054297151,0.24562544422776172,0.2448852618649015,0.22327131890683227,0.23688185416073787,0.22805697157418528,0.22088964209770484,0.22995615727072746,0.22661914537218106,0.21328375937577806,0.22070498316131978,0.22446404378117055,0.231426380982884,0.2298280887914159,0.21431823458305296,0.2123570344416742,0.2028790193404977,0.2085086758813345,0.2160829506380035,0.21799752201933043,0.21587073879974236,0.20237129441674206,0.19045789669409374,0.19177823274372607,0.18772664151281776
"Land use, land-use change, and forestry",-7.863964692721198,-7.754767776259757,-7.647302774458518,-7.58466523209782,-7.47201389229127,-7.396609537245461,-7.348365428633228,-7.282287693415038,-7.195178132999302,-7.150869794979098,-7.121761867178285,-7.11281568039373,-7.0382301989252545,-7.043197002817873,-7.0341323413655426,-7.026991144675931,-7.0414995256464605,-7.019192193592755,-7.033846812676297,-7.084583535425944,-7.056825713464776,-7.065292063424349,-7.028137628579758,-7.04205315538791,-7.000970180688551,-6.971788892195557,-7.001180277292923,-6.959544172667824,-6.856229863290394,-6.774709526903174,-6.693075968592262,-6.57595969545167,-6.480269183863964
"Net total",9.012856258235907,8.907484061056682,9.044751679024909,9.513769484607344,9.82359718242035,10.154199480450522,10.545917272294036,12.301149537067788,11.820420143095408,11.989288363005876,12.477310720477103,12.15188834296643,12.253468918360301,16.27618388887967,17.40633492764863,16.625549007974953,14.986740242380833,14.616925573854118,13.843758562438317,12.27843293609004,11.915467593651215,11.57806448509038,9.761834636042321,9.568067652358648,10.427355174259688,10.378019723770732,8.713930551892876,8.237819514508553,9.320581279479573,9.16947231906213,7.752321585206144,8.73901539556374,9.494208951208995
"Gross total",16.876820950957104,16.66225183731644,16.692054453483426,17.098434716705164,17.29561107471162,17.550809017695983,17.894282700927263,19.583437230482826,19.01559827609471,19.140158157984974,19.59907258765539,19.26470402336016,19.291699117285557,23.319380891697545,24.44046726901417,23.652540152650886,22.028239768027294,21.636117767446873,20.877605375114616,19.363016471515984,18.97229330711599,18.643356548514728,16.78997226462208,16.610120807746558,17.42832535494824,17.34980861596629,15.715110829185798,15.197363687176377,16.176811142769967,15.944181845965304,14.445397553798406,15.314975091015409,15.974478135072959
