"Alaska Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",34.74619919876997,35.54804987660673,36.68016079574644,37.19829942622408,36.62392788671965,41.570592261334866,42.9612238910246,41.595133649215256,42.85662514727152,42.90268529601013,43.65891987289125,43.29519125950091,43.32957414855009,43.24782804538167,45.586797859438214,46.931041547838696,45.01043282658034,43.29601334028534,39.820144108149776,38.67503567248768,37.41852649289789,36.444393846952714,35.34034644743075,33.648883823370475,34.0852878444636,33.72144863404482,32.16115925899618,32.49944343384521,32.34373866585456,32.447610862548345,34.37721795484905,37.55741432392625,39.34597706489571
"Land use, land-use change, and forestry",-8.11795765944064,-16.641226467590766,-28.16562569622177,-25.69071334639223,-26.27594806603572,-27.05351741421097,-25.67162034403636,-28.87389891221649,-22.907973260723672,-17.55555145231264,-20.38732344454069,-26.341167134168742,13.522012900688233,-22.14852043464744,84.20368080096827,24.078172015216964,-26.828446503542594,-24.95678090126496,-30.45978059250981,16.798388101869456,-19.22832627874287,-28.99726666585069,-24.77094446841522,1.0356453928929787,-31.501375911450822,78.35471085248678,-28.89765208201096,-30.13016126367059,-26.189392007917156,23.20185983410983,-30.489145083859306,-25.21591746477011,23.360636975763306
"Industrial processes and product use",1.3126038722962103,1.4367908922914219,1.5417542935693918,1.5913892192635928,1.702979579671768,1.6780467962547134,1.5137524101496203,1.4602317745832856,1.4715728820201153,1.4589315406734051,1.3348216523304948,1.179805682381676,1.3268428990962162,1.2335487642708667,1.3588784838584873,1.490216861128857,0.7491694752985542,0.7960649564014943,0.5277407232336137,0.5688701171150077,0.6222686073721844,0.581583789822648,0.6007060494215134,0.6353474682177999,0.6444030265209592,0.6649260656015938,0.6450159425927291,0.6186484049174329,0.5703470496771669,0.597439544012375,0.5892333238527603,0.5663579993725877,0.6374922958849792
"Waste",0.5100294537394107,0.523984633221827,0.5202751134351163,0.49118901983346813,0.4766075014999916,0.46576909056568305,0.46725710314392005,0.4313542851646385,0.387849568458968,0.39503380958507806,0.38993069154568705,0.3669496227536364,0.37962524544199105,0.3729790008081234,0.3629073271553103,0.3531074189524277,0.34433761438459165,0.34392502660203755,0.3341350753067802,0.337457165899623,0.7953686517689065,0.8761652155669074,0.9167208947892572,1.1100297901097942,1.0483399445230406,1.0168677401541635,1.080190850817844,1.1889777786023406,0.5895019068624753,0.6142456430417285,0.5437385045405553,0.584524779202185,0.5728737552136433
"Agriculture",0.030060501061359737,0.028349557438992,0.028991424017326357,0.02996388578440963,0.03346074694216847,0.034510225295112655,0.03665627818843685,0.04133409505468116,0.042129308582554405,0.040833952575222904,0.03595650450135601,0.0380223684921829,0.04112945238594967,0.042655821196259686,0.04532790784065532,0.04821894914967725,0.05039814617157194,0.05369416237383421,0.04864423819047763,0.04674737570550628,0.047434928680422685,0.0472680417744997,0.04889274622834094,0.04352923830275677,0.03953854058317582,0.04105499584591145,0.04091180709169772,0.043920448136811965,0.04860909573271762,0.05286853241581006,0.05882120729192559,0.058222138046914125,0.06015564387323484
"Net total",28.480935366426312,20.89594849196821,10.605555930546503,13.620128204713325,12.561027648797856,16.695400959239404,19.30726933847022,14.654154891801372,21.85020364560949,27.241933146531196,25.0323052767281,18.538801798959664,58.59918464616248,22.748491197009475,131.55759237926094,72.90075679228661,19.325891558892465,19.532916584397746,10.270883552370838,56.42649843307727,19.655272401976536,8.952144228266077,12.13572166945464,36.47343571289381,4.316193444639954,113.79900828813327,5.029625777487489,4.220828801831203,7.362804710209763,56.91402441612808,5.0798659066749865,13.55060177577783,63.97713573563088
"Gross total",36.59889302586695,37.537174959558975,38.771181626768275,39.310841551105554,38.83697571483358,43.74891837345038,44.97888968250658,43.52805380401786,44.758176906333155,44.79748459884383,45.41962872126879,44.87996893312841,45.077171745474246,44.897011631656916,47.353911578292674,48.82258477706966,46.15433806243506,44.48969748566271,40.73066414488065,39.628110331207814,38.8835986807194,37.94941089411677,36.906666137869856,35.43779032000083,35.81756935609078,35.44429743564648,33.927277859498446,34.35099006550179,33.552196718126915,33.712164582018254,35.569010990534295,38.766519240547936,40.616498759867575
