"Pennsylvania Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",267.34268984280413,271.3060660053363,271.9695203611682,277.81678460529656,275.42819556352964,278.8914990511397,288.5191575841586,290.0501709958299,289.460818545415,285.0226959109996,298.33416751856316,286.17482255458214,290.11616815511826,295.2030083872797,299.298770167743,301.0346345957867,297.2433459992691,295.5465528056959,292.2775799719881,271.90741447364087,283.554142587344,272.26742086614246,260.327814518531,272.03305024847947,270.4472463196817,256.7349460501094,243.91933811396666,248.74803560870004,254.17447226997456,246.91153474488854,223.9903681184807,239.84776460051623,237.82478386629796
"Industrial processes and product use",15.780818942130525,14.67536577237851,15.030093310920673,14.749738926805705,16.06784900876049,17.32290006355768,17.403475564162072,18.02395916472585,17.425874777526197,17.868199311629716,17.616678875573204,15.276408111903997,15.951370480507098,15.590937201284081,16.190482449483234,16.522852863650854,17.359120385835215,17.379197930791868,17.110642482056186,15.06027009927582,12.305382585217997,12.32263062312727,12.122289778593071,13.232633744876981,13.925850926532908,13.890456548570416,13.317442843791966,12.07876013589739,12.727310331379496,13.410913119047715,16.055243936597634,16.250342209903955,14.443721280570662
"Agriculture",8.55559713787738,8.21586655151302,8.552824593583527,8.380076376509814,8.360539138411383,8.279785926419708,8.447699585529909,7.888044942219394,8.103455304066207,8.240836939091349,8.168179580568674,8.360015768501732,8.637741663739929,8.142436211431516,8.15110331914732,7.818135758697339,8.450613901681765,8.061180361744405,8.117615746310996,8.14487158629898,8.613041504950399,8.741593116764154,8.703201184706492,8.71061073952199,9.0088381039638,8.93769390314439,9.101409944163901,9.247295687669865,9.592598289329997,9.120957539971126,8.790992356576647,8.514728585180263,8.176683925603177
"Waste",13.679685180243133,13.587910707167666,13.320171456549373,13.401687281829357,14.568845036301617,13.775153908230426,14.948099122369582,14.214428719857919,13.479332704468685,13.725182329935773,12.14535565716598,12.020140803537661,11.894093617422389,11.725809579039746,11.232104875551615,10.80815349381845,10.239457448166121,9.963814603188412,9.48184288753045,9.251909991429544,6.291081135219775,5.511840676653154,5.459929360383991,5.4196301824610345,4.822579571043105,4.5916466698584095,4.720168411141447,4.704714569917249,4.486039999421835,4.6127551434331675,4.599792244482172,4.273826514768461,4.219707506471163
"Land use, land-use change, and forestry",-33.2582005909813,-33.392416651747844,-32.523838944258515,-32.6877357577881,-32.38330554679156,-32.318410960583584,-32.286278387157196,-32.10860593478818,-32.03990932498862,-32.022610063119586,-32.223471886039384,-32.390721337830264,-32.40795996070516,-32.03965431476381,-32.00925219416158,-32.15510852518739,-31.819211737651425,-32.15671945718937,-31.86553473507558,-31.87787235565731,-31.824757952649147,-31.674530400435895,-31.38555478261182,-31.15094988176614,-31.255610889167183,-31.054633240492485,-30.760163895801053,-30.551756693975303,-30.499698980378966,-30.035673704020944,-29.54329254145516,-30.140123761413975,-29.8693374125163
"Net total",272.1005905120739,274.39279238464763,276.34877077796324,281.66055143265334,282.0421232002116,285.9509279887639,297.03215346906296,298.06799788784485,296.42957200648743,292.8343044285368,304.04090974583164,289.4406659006953,294.1914139560825,298.62253706427117,302.8632086177635,304.0286681867659,301.47332599730083,298.79402624423125,295.1221463528101,272.4865937949879,278.93888986008307,267.1689548822511,255.2276800596027,268.2449750335733,266.9489040320543,253.1001099311901,240.29819541726295,244.22704930820922,250.48072190972692,244.0204868433196,223.893104114682,238.74653814895493,234.79555916642664
"Gross total",305.3587911030552,307.7852090363955,308.87260972222174,314.34828719044145,314.4254287470032,318.2693389493475,329.3184318562202,330.176603822633,328.46948133147606,324.8569144916564,336.264381631871,321.83138723852556,326.59937391678767,330.662191379035,334.8724608119251,336.1837767119533,333.29253773495225,330.9507457014206,326.9876810878857,304.3644661506452,310.7636478127322,298.843485282687,286.6132348422145,299.3959249153395,298.2045149212215,284.1547431716826,271.058359313064,274.7788060021845,280.9804208901059,274.05616054734054,253.43639665613713,268.8866619103689,264.66489657894294
