"Nebraska Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",34.847621321211705,36.0053089920965,34.71616036904502,37.97688901374306,37.962313545609376,40.671945641482296,41.10954585176172,41.97827794708228,44.093858703465905,42.728685750209976,44.166505664792915,45.99400062340329,45.22602516793927,46.22140505291301,45.883108424497735,46.023098948770354,46.71094554518516,46.998079108916734,48.835918937353185,48.84762699716252,50.049425485384475,52.740560301161665,50.976319976877235,54.050777878185954,52.54822511206345,51.06068451810636,48.796660365621634,48.04276828887302,52.48819550714651,50.60499864012662,46.88065948584898,47.80743169012493,48.91397515504629
"Agriculture",27.496714991435,29.224847702833856,29.09052960116339,31.25552288909847,30.90805240107289,29.500763117184547,31.09383965935709,31.622711905080024,31.74425976965377,31.77087503445259,29.82249102887967,31.94361294159171,31.835286648804445,31.307521325864762,32.087063282677505,33.10845819620085,33.49183276036552,35.37812077613643,33.30181333422779,33.5230059790693,32.81824178483775,35.67761414600584,32.42231886594437,35.33539020497185,34.25404642187422,35.03195912881844,35.94852675208078,35.76380195161312,37.559108170266384,36.53461191426118,33.80491124254659,35.00297038861775,34.492457054103134
"Industrial processes and product use",1.8873214543333907,1.8365702481155188,1.886804780464729,2.1250573889583437,2.2855767330765024,2.37610862284856,2.365979532144475,2.3962472320505994,2.4954154624493867,2.2996801724368354,2.1106032498889737,2.0592987476220492,2.1578085567565637,2.146489210792241,2.1716322946261526,2.263315806457139,2.126248744103545,2.1980652841069412,2.133184129984165,1.914786438920066,1.757964388330549,1.9369668939070304,1.892453580547875,1.8768693336341686,1.885195151659982,1.876693564582281,1.8311110504306543,1.9350229421180718,1.7564469488614933,1.7647637450998213,1.7175892695116937,1.8299079259683526,1.8891750604080526
"Waste",1.9296035619364804,1.8390223175880105,1.933271381586267,1.8300050189096406,1.844548126542203,1.829550494289084,1.8363824263838378,1.7712146025594715,1.719771717809357,1.6141876665450152,1.5652567003589455,1.5772443386001385,1.541611941759728,1.5467906424471747,1.5108060028258614,1.4885316555977584,1.5000583727543566,1.5400492026339407,1.5569412838624126,1.4729334739634035,1.9881043121184696,1.8623973663222078,1.8520530873876977,1.9418794827636885,1.8770449107345197,2.0038690659055516,1.9314033336749117,2.0395101464996723,2.1232560633318376,2.0987295257578307,1.8599350796607128,1.881562100649555,1.883758735404197
"Land use, land-use change, and forestry",-4.162011839099636,-5.602703486497211,-5.3747993418629285,-4.265697033711221,-5.164965005683764,-5.796201321206189,-5.271805199873432,-6.2424191593181435,-6.413442451055991,-4.367571068392715,-8.152786654120817,-3.771342559873562,-5.655927359629065,-3.0784483281025503,-3.964252311066764,-2.2301172475475743,-5.862710005866122,-3.590798528962579,-5.772130796129272,-4.711538157254098,-3.9372252836170034,-5.8226963058614185,-7.187801913054601,-6.761374279830948,-3.9203032940040274,-4.990363617643244,-3.880542514877689,-5.124496262376611,-4.147176380342182,-5.428249079997616,-6.21769475104934,-5.489146176099435,-5.563543163671137
"Net total",61.99924948981693,63.30304577413667,62.25196679039648,68.9217772769983,67.8355258006172,68.5821665545983,71.1339422697737,71.52603252745423,73.63986320232243,74.0458575552517,69.51206998979968,77.80281409134362,75.10480495563094,78.14375790391465,77.68835769356049,80.65328735947853,77.96637541654246,82.52351584283146,80.05572688929827,81.0468147318612,82.67651068705425,86.39484240153533,79.9553435977026,86.44354261972471,86.64420830232815,84.9828426597694,84.62715898693028,82.65660706672726,89.77983030926403,85.57485474524783,78.04540032651863,81.03272592926115,81.61582284129052
"Gross total",66.16126132891657,68.90574926063388,67.6267661322594,73.18747431070952,73.00049080630097,74.37836787580449,76.40574746964712,77.76845168677238,80.05330565337842,78.41342862364442,77.6648566439205,81.57415665121718,80.76073231526,81.2222062320172,81.65261000462725,82.8834046070261,83.82908542240858,86.11431437179404,85.82785768542755,85.7583528891153,86.61373597067124,92.21753870739674,87.1431455107572,93.20491689955566,90.56451159633218,89.97320627741264,88.50770150180797,87.78110332910387,93.92700668960622,91.00310382524545,84.26309507756797,86.52187210536059,87.17936600496166
