"Colorado Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",80.40772593206239,82.29966601221346,84.27392872392691,86.67292900530467,88.46503754574746,87.53781125988154,89.85780931706792,92.27472287435533,95.00138984552525,96.67035572607435,103.09241651282272,111.58351322363806,110.9142147932831,109.85748797191809,113.04393675874893,116.66747088782549,118.53452090440794,121.4004383335688,120.4704148764023,115.88564457009088,120.67316330551999,114.43735011326424,111.31418471887542,109.19584262281985,110.13486597607337,107.86033691680768,106.44840976854248,106.72199112839208,107.59771952377403,109.2492596632072,97.21397505701593,99.7472564612876,101.84192788689101
"Agriculture",13.975968959173796,13.633791095077276,14.895625249181958,14.909677783534768,14.301849878121867,14.796446856142163,14.886994465685449,15.281727744510931,15.752875605962275,15.08047600163836,14.698572755883534,14.446883014456315,14.156020128557781,14.306635375607426,13.510079063837287,14.210408308232516,14.427484319523593,15.877243043029754,14.876028653284358,14.613009257703437,14.368147555454316,14.445801013334618,14.922165562880153,15.092405755325572,14.95975849285169,14.848742938545511,15.112304174432959,15.56460078794027,15.201360951833253,16.073135266697815,15.435748258776535,15.279406941553061,15.027233989379052
"Land use, land-use change, and forestry",6.684609586685445,6.75104757711916,7.128768486041904,6.9429967135778154,6.790222357428221,7.536234913584617,5.853526173305192,7.078156636418799,7.124488158633017,7.426440339313115,6.051212289584758,6.905463941943775,7.481544985400079,7.947592760578587,6.798686801642146,7.549167452375287,8.526680509915732,7.280370268826019,7.4763034948038705,7.948398224385145,7.208906207907819,6.668578125468939,7.232496988738183,8.719466973764936,8.68020650780655,7.34206828367182,7.627724539797117,7.573994464323627,6.511995841719725,7.457819614754751,7.457112438065272,6.444119780930495,6.545151088170026
"Industrial processes and product use",1.2775773865301525,1.324656865116705,1.3640304885798966,1.5069677404041903,1.5682774932075938,1.8064956522930573,1.9180008440941534,2.033121151076774,2.0825783625704983,2.1685653612244473,2.2360299754236204,2.1592843012652554,2.203337016347352,2.3428756803423494,2.449028192864493,2.492684960049417,2.78886827954048,2.7994536613255847,2.9493795259209374,2.73957369773847,3.0710070380581893,3.3707375834782,3.7381129988230537,3.420974793547041,3.6459586487151032,3.6258081212812727,3.5244013966440058,3.425955055042696,3.488373331008588,3.468837118888196,3.7402488474024316,3.6748619876287076,3.726811759120089
"Waste",4.918572911672092,5.135554093093468,5.101182109033269,4.345620792600781,4.752429053835708,4.622819692796571,4.746739360896136,4.414762749134545,4.1716267665897035,4.193483157852812,4.136637016189643,4.240526142485608,4.008322047899874,3.869715435706342,3.654520930431709,4.021288849732065,3.852049654212588,3.9270288693383506,3.735907174282062,3.5412711161114,2.523448794387399,2.4799056707471605,2.2789653033473227,2.56771193419044,2.5829197671696367,2.618845452299033,2.550474820167743,2.731046793315208,2.8321777141364173,2.9077396696436244,2.3919156180467143,2.2976768763627944,2.2707314183262586
"Net total",107.26445477612387,109.14471564262007,112.76353505676396,114.37819203542222,115.87781632834086,116.29980837469795,117.26307016104886,121.08249115549637,124.13295873928075,125.53932058610309,130.21486854990428,139.335670623789,138.76343897148817,138.32430722415282,139.45625174752456,144.94102045821478,148.12960366760032,151.28453417608853,149.50803372469352,144.72789686602934,147.84467290132773,141.40237250629318,139.48592557266414,138.99640207964782,140.00370939261634,136.2958017126053,135.26331469958433,136.01758822901388,135.631627362472,139.1567913331916,126.23900021930687,127.44332204776266,129.41185614188643
"Gross total",100.57984518943843,102.39366806550092,105.63476657072205,107.4351953218444,109.08759397091264,108.76357346111332,111.40954398774366,114.00433451907757,117.00847058064772,118.11288024678997,124.16365626031951,132.43020668184525,131.2818939860881,130.37671446357422,132.65756494588243,137.3918530058395,139.6029231576846,144.0041639072625,142.03173022988966,136.77949864164418,140.6357666934199,134.73379438082424,132.25342858392594,130.2769351058829,131.3235028848098,128.9537334289335,127.6355901597872,128.44359376469023,129.11963152075228,131.69897171843684,118.78188778124161,120.99920226683217,122.86670505371642
