"North Dakota Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",47.319677852840165,48.38955521377383,49.90690611921784,50.01844087842477,50.33641515967795,50.21177110397811,50.963598059795245,49.300373910621374,51.421986848533855,51.71152342723676,51.46148426789617,51.765880493855796,51.564388310771164,51.36458263220592,49.75289171002858,52.86597287078741,51.3529524165542,52.503573236843934,54.0088144821447,53.69252061028319,55.98460569565305,58.898038238177676,63.908552678206846,66.98808911179022,71.58359018841472,71.6741432281649,63.89843376116859,66.34500575337924,75.77643500574777,81.26148051617605,69.91083440521004,68.46723500828284,67.89705573359663
"Agriculture",13.454484120814168,13.2032033208567,14.533924284942564,16.470556019266223,16.798742061280283,16.57010523120152,16.24502285487924,15.71054047742935,15.571673630335157,15.987315705030005,16.273730858316235,17.253203614074238,14.945329618876865,17.81468610362677,17.325097162361466,16.91582321066116,15.050308434349969,21.12725561749594,16.11707846196808,16.43067096517686,18.11168518511605,17.282833872369412,15.042782732611569,20.370999125681443,19.815872510519917,19.095019691736766,19.84123959003127,18.2825140475746,21.702674991924365,20.50025604590415,18.573598994820998,19.29047162505428,18.744573316413124
"Industrial processes and product use",0.9976292070370114,0.985074640068599,0.999264010542966,1.000167796954361,1.0044902637545519,1.0381550666983688,1.1132758491390864,1.3183290589428394,1.289775232008671,1.288650541308107,1.2597648846223668,1.214499329169127,1.2429715892429594,1.254225975159672,1.3437508575839003,1.3338645184426838,1.4053491897341068,1.4529820779973543,1.4279316166625973,1.356158759790065,0.7957438735297524,0.8574306371240786,0.8439717687138043,0.8820108317048931,0.8273280925314405,1.0068686275803627,0.8101735005970715,0.8561374100531323,0.8269962349402118,0.8320030436978623,0.8565494947765586,0.8717427357118303,0.9013842941873508
"Waste",0.48568039188333817,0.4809325541388939,0.47457135238352854,0.47447128198084354,0.47912724855458544,0.45070588985017235,0.4391691051931409,0.4415801161011835,0.40588380747749686,0.3933866328061812,0.38999284330538647,0.3330562536946478,0.3249793790115616,0.37682781173095964,0.3884658418199374,0.38087286485343724,0.3750785061521391,0.3827606860536873,0.3875902350233003,0.3805781713145691,0.4619370255726395,0.4013882063209599,0.38787357736863654,0.39935428580399845,0.5528942383240859,0.4938250633361463,0.47393806090370993,0.4305601455760861,0.47413692528720325,0.6074143172273163,0.5031193331636796,0.6286924258778124,0.6175488565357825
"Land use, land-use change, and forestry",2.72743271093298,0.4418837541022601,-0.42809593100818205,0.27290852476500127,-2.472104979677533,-0.390108131165334,-3.3808375695224555,-0.5257612719375667,-0.8826515162854894,-0.5703465849446718,-2.2772213516257716,0.2153847171759646,-0.6944439119395702,1.6217415612872725,-0.19576986301076682,0.07087365429219064,-1.2872931335809938,2.4845684472508163,-2.3496452485757238,0.6410628889917892,-0.5931310052173824,-2.1178385714267085,-7.045057836632501,-2.069569305111071,-3.960810165138761,-4.130453001854,-2.511357942606825,-0.8739017917521187,-0.4268698676189411,-1.8810227579415757,-0.7459105605948779,-1.7555063475828427,-1.640587631022658
"Net total",64.98490428350765,63.50064948294028,65.48656983607873,68.2365445013912,66.14666975358983,67.88062916056283,65.38022829948426,66.24506229115717,67.80666800206969,68.81052972143638,67.1077515025144,70.78202440796979,67.38322498596298,72.43206408401059,68.61443570878312,71.56740711903687,66.89639541320943,77.95114006564174,69.59176954722294,72.50099139555647,74.76084077465411,75.32185238256542,73.13812292026836,86.57088404986948,88.81887486465139,88.13940360896417,82.51242697009381,85.04031556483095,98.3533732902806,101.3201311650638,89.0981916673764,87.50263544734393,86.51997456971023
"Gross total",62.25747157257467,63.058765728838026,65.91466576708692,67.9636359766262,68.61877473326737,68.27073729172817,68.76106586900671,66.77082356309474,68.68931951835518,69.38087630638105,69.38497285414017,70.56663969079382,68.07766889790256,70.81032252272333,68.81020557179389,71.49653346474469,68.18368854679042,75.46657161839092,71.94141479579866,71.85992850656469,75.3539717798715,77.43969095399213,80.18318075690085,88.64045335498055,92.77968502979016,92.26985661081817,85.02378491270063,85.91421735658307,98.78024315789955,103.20115392300538,89.84410222797128,89.25814179492677,88.16056220073288
