"Kentucky Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",128.09355428516204,127.38061950267718,131.33984571750338,141.4381338061456,140.02288214618613,143.97669328453284,144.70528564939852,153.11854056349358,150.0875331827225,154.4662127084299,156.29592532783963,160.02970131837708,160.10127784490496,157.4187228450078,162.88958171390823,163.73603254589247,167.92989496813382,165.60428034283112,164.8348656618783,156.43708967828474,162.87608423713854,159.85719325929878,148.61585869455462,147.721681886771,148.15634810583902,137.92076491899812,131.72116373514135,121.61374149456988,127.42953477475444,118.3764009380913,105.00388763719118,114.70492259694257,113.88245458481829
"Industrial processes and product use",28.429049490147516,25.79319510132379,27.717103994896174,26.183505596067164,25.701700447218904,26.978240188806325,26.468048886750395,28.152032018834873,34.025220158360646,28.17948369062968,26.64333580032375,20.743872348946823,21.43620726143389,16.532933247605143,19.263530884245398,16.64783919829981,15.268867291213235,17.46597147349116,15.194632678827316,10.663579153806952,12.923086684600468,15.838485861420645,12.89471659257892,13.246879289177661,12.8938927207511,11.741891841531297,9.85433267048562,11.967265107644366,10.677538480113675,10.496657898281633,9.217605969708638,9.570528142306008,9.336240608878722
"Agriculture",9.912347331687153,9.81394403612681,10.152374169183556,10.03441006384551,10.244462977619985,10.114723866938812,10.297160590095492,9.437816354041955,9.748703133433802,9.267789828835664,9.249171834287871,9.520519914941069,9.344758096980774,10.03165049469718,9.469982761955825,8.89980200795744,9.24248684593348,9.764910757852311,9.078956653382003,10.007901597592411,9.15830882292531,9.446433293197323,8.913245984431528,9.58237895382135,9.366460877123039,9.889827557837073,9.337633582462368,9.541415180112978,10.138361036429707,9.26470712829513,9.113061455622946,9.177287946200899,9.041558686335492
"Waste",3.9724740707208044,4.249264481297927,4.6718129901370276,5.13811677368642,5.090202240093361,4.991100208441926,4.687703707325106,4.529156248466529,4.297870393463005,4.123291192415622,4.324646774179524,4.0819901312373075,4.0539287267379684,4.055215848107617,3.9436039320014133,4.0421770773294385,4.050680998041459,4.201027223196432,4.310764601593329,4.304592449799752,4.090028263413697,4.109101717972537,4.148957413737108,4.127168505772653,4.345743740349433,4.300300510919364,4.249987985973985,4.600138603039427,4.785480870672086,5.173341017091751,4.706125255284156,4.303978030964907,4.257221006492297
"Land use, land-use change, and forestry",-29.931552104518467,-29.61411237825848,-29.58454845582933,-30.195280997209924,-30.261252592092934,-29.510078699990473,-30.472663637294374,-29.691849418035908,-29.67815590312316,-29.045407048440513,-28.768270061813126,-28.60301926355156,-28.41663462655539,-28.272485952818755,-27.85727484376223,-27.845977368919595,-27.728004683650813,-28.06397532199711,-27.37431738634253,-27.416041443670387,-26.897422787253372,-26.811263527909816,-26.43923078490485,-25.539206245754976,-25.948045151842745,-25.730484760448547,-25.074436532516692,-24.703976338586983,-25.208498922822354,-25.012003052621175,-25.16362503834892,-25.139362845232004,-24.915194723974107
"Net total",140.47587307319907,137.6229107431672,144.29658841589082,152.59888524253478,150.79799521902544,156.55067884872943,155.68553519627514,165.54569576680103,168.48117096485677,166.99137037187037,167.74480967481762,165.7730644499507,166.5195373035022,159.766036482599,167.70942444834864,165.47987346055956,168.76392541967118,168.9722144753739,166.04490220933837,153.99712143581345,162.15008522082465,162.43995060397947,148.13354790039733,149.1389023897877,148.81440029221986,138.1223000688373,130.0886814415466,123.01858404677967,127.82241623914753,118.29910392913865,102.877055279458,112.61735387118239,111.6022801625507
"Gross total",170.40742517771753,167.2370231214257,173.88113687172014,182.7941662397447,181.05924781111838,186.06075754871992,186.15819883356951,195.23754518483693,198.15932686797993,196.0367774203109,196.51307973663074,194.37608371350228,194.93617193005758,188.03852243541775,195.56669929211088,193.32585082947915,196.491930103322,197.036189797371,193.41921959568091,181.41316287948385,189.047508008078,189.2512141318893,174.57277868530218,174.67810863554266,174.7624454440626,163.85278482928584,155.1631179740633,147.72256038536665,153.0309151619699,143.31110698175982,128.04068031780693,137.7567167164144,136.5174748865248
