"Indiana Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",189.74239626844954,187.3848219113493,188.33538465860218,194.44497463704104,198.81531006997275,201.2366635320649,204.2871035574587,208.10912895114978,209.55566457616231,213.15637104388625,226.33631123952642,217.28099517193547,221.95381762277978,225.17986987192455,230.74133488517973,229.3625117188751,227.71442406528215,228.46925807907715,227.90775647320675,208.06781360214137,213.79488200816047,204.1808846568388,190.3009133580779,193.57436350457797,199.51064741395194,182.54489731151213,178.71734563654655,174.5291721209941,188.28307042398285,174.27204438879858,152.89717585183945,164.06313905800675,161.96262776747747
"Agriculture",14.968745000863423,12.98318128122901,13.6849933374524,13.275452139380805,13.676238261305969,13.678512658609383,13.138034913506115,12.502882804716272,13.802574455223853,12.787544739663938,13.038413275024475,13.668628265489595,13.584397220227283,13.77512156380342,12.760105911410639,13.13737235952739,12.638688003412943,12.938217141522268,13.518842698698053,14.079806523657915,14.419146029919357,13.880862659431163,13.378087716311043,14.944527159563375,14.313602004510502,14.298705658037987,14.179249465117321,14.829013095590966,15.13814509891269,14.788340479735064,13.354753982735655,14.271078572158299,14.132081530793961
"Industrial processes and product use",27.85591339887384,25.43141736560347,25.465993755794795,24.383795145255924,24.88604998992509,26.375791528625992,26.25186588503698,26.875506951197714,24.688773092583663,26.139724479635483,26.032744678299057,24.78167044886837,21.684014858778706,22.24335788487673,24.029713328094097,22.82412976694401,24.12717050641438,24.25181577999694,23.797587193859965,18.10400498180186,27.4780990409595,27.250277730310184,26.735603269257755,25.7808675806451,26.756964018011974,25.266669098983375,20.964777271866478,17.85761909184674,17.153706974650863,17.544939369866242,12.911318215154424,11.640310303914069,12.793094769236884
"Waste",6.342406613847046,6.880300906238033,7.073313059171056,6.910554474968357,7.11081608066099,8.220477634282522,7.771698533041793,7.391701499380123,6.497123096139641,5.825502788471132,5.830175749705132,5.467200145962158,5.528373606240861,5.242861389928676,5.181329049905511,4.955312502171823,4.881357500773556,4.943113340111708,4.736725364268148,4.862383445830105,5.475169787514376,4.782302673166556,4.947173496154231,5.082512897222645,4.743984068874358,4.881766502922317,4.1222410565096625,4.169378119745257,4.152126233391321,4.226170640318073,4.312584229739773,3.997392463844927,3.932325779301442
"Land use, land-use change, and forestry",-8.244763566767976,-8.935666336417283,-8.241744584926606,-7.715820379739213,-9.40678384829591,-7.7959303473259265,-9.68916368937081,-9.397803601428539,-9.388186083388577,-10.518734230021115,-10.0750120713362,-11.782779835636733,-12.464151602923103,-10.537003059616472,-11.478719442894159,-12.194727866698122,-11.358074276337753,-12.575966113714767,-11.37977744974542,-11.997843488086573,-11.9693888388198,-13.482797046283864,-11.792342426293983,-9.851700553575167,-12.216006216176865,-12.133697139101363,-11.094116642548343,-11.210548683418606,-11.271086909856562,-11.37221907238357,-10.23355948495974,-11.4491660861786,-11.36373479962551
"Net total",230.66469771526587,223.74405512800251,226.3179402260938,231.2989560169069,235.08163055356889,241.71551500625688,241.75953919967276,245.48141660501537,245.1559491367209,247.39040882163565,261.16263287121893,249.41571419661886,250.2864517051035,255.90420765091696,261.23376373169583,258.08459848082015,258.0035657995453,258.0264382269933,258.5811342802875,233.11616506534466,249.19790802773392,236.61153067346282,223.56943541350697,229.5305705884339,233.10919128917192,214.85834143235445,206.88949678749168,200.17463374475847,213.4559618210812,199.45927580633438,173.24227279450957,182.52275431174547,181.45639504718423
"Gross total",238.90946128203385,232.6797214644198,234.55968481102042,239.01477639664614,244.4884144018648,249.51144535358281,251.44870288904357,254.8792202064439,254.54413522010947,257.90914305165677,271.2376449425551,261.1984940322556,262.7506033080266,266.4412107105334,272.71248317459,270.2793263475183,269.36164007588303,270.60240434070806,269.9609117300329,245.11400855343123,261.1672968665537,250.0943277197467,235.36177783980094,239.38227114200907,245.3251975053488,226.99203857145582,217.98361343004,211.38518242817707,224.72704873093775,210.83149487871793,183.4758322794693,193.97192039792407,192.82012984680975
