"Georgia Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",143.61991695755398,135.27343099638006,134.5856181140039,144.04128659866666,147.6286676286967,155.88199983317713,158.89182392045043,161.1768819528118,163.33712182102613,165.84921226039143,174.42325622619023,166.24826225589095,171.83500218696204,174.28366500563718,177.3857944416048,188.11389015477522,183.86390586256178,186.40848860300838,174.11985115516248,162.53617770871335,173.0182966877627,156.6313059308266,139.80793151457678,141.46024231514926,146.81553046871971,145.6166390185073,143.86581921673402,141.46794025044724,141.74850880079825,135.60506775689913,117.32199338554386,125.40329835723094,125.39916791634936
"Industrial processes and product use",4.497412083535627,4.2705775004504964,4.37863865168426,4.8599236446979095,5.260219603321447,5.866104107791142,5.7748427107525195,6.296111931015053,6.635968057303437,6.862874359299311,7.139915431068979,7.30447370754277,7.864485659304513,7.866203698867423,7.995509193702622,7.971533831676466,8.283849317634754,8.925741919324944,8.984682320796377,9.008137929770085,8.363006426733719,7.668333895076928,8.706597688571557,8.44053549520694,8.808462486741668,9.119938475602137,9.790185767915384,9.609163961807845,10.202713695360488,11.064762151178607,9.63260931037901,10.031004500862075,9.893406814682589
"Waste",6.049759883320824,6.346844067747941,6.5172111044865675,6.968206658104848,6.667428446831213,6.707278010018727,6.659064820234342,7.065502653561561,7.100542013046383,7.165744010579649,7.168619091988059,6.916113774087979,6.964827174188471,7.227800162604074,7.067416038152547,6.880529522598823,7.073514491038296,7.240612297643096,7.298163469678155,7.300023303467842,8.035940985802988,6.96160035444997,7.306342997023293,7.837753215213613,7.9543118159602795,7.746564655221852,7.637056959868979,7.910558585409965,8.522895444750086,8.769722237752383,8.935168668004033,8.266568627077483,8.14731454792838
"Agriculture",6.521066496449829,6.844934814144155,6.804003516081734,6.721454091222248,7.20573217486495,7.008387759816938,7.02538080548646,6.9165808970393705,6.75466390952886,6.625379255018268,6.509773848782354,6.360806859648369,6.683814557771743,6.627767163792231,6.664172455406717,6.363352560182057,6.197627311532463,6.403966368002333,5.935025343323128,5.954275115027165,5.872407629157803,5.736708240453705,5.9972080535604535,5.842426654336675,5.722999727898143,5.952762700154658,5.995073714438129,5.9413736182812915,6.001690641849528,5.77901243811899,6.006918838192179,5.776783023638927,5.675363079262128
"Land use, land-use change, and forestry",-39.81410963980745,-39.36921905194712,-39.832035199738975,-39.88673644069416,-39.677768006934535,-39.86778564390837,-40.15379091325888,-40.61576037284439,-41.278276291947435,-41.57109955344954,-41.72264052392597,-42.49252081986673,-42.246520472840125,-41.57503805776142,-40.83100439261961,-39.9699415320541,-39.8774137676201,-38.72819564214484,-39.11349221918185,-38.91110367733102,-39.12865897448838,-39.29365668802903,-39.37315456610275,-39.82815240086269,-40.55556735493667,-41.03429292768749,-41.28365567770609,-41.69530437292134,-42.33636888128559,-41.984152757234604,-40.872140312826794,-39.976298242345514,-39.02384092502159
"Net total",120.87404578105284,113.36656832677554,112.45343618651748,122.70413455199753,127.08427984677976,135.59598406689557,138.19732134366487,140.83931706158342,142.55001950895738,144.9321103318391,153.51892407410364,144.33713577730333,151.10160910538664,154.4303979731395,158.28188773624706,169.35936453717846,165.5414832151472,170.25061354583391,157.2242300697783,145.8875103796474,156.16099275496882,137.7042917327782,122.44492568762931,123.75280527904378,128.74573714438313,127.40161192179846,126.0044799812504,123.233732043025,124.13943970147278,119.2344118267145,101.0245498892923,109.50135626646392,110.09141143320086
"Gross total",160.68815542086028,152.73578737872265,152.28547138625646,162.5908709926917,166.7620478537143,175.46376971080394,178.35111225692376,181.4550774344278,183.8282958009048,186.50320988528864,195.2415645980296,186.82965659717007,193.34812957822678,196.0054360309009,199.11289212886666,209.32930606923256,205.4188969827673,208.97880918797875,196.33772228896012,184.79861405697844,195.2896517294572,176.9979484208072,161.81808025373206,163.58095767990648,169.3013044993198,168.43590484948595,167.2881356589565,164.92903641594634,166.47580858275836,161.2185645839491,141.8966902021191,149.47765450880942,149.11525235822245
