"New Jersey Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",108.57076429442135,107.22907168613145,113.65658394030272,111.95182701042873,122.0828238405294,120.71420475353837,123.20943532150558,123.4772345482355,119.04569288019476,123.42814448152532,122.49154325396772,118.26102829558359,117.34858223443987,119.73950400544139,122.513632723325,124.60502181073613,119.3195697764287,125.55410261762798,119.1881712251061,109.43124993946941,105.0239867801887,103.29644576108592,97.91978711262911,98.92140171725251,105.06441247233377,102.73142842462066,104.75437874923922,98.24023229613738,102.32741515898881,100.09696993349279,82.38964073521889,87.97200702252249,90.94708913197441
"Industrial processes and product use",2.685791496732678,2.570721244981333,2.7319559863574656,2.8214606065147394,2.686065961806389,3.129612188276485,3.4143110107810535,3.74656567686419,3.8527198906308215,3.9449845009821947,4.181123102500217,4.249391758298013,4.367858680379315,4.310146498899966,4.563855479187903,4.53007367124377,4.691095404530641,4.968909234021356,5.16070588850667,5.025370766779836,4.522856696321535,4.727900098624205,4.845498154224414,5.473216542606426,5.819718107275361,5.636904269355058,5.158199655273997,4.552692449524806,5.322401054112115,5.047122332417542,5.5973776043511405,5.784731643427006,6.037495325602748
"Waste",4.716313454374309,4.207988705012243,4.3403316009397646,4.0646869951469276,3.946230111751347,3.5179410592831566,3.433161119348393,3.1671616089926418,2.872360828469542,3.0194321807528626,3.302744024396082,3.048244427538219,2.997809633717041,3.085143051858233,3.087501047311803,2.9219028291635527,2.965644617138639,2.896817121130102,2.7556105890992177,2.6866596378169163,3.5157920016962834,3.3679927089177095,3.223437377272515,3.319258351954007,3.2656422419374955,3.3041553524807266,3.140029895296068,3.0440705963815233,2.8503201588338634,2.7824365983399857,2.691682787903815,2.5590667052637897,2.5323909681049197
"Agriculture",0.5425605265472419,0.5541807698779436,0.5122370689628911,0.5141332388313363,0.501693587501364,0.4603741186101261,0.529748604141725,0.46544343229508395,0.4375215352227424,0.5201163776317773,0.4285143259829634,0.44765055028841433,0.4579894459033995,0.42598787067560806,0.41450648732275613,0.4022636393087142,0.4133740214366952,0.40534001443823603,0.4174096459998139,0.4325750818413041,0.3946784944445285,0.38935999049858766,0.39635399349049855,0.40437370061671296,0.3760308734367006,0.385057292514293,0.4059090600356015,0.3800086813977278,0.41939352115863265,0.39800569015168374,0.3707768965371166,0.3721951849142091,0.36246115715232513
"Land use, land-use change, and forestry",-5.456213791396155,-5.514519757423671,-5.484621701958045,-5.4666257934425095,-5.401853561938067,-5.362274889262459,-5.381698824055529,-5.4036830649511005,-5.48231515204247,-5.5477270530771134,-5.641946021813587,-5.696684160793782,-5.726841722486517,-5.754467659768623,-5.819914788564173,-5.911926874546324,-5.927838928772628,-5.957824150184227,-5.9667142595465545,-5.946198269106113,-5.998768525463969,-5.881861965171978,-5.92408403378068,-5.857312415927884,-5.9091106187885805,-5.8712734500129375,-5.819418694818003,-5.931870009596836,-5.838605586760831,-5.786465205966184,-5.859199886207473,-5.7811808069558825,-5.736440089381996
"Net total",111.05921598067944,109.04744264857929,115.75648689460479,113.88548205747922,123.81495993965042,122.45985723044568,125.20495723172122,125.45272220143632,120.7259799824754,125.36495048781505,124.76197868503341,120.30963087091446,119.44539827195311,121.80631376710659,124.7595809485833,126.54733507590585,121.46184489076204,127.86734483703344,121.55518308916525,111.62965715680134,107.45854544718708,105.89983659395445,100.46099260383585,102.26093789650177,108.61669307619476,106.18627188895779,107.63909866502689,100.2851340138446,105.0809243063326,102.53806934843581,85.19027813780349,90.9068197491716,94.1429964934524
"Gross total",116.51542977207559,114.56196240600296,121.24110859656284,119.35210785092173,129.2168135015885,127.82213211970814,130.58665605577676,130.8564052663874,126.20829513451787,130.91267754089216,130.403924706847,126.00631503170824,125.17223999443962,127.56078142687521,130.57949573714748,132.45926195045217,127.38968381953467,133.82516898721767,127.5218973487118,117.57585542590746,113.45731397265105,111.78169855912643,106.38507663761654,108.11825031242965,114.52580369498334,112.05754533897073,113.45851735984489,106.21700402344143,110.91952989309344,108.32453455440199,91.04947802401097,96.68800055612749,99.8794365828344
