"Illinois Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",203.60327998904557,205.27455302904642,201.31734049231633,215.28476980135335,217.8803816585803,222.73081710942603,234.56845329067383,240.11982013737912,227.200282243261,235.69547753833223,245.1067089951917,235.76493777242263,240.3622826963474,240.4989176102689,248.17420379684606,252.4226037769088,245.30389514640908,250.15749619450625,250.64274368632266,235.7167583295706,240.86521434966963,237.25762044195133,225.05236367156255,239.15093211849612,241.25341979308834,227.68894517022798,212.24372901537245,208.51341348369527,214.73023181100555,204.15565693645328,171.21683060416845,186.3318244495332,186.6875061935032
"Agriculture",25.153532018776485,22.12067895015527,20.97300293031593,23.542991652081078,22.978538535586456,22.41092534409984,23.898716482560573,20.93338205693699,21.880088425898013,22.638707618306654,22.21397664949716,22.332693471255336,23.705590991647284,22.540227246378098,21.37951173509266,20.970326496699933,23.20320482717284,21.260705506362115,23.776164740364635,22.024249514774986,22.45554654295276,21.33168729533095,21.909557680647133,23.70246176822628,25.2356152185074,24.070796852418788,22.932282609163128,23.054794725871243,25.792923742333194,22.381436541873537,21.611991541165214,22.075344302510015,21.568251258299778
"Industrial processes and product use",20.573022342766603,20.312560279304815,20.94166940315077,21.117865711630632,21.87765631862549,23.442129226035945,25.459790247053053,26.86701917154161,27.42444363872937,28.575501526519748,28.943175513375063,28.156011453577133,29.54460891354841,29.38066602114619,23.032919527492954,21.908862941250625,20.75347121592449,18.689093162228254,17.222733622771486,13.082336018404247,12.936981860765659,12.403613233921682,12.344388824852583,12.89154223360393,10.833848121299374,11.327285130591616,10.503467387257471,10.763946384503443,9.76903142319564,9.878215391091084,9.541465538434021,9.799753887702833,9.674397085514387
"Waste",13.856652445060039,13.38080858880389,13.227489511335365,12.74588011493748,12.489535623918291,11.837973253353248,11.321756241409359,10.406867916019154,10.513107679384692,10.463091049076986,8.895678881604004,8.71760822468413,8.833811433162932,9.205629228664476,8.8355777020656,8.55991122744102,8.6285760516278,8.241587345620136,8.186276005578984,8.049409286747318,7.409247059488041,7.059147623722388,8.068789106002267,7.091912573015141,6.989720103565321,7.059728110187662,6.94713265598529,6.546863870723718,6.50697126244166,6.299350972641691,6.884472489747182,6.78777754191607,6.678319861616652
"Land use, land-use change, and forestry",-9.1628738272929,-10.473837177363574,-10.129493156450508,-7.925640131003997,-10.957727110973938,-8.278074021328003,-11.959522714139926,-11.425783926401362,-10.28877106433447,-12.796934079687109,-13.14431489978395,-16.222678197739096,-14.81836209392948,-13.648725828199513,-15.102714220955242,-15.309818108301105,-12.498247699427221,-14.557170486816917,-14.676070497032423,-14.00679415102144,-14.082555076823862,-17.441623185179584,-15.265113269861777,-11.088820969498027,-14.923923494925525,-15.963189111473849,-14.512652764530197,-14.309275015721479,-13.240836160958262,-14.098316803091041,-11.445535782964313,-14.095060728663091,-13.961204146355064
"Net total",254.0236129683558,250.61476366994685,246.3300091806679,264.76586714899855,264.26838502573656,272.14377091158707,283.2891935475568,286.9013053554755,276.72915092293863,284.57584365254854,292.015225139884,278.74857272420013,287.62793194077653,287.9767142782581,286.31949854054204,288.5518863339993,285.39089954170703,283.79171172189984,285.15184755800533,264.8659589984757,269.5844347360523,260.6104454097468,252.10998601320273,271.74802772384345,269.3886797415349,254.18356615195225,238.11395890324815,234.56974344907218,243.55832207801777,228.61634303896855,197.80922439055053,210.899639452999,210.64727025257892
"Gross total",263.1864867956487,261.08860084731043,256.4595023371184,272.69150728000255,275.2261121367105,280.42184493291506,295.24871626169676,298.32708928187685,287.0179219872731,297.37277773223565,305.15954003966795,294.9712509219392,302.446294034706,301.62544010645763,301.4222127614973,303.8617044423004,297.88914724113425,298.34888220871676,299.82791805503774,278.87275314949716,283.6669898128761,278.05206859492637,267.3750992830645,282.8368486933415,284.3126032364604,270.1467552634261,252.62661166777835,248.87901846479366,256.799158238976,242.7146598420596,209.25476017351485,224.9947001816621,224.608474398934
