"Arizona Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",66.72127975226164,67.30143686273095,70.37574274584148,72.75308117091468,75.735371514496,70.59515839521607,72.38796501119457,77.15741370223206,80.81097496898636,84.66141707181183,90.18709817131025,92.40654142219675,92.28894286748786,93.87119502267777,100.63303143003697,101.3079083126785,104.22556334359612,106.09616624862653,106.3963972621535,96.93142280169457,101.8709354329097,99.68952227030815,97.24333652266981,100.42246805025529,99.0181253988744,97.06783689219358,92.60134586282527,92.01332022147085,95.83900949311229,94.17559088608986,82.26398029833864,85.13245499503792,83.67372731874079
"Agriculture",7.414314459790615,6.563487843755659,7.414492579512567,6.9389518006352535,6.925830161284836,7.07054445698452,7.085730750070795,7.261184141296801,7.517565715434342,7.558827032128488,7.015003111426394,7.269535718471635,7.0774875785540585,7.519248266755956,7.734288090994388,7.7854304662411655,7.9833301762952145,7.996131734977144,8.441307851002795,7.889704198870004,7.85181246705191,7.417680565018745,7.739884129568651,7.780212811479813,7.7411386046647515,8.063642599166933,7.726300404891248,7.738172803136616,8.00658542881194,7.872527693321232,7.16381444717932,7.384512402375853,7.242304941926916
"Industrial processes and product use",2.125524107998352,2.078944719229371,2.0861389261534544,2.3773203385098896,2.6232851958096495,3.026477940327315,3.297676616479029,3.3462762891147966,3.6129379215527972,3.694124870631873,3.5703911656459137,3.3018930938931783,3.34791162353065,3.5148642171800795,3.619330733785727,3.6844310457457197,3.928594599286385,4.041719664727569,3.944606375794085,3.868282338072907,4.844410603216559,3.8195516888910537,4.343223684087694,4.00850998473031,4.343235630328755,4.266322873219405,4.015594536680676,4.034996521281852,4.784190455348596,4.5631092724621825,5.139902155487096,5.275720525509887,5.37379546435355
"Land use, land-use change, and forestry",3.799165282285722,2.7903673155422446,4.449941879275853,2.532812467780653,3.853270206165934,2.6170976228519476,2.944043881438628,4.025678001444906,3.54568796987066,3.5990083462801215,4.31867631089873,3.0695165210501534,3.930217481653506,3.6496099673956537,4.5433884647035345,3.948154245323943,3.956079597829491,4.471068650981006,4.251600008289758,4.260811445791516,4.210797317075997,5.400900873551315,3.9029633802248505,4.44890041887225,4.479507364671532,4.777510415823031,4.137503629125131,4.011391457740067,4.619716474993916,3.0791172732019163,4.120953308318192,3.114430398599378,3.210944465589573
"Waste",4.2023609948778455,4.273877727888909,4.1534779238093575,4.262251251556437,4.195795601774701,4.235055497795754,4.0420329050914,4.148175248589918,3.779823970001024,4.185521425203839,4.258122070060084,4.042716562657062,3.948164770585131,4.042002394513502,4.270955241933268,4.349811604669899,4.114392220761272,4.025406274239602,3.858239605828142,3.747197680797868,2.40150535370127,2.2964784481889566,2.555310179392138,2.5074323068325794,2.7786978243520313,2.6709738738426143,2.745238133117907,2.5657789037091154,2.628479711584611,2.754178394104978,2.32797660091728,2.349275387082031,2.321086511283402
"Net total",84.26264459721418,83.00811446914713,88.47979405459272,88.86441702939692,93.33355267953111,87.5443339131756,89.75744916427442,95.93872738267848,99.26699054584518,103.69889874605614,109.34929082934137,110.09020331826878,110.5927243218112,112.59691986852295,120.80099396145388,121.07573567465924,124.20795993776848,126.63049257355185,126.89215110306827,116.69741846522686,121.17946117395545,118.62413384595823,115.78471789594313,119.16752357217025,118.36070482289148,116.84628665424557,111.22598256664024,110.3636599073385,115.87798156385136,112.44452351918018,101.01662681024052,103.25639370860506,101.82185870189423
"Gross total",80.46347931492845,80.2177471536049,84.02985217531686,86.33160456161626,89.48028247336518,84.92723629032366,86.81340528283579,91.91304938123358,95.72130257597452,100.09989039977603,105.03061451844265,107.02068679721863,106.6625068401577,108.9473099011273,116.25760549675034,117.1275814293353,120.25188033993899,122.15942392257084,122.64055109477852,112.43660701943534,116.96866385687945,113.22323297240689,111.88175451571828,114.718623153298,113.88119745821994,112.06877623842254,107.0884789375151,106.35226844959844,111.25826508885744,109.36540624597826,96.89567350192233,100.14196331000568,98.61091423630465
