"District of Columbia Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",4.791255280830871,4.669953890310876,4.792933784089721,4.992898766590284,4.914347875763207,4.722260565132369,4.665606843249519,4.580523067615725,4.40035181570376,4.412546527454179,4.647471173686934,4.486947040715456,4.642100748081822,4.34570187629512,4.365932755739897,4.571502067806481,3.6218312791044167,3.7541520086699376,3.4757379583688746,3.509670556009874,3.6038793387142927,3.317176446588595,2.7703260973152464,2.9597197015937877,3.1426869597551987,3.0855155363482587,2.88967498241003,2.689291331725655,3.684483197398728,2.922006479698213,2.5010134092329563,2.629032861860048,2.691058292087213
"Industrial processes and product use",0.04211413471590238,0.03966944541689078,0.04161112920551054,0.050261779532664995,0.06452471808015306,0.09820459200323606,0.11887984309317576,0.13727174379347334,0.15220207834433014,0.16869411534915965,0.17163475257926641,0.1821515090468248,0.1890656565261745,0.19125805015655883,0.20221266597322962,0.2117564493818248,0.2269870502982626,0.24129162585106423,0.2513783072431326,0.26469134247962384,0.2700181382238206,0.3287609090907689,0.3446907285839134,0.39928930151296516,0.5083468610783751,0.4487495994816049,0.49284508702867613,0.44846947272782706,0.4456137001995233,0.4628710602127025,0.41027188435174106,0.4580886432762835,0.45161747125043117
"Waste",0.07402884997312108,0.07395924116543748,0.07406614389205879,0.0730216775343177,0.07226058822419852,0.07013150270568008,0.06864998892687063,0.06740840254617461,0.06728346578403027,0.06847045099590937,0.06852256160135041,0.06637743891952883,0.06486078945172542,0.06382952368212425,0.06304413454445063,0.06229101159731244,0.06282463197780049,0.06260103951799967,0.06218751592992797,0.061784728842136476,0.06213372885474957,0.06442887949274888,0.08770050571358484,0.06740819940974277,0.0682255347606936,0.06933403991999137,0.07036903552778567,0.07113862135346244,0.07216420962851769,0.07257644563870999,0.06917634265550057,0.0677029387153661,0.06734839888708061
"Agriculture",0.0008128780962235381,0.0008989472025033829,0.0009003156414489474,0.0009272379967996457,0.0009820394501287358,0.0010248218021655874,0.00107077619613686,0.0011081844963654582,0.0011045817645302443,0.0011164593836234338,0.0011175873277525904,0.0011169531279909448,0.0011447499218071688,0.0011619087666468316,0.001191665542411664,0.001180935248068411,0.001205955284316768,0.0012271377869295039,0.0011901093475691633,0.0011763813382101116,0.0011892998614370432,0.0012276565020545385,0.001258585701569551,0.0012741551135871806,0.0012697641417995257,0.0012933020002033981,0.001401372081469793,0.0014257624537294862,0.0013562314923161632,0.0013278956348550307,0.001224411719784277,0.001251447326666833,0.0012448846846570864
"Land use, land-use change, and forestry",-0.04316203571845468,-0.04284324117429073,-0.04082521549123787,-0.039117007659275525,-0.03728531041926009,-0.035893902263847324,-0.03604147269818525,-0.03508809689394482,-0.03565900080967577,-0.03665610560483158,-0.036958937633842226,-0.03740121870591871,-0.03671215252949661,-0.03641818299373979,-0.036344660029076624,-0.03640278316735529,-0.03658635880597537,-0.03636373769240283,-0.03737575605154619,-0.03758219994337795,-0.03696484286274851,-0.0366607582201857,-0.036201399169205464,-0.03616684380116114,-0.035898212598032,-0.035030892947629344,-0.03417314243028712,-0.03571078218570962,-0.035677742738510564,-0.03541183400003189,-0.03521215702818361,-0.0350101001550589,-0.034459891370002195
"Net total",4.865049107897663,4.741638282921417,4.868686157337501,5.07799245399479,5.014829911098428,4.855727579379603,4.818165978767516,4.751223301557793,4.585282940786976,4.61417144757804,4.851787137561461,4.699191723103882,4.860459791452033,4.565533175906711,4.596036561770913,4.8103276808663304,3.876262557858821,4.022908074133528,3.753118134837958,3.799740808726466,3.9002556627915514,3.6749331334539814,3.1677745181451087,3.391524513828922,3.6846309071380348,3.569861584802429,3.4201173346176743,3.174614406074964,4.167939595980576,3.4233700471844486,2.9464738909317982,3.1210657910233053,3.1768091555393796
"Gross total",4.908211143616118,4.784481524095708,4.909511372828739,5.117109461654066,5.052115221517687,4.89162148164345,4.854207451465702,4.786311398451738,4.6209419415966515,4.6508275531828716,4.888746075195303,4.7365929418098,4.8971719439815296,4.60195135890045,4.63238122179999,4.846730464033686,3.9128489166647964,4.059271811825931,3.790493890889504,3.837323008669844,3.9372205056543,3.711593891674167,3.203975917314314,3.427691357630083,3.720529119736067,3.6048924777500586,3.4542904770479614,3.2103251882606734,4.203617338719086,3.4587818811844806,2.981686047959982,3.156075891178364,3.211269046909382
