"Connecticut Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",42.75143535645638,42.14070242390334,42.09097448748239,39.75375732600805,39.17750188580243,38.290215092950405,40.93459277511695,44.416097649709315,41.64405423167043,42.54691935025898,44.797109852432925,43.18122050204264,41.33257373040621,45.02102457541491,46.846106506659815,45.02918538479388,42.98537806557931,42.0205365329593,38.703980760223125,37.60334635035357,38.268606449474085,37.02599905010991,35.77002378197756,36.20431345228177,36.62497104491093,37.78538770730573,35.39069678975979,34.76060053786154,38.479483160441,37.91723531642932,35.1366853740513,37.4349177281014,38.197521976465616
"Industrial processes and product use",1.6092989705773169,1.4789514526282723,1.518097369427547,1.5207638856594226,1.6119309846921948,1.8550345894815896,1.9499545222418941,2.0736487755514714,2.032897805212005,1.9745140352469706,2.1158316075503065,2.1256598693237647,2.1834507054657855,1.9887256294544002,2.2159571449354516,2.141761046754827,2.2015404673691723,2.2605107784266156,2.317274191710629,2.0370934004442827,1.5944482464105854,1.6499625835955296,1.6988939073561198,1.9388810990368348,2.150260318568979,2.116176835195131,2.1075982649885674,1.8256177172937396,2.004249936433165,1.933336495006403,2.1244754111851036,2.2059929323045586,2.287672186102543
"Waste",0.6423348751943975,0.6157826083022404,0.5869176127213847,0.5767726517294534,0.5754579610845889,0.5897971119481766,0.5891575413963089,0.5799431695099773,0.5751759859255596,0.5885756340654279,0.6060949387473183,0.5903177648766423,0.5858035297338955,0.5967077311872689,0.599867436974707,0.606757479789674,0.6036540394993495,0.6064686180090036,0.5954919805397649,0.6160634706940715,0.9059064523513427,0.6765473231767009,0.6477783427673945,0.6893783601938376,0.6606126055417628,0.6383984978737868,0.6064741981849371,0.6201648078207931,0.6108395386681414,0.6357659867608274,0.6137150523818067,0.6026561428390402,0.5993833579510397
"Agriculture",0.38454064256853643,0.36978620505726273,0.3667688290173951,0.37130877531684453,0.38948957744537965,0.37806070141577797,0.36094812686986594,0.3628720521953129,0.383435596046888,0.3904081094030912,0.36892268324628774,0.35994318811053533,0.3945273687009761,0.3479453745193157,0.3299818418221316,0.310623911740875,0.3229359841669016,0.31025869227731273,0.3246290389389344,0.3169241544383671,0.3049145068568889,0.3183593948270597,0.32596834377705985,0.3182328922644793,0.30388092496618735,0.3157103087319553,0.34729799161431674,0.3527395472411357,0.35331349872720424,0.3306682690095316,0.3726440429410734,0.3327531076289822,0.3308422515150534
"Land use, land-use change, and forestry",-4.650217520065345,-4.650562055113186,-4.672880372543101,-4.675868860457224,-4.639316416243274,-4.608758696265367,-4.631992175986951,-4.642258540528049,-4.6643905240830925,-4.68359691144405,-4.614762456725129,-4.595525294816314,-4.564517443246169,-4.495286791713538,-4.47998746776386,-4.474374341704273,-4.48034804567596,-4.505732508145309,-4.549950897465046,-4.594315306327414,-4.586225084174628,-4.566974377329645,-4.547485111208461,-4.572664596307603,-4.5965570726389995,-4.566534300556116,-4.531356249873403,-4.595181771476303,-4.5562964982035385,-4.582644941012307,-4.567140843433409,-4.537843953855053,-4.519676744040783
"Net total",40.73739232473129,39.95466063477793,39.88987792610561,37.54673377825655,37.115063992781316,36.50434879953058,39.20266078963807,42.790303106438024,39.971173094771785,40.81682021753042,43.27319662525171,41.66161602953727,39.9318378910607,43.45911651886235,45.51192546262824,43.61395348137498,41.63316051093877,40.692042113526924,37.39142507394741,35.97911206960288,36.48765057091828,35.10389397437956,33.89517926466968,34.578141207469315,35.14316782134886,36.289139048550496,33.9207109946742,32.9639408387409,36.891589636065966,36.234361126193775,33.680379037125874,36.038475957018925,36.89574302799346
"Gross total",45.387609844796636,44.605222689891114,44.56275829864872,42.222602638713774,41.75438040902459,41.11310749579595,43.83465296562502,47.43256164696607,44.63556361885488,45.50041712897447,47.88795908197684,46.25714132435358,44.49635533430687,47.95440331057589,49.991912930392104,48.088327823079254,46.11350855661473,45.19777462167223,41.941375971412455,40.573427375930294,41.073875655092905,39.6708683517092,38.44266437587814,39.15080580377692,39.73972489398786,40.85567334910661,38.45206724454761,37.55912261021721,41.4478861342695,40.81700606720608,38.24751988055928,40.57631991087398,41.41541977203425
