"Maryland Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",70.2437215141243,68.87273499870523,69.29718253210119,71.52732205206152,72.724860444594,72.15882904630631,74.37148729339827,75.29877292072234,78.06273873628906,80.56942640396197,80.5587352726277,81.34360972182814,81.69857132199083,84.4924813784562,85.12762559247697,86.44887048847114,80.06934117641711,80.63320959610897,76.27715725333958,73.17760355119785,72.76451579994851,67.7948790488319,63.988558372291244,63.2455845441641,65.93944003505999,63.91040903891619,62.04790718008932,56.305559604485296,62.847651234652886,58.11281256561718,48.92559244531081,53.97952738748469,51.906900224405994
"Industrial processes and product use",7.448868270694,6.680695239250947,6.574283168160152,6.487614654923356,6.632213301416323,6.744056701554496,7.322752171933697,6.279785157946236,4.725129572040385,4.413833147266314,4.95272531732581,4.567838704148712,5.114678129425925,4.776541832907541,5.268706915473095,5.2217097627325275,4.764755869507529,4.966573214436296,4.224034025933062,3.6732074079166273,3.6494982082121004,8.27191360178519,4.032629048578455,4.392436244888194,4.865227369614423,4.9144626103974876,4.8117756472921265,4.462863885627765,4.6882944279137995,4.65745407496118,5.168376026791262,5.239842966635404,5.409137714143125
"Waste",2.7431147080280076,2.7276232438086945,2.7127376966961587,2.743217891361489,2.5850358970595146,2.293364662757395,2.1247409113560827,1.9569371492841876,1.7504214499887203,1.7824011232840071,1.651922744824948,1.67372503997658,1.7279078805807917,1.779226969435959,1.742371997046682,1.6290240730138812,1.6106504550590124,1.5719157688069765,1.5437384532030487,1.4541660455615553,2.5482203655128512,2.4367641981706667,2.1370538357200486,2.0187568763840993,2.1761698708317643,1.9794461652928235,2.0344341756870628,2.1261629210475776,2.0998495455159008,2.1396267334157804,2.097608397228732,2.058226416147682,2.076854723786198
"Agriculture",1.880332011293219,1.8886796837469562,1.9431941026618396,1.9481227133138848,1.903801087206082,1.978795735974662,1.923566888950773,1.7635723899625781,1.7409896326436451,1.7480420597427515,1.9933149963638273,1.778043662959599,1.8435122357884928,1.7132608495335737,1.7883210196586283,1.7553290776054287,1.5927685648511405,1.520313447266064,1.6020567356600455,1.5899804964852553,1.4055268513853336,1.5565529605358308,1.5705560827384029,1.5025179773495776,1.5457497842590047,1.4680775824221022,1.4823379695380934,1.6052816962859275,1.7312245593024231,1.490894074300239,1.467478860358668,1.473212587926231,1.4288395286685023
"Land use, land-use change, and forestry",-7.954675848663571,-8.02772748522877,-7.82940585545522,-7.77351968826592,-7.6664111638509675,-7.575232408403722,-7.506685755678185,-7.58363697939255,-7.570804976611287,-7.403339963331903,-7.189856458068448,-7.065963830326337,-7.060696579153935,-6.919944943689074,-6.871634817176232,-6.93437322447218,-7.096379330405286,-7.144851589448452,-7.13483336103252,-7.179058729678814,-7.405017165920396,-7.258834858694818,-7.222011600447837,-7.142923690715185,-7.152006364554365,-7.1715422553498485,-7.194530622633327,-7.230686539437761,-7.193096325224042,-7.14675317259728,-7.083605641067777,-7.240787021213854,-7.142641261897463
"Net total",74.36136065547595,72.14200568028306,72.6979916441641,74.93275762339434,76.17949956642495,75.59981373818914,78.23586150996064,77.71543063852279,78.70847441435053,81.11036277092315,81.96684187307383,82.2972532985867,83.3239729886321,85.84156608664419,87.05539070747915,88.1205601773508,80.94113673542951,81.54716043716985,76.51215310710322,72.71589877148246,72.96274405913839,72.80127495062877,64.50678573888031,64.0163719520708,67.37458069521081,65.10085314167875,63.18192434997328,57.26918156800881,64.17392344216096,59.2540342756971,50.5754500886217,55.51002233698015,53.679090929106366
"Gross total",82.31603650413952,80.16973316551183,80.52739749961933,82.70627731166026,83.84591073027592,83.17504614659286,85.74254726563883,85.29906761791534,86.27927939096182,88.51370273425505,89.15669833114228,89.36321712891304,90.38466956778603,92.76151103033327,93.92702552465538,95.05493340182298,88.0375160658348,88.6920120266183,83.64698646813574,79.89495750116127,80.36776122505879,80.06010980932358,71.72879733932815,71.15929564278598,74.52658705976518,72.2723953970286,70.37645497260661,64.49986810744657,71.367019767385,66.40078744829438,57.65905572968948,62.750809358194005,60.821732191003825
