"Texas Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",642.4207240819585,636.1583436217929,638.4220623455616,650.6631186619084,653.5486141759999,654.0924095895729,693.6052743525645,706.2081037662698,716.7687300567197,705.8190387960354,741.5256797051397,731.9535229248506,744.523316987326,737.9338763437099,736.9720931617094,713.6202089420811,719.6140377492861,718.8549399177657,701.0758762706957,654.8135877829367,674.3981943810061,699.6939682199791,694.7364131046214,745.6951995258188,747.7251238136715,732.7576532977052,714.0663203443291,720.0390092381034,746.3187607402153,742.6630017567646,678.0843554889307,721.1170503071723,725.1293918331344
"Agriculture",60.175072697780955,62.21793724611317,61.78298743076978,62.175734472508154,63.43629418361611,65.03778278685587,66.13935044604797,61.51526075840792,62.47132577045611,59.406802234944806,61.332385121468725,59.7831390234713,62.724598480102,60.24179830513311,61.00045157838836,57.41125482643104,58.04630107090256,60.57369320625587,57.35600763964847,60.35799144540726,59.76389028472042,55.18130039772513,55.92301491769629,56.97909584105101,55.16743720724636,58.208404759833954,57.13503834628429,58.7456176364727,60.57085626161117,58.4059520523687,59.03821666118187,59.60607894656125,58.53289058646139
"Industrial processes and product use",40.7495834786481,40.418717158730644,39.635796207386726,40.93377187586274,43.92369167799788,48.5726123815979,50.5300995385699,45.531612104607916,42.47190404377109,43.61327228676715,44.620757095848134,41.88418761366073,43.76579944900948,43.96897390351744,45.48827129459825,43.4890405518561,45.14314427922009,46.184141074040895,42.35911505989753,40.34513131899167,44.05051904295653,45.60481985454802,43.780809789492956,43.78359734609694,44.961164546769226,46.66985070544165,47.23308228812301,50.9421456827928,52.48725656600071,53.39939732372505,54.19163079198598,56.98676458885207,57.78235304000621
"Waste",22.43945739632572,22.808828576403034,22.560628257340216,23.262176551474575,22.57524545749251,22.165718596992562,21.29733079178571,19.37490751300336,17.559185667529977,16.632117198192756,16.682974469932304,16.411425979349172,16.170468569813444,16.35215215142436,15.805683102676763,15.289473427904381,15.400786457478624,16.02364060476058,16.1598675931562,16.18278894235619,17.47995089019859,17.124561793021414,16.64711127664604,16.00262100685643,16.15943903320703,16.80355296142066,17.018095444665903,16.897854779333194,17.6027038143085,18.05788356698216,16.536277668831595,15.413759638549719,15.226371101681586
"Land use, land-use change, and forestry",-66.845200853153,-64.86878091695147,-66.16483557614127,-69.07842174420898,-66.27837679673621,-61.406456224498626,-64.25693540433302,-60.46321672322963,-66.19282814793604,-57.046479867382835,-64.42553944061473,-59.682476400738665,-55.551652784351226,-56.086561916696105,-55.463518504644625,-57.34872599999991,-57.401031678559484,-49.52693907552318,-57.020191415178374,-50.592680836264506,-44.82704570027335,-54.84903756467341,-40.484669226286286,-44.68063462020201,-43.164178401671045,-43.88578577790084,-42.288030185792074,-42.620695807860976,-43.03147010896969,-40.30692572237902,-42.38704154492189,-43.34221467897006,-41.70387896014974
"Net total",698.9396368015603,696.7350456860883,696.2366386649171,707.9563798175448,717.2054686983703,728.4620671305206,767.315119724635,772.1666674190593,773.0783173905409,768.4247506485574,799.7362569517743,790.3497991405932,811.6325307018998,802.4102387870886,803.8029806327281,772.4612517482726,780.803237878328,792.1094757272998,759.9306751482196,721.1068186534272,750.8655088986083,762.7556127006003,770.6026798621704,817.7798790996212,820.8489861992232,810.5536759465006,793.1645062376102,804.0039315288411,833.9481072731661,832.2193089774614,765.4634390660083,809.7814388021653,814.9671276011338
"Gross total",765.7848376547132,761.6038266030397,762.4014742410584,777.0348015617537,783.4838454951065,789.8685233550192,831.572055128968,832.6298841422889,839.271145538477,825.4712305159402,864.161796392389,850.0322755413318,867.184183486251,858.4968007037847,859.2664991373728,829.8099777482726,838.2042695568874,841.636414802823,816.950866563398,771.6994994896918,795.6925545988817,817.6046502652737,811.0873490884567,862.4605137198232,864.0131646008942,854.4394617244014,835.4525364234023,846.6246273367021,876.9795773821357,872.5262346998404,807.8504806109302,853.1236534811354,856.6710065612835
