"Mississippi Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",52.12018974314667,50.939349435678864,51.14183246691842,53.21402321934486,52.679127923236834,54.739761167257015,57.430361358740605,58.477722990993335,59.978285914561376,64.96421602440115,64.84154605746019,72.707361070134,65.2376135177473,66.53314476949737,67.80630567747822,66.38282157269022,68.0158373578255,69.20949288730948,66.18849112042872,61.149131043744596,65.61254028382486,60.53223427524121,62.086552326919396,59.203588608551804,62.38725164126178,62.968654733247014,64.26724664690079,62.04835521751759,65.34996143287714,64.49044912943823,64.89079956207486,65.33096194730471,67.6496316074693
"Agriculture",7.806725410620767,7.833849813247031,7.77750355292713,8.023155867415628,8.02428828090346,7.74376174874977,7.831186804642858,7.553374709041105,7.950334086309781,7.298906655461445,7.7262114685652294,7.96202883560519,8.390551719523696,8.318704774424791,7.3114154064040955,7.8127941511556,7.339786850956594,7.357317380736097,7.50512341327285,7.172770793108041,7.449477062098436,7.1290601678182774,7.489326033559989,7.643999146628907,7.193599009483117,7.931038466351538,7.603560454360304,7.046648445742371,7.34071515044002,6.956615782009935,6.9030941429350685,6.782146299408157,6.640684115726638
"Industrial processes and product use",2.699398565039443,2.8775049384636997,3.0964947224003225,3.1921778637021845,3.4151649476019745,3.6800390777502248,3.9883272703009203,4.148348091765755,4.198231952508204,4.384009011359995,4.241775805283778,4.04749386630878,4.258052353409838,4.289691449524137,4.5151155088325785,4.607126346787379,4.912968536859841,5.364901584861353,5.0992461354676495,4.659145036218178,5.304751431901169,5.007795756337265,4.719591636952139,4.8329336975780235,4.806117859737653,5.0559141396812555,4.538707766692252,4.715737560710003,4.2502014161963935,4.329654104195544,4.710622862049927,4.4466997664097585,5.0367207635647295
"Waste",1.801046256513446,1.907835674405182,2.015179893011317,2.071274633334845,2.4261157812584617,2.4499079685496645,2.7954469645289066,2.6363887688395176,2.531176924759334,2.263494127340195,2.1178845246268394,2.140396944486279,2.1015083528241685,2.2237021113836968,2.1585043038443934,2.189896238721871,2.2921196211596877,2.1772255177337407,2.246750871668816,2.193917303768976,2.806551413023122,2.492697979150884,2.559078615267256,2.601043750830902,2.557513995673994,2.5223068683174823,2.5288286033949037,2.542961983713542,2.693221192196009,2.6030228281227052,2.3240671261675727,2.1416910444823727,2.118336146390153
"Land use, land-use change, and forestry",-69.84052020459849,-69.54835925570214,-69.76807832193195,-69.8241990767332,-69.90907244251127,-69.93472846319789,-70.79157926294093,-70.3291411084749,-70.74470022594663,-70.53642090084763,-70.93371460617203,-69.64272340057762,-69.97333639644559,-69.2172062730895,-69.27130080371889,-68.71734573438879,-68.18036811434804,-67.62255608190777,-68.00705012838067,-67.79542031533154,-67.89567585694749,-67.75310126500086,-67.33598247322104,-67.54568147428266,-67.15444461563449,-67.44349119542231,-66.51032711637153,-66.21398464637606,-66.88714539883411,-64.78724680367746,-63.04862142575913,-61.904965506818115,-60.350380005376365
"Net total",-5.413160229278162,-5.989819393907361,-5.737067686674763,-3.3235674929356804,-3.3643755095105377,-1.3212585008912043,1.2537431352723587,2.4866934521648147,3.913328652192078,8.374204917715161,7.99370324976401,17.21455731595664,10.014389547059423,12.148036831740498,12.520040092840404,12.275292574966286,14.380344252453582,16.4863812887329,13.032561412457383,7.379543861508239,13.2776443339001,7.408686913546774,9.518566139477741,6.735883729306977,9.790037890522058,11.034423012174969,12.42801635497672,10.139718561307433,12.746953792875445,13.592495040088949,15.779962267468314,16.79653355078689,21.09499262777446
"Gross total",64.42735997532033,63.55853986179478,64.03101063525719,66.50063158379751,66.54469693300074,68.61346996230668,72.04532239821329,72.81583456063971,74.65802887813871,78.91062581856279,78.92741785593604,86.85728071653426,79.98772594350501,81.36524310483,81.79134089655929,80.99263830935507,82.56071236680162,84.10893737064067,81.03961154083805,75.17496417683978,81.17332019084759,75.16178817854764,76.85454861269878,74.28156520358964,76.94448250615655,78.47791420759728,78.93834347134825,76.3537032076835,79.63409919170955,78.37974184376641,78.82858369322744,78.701499057605,81.44537263315082
