"Virginia Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",119.43274928752304,118.54251546639821,120.19636946745224,119.1005805690501,116.86466410614726,115.14582195251887,120.9523826842973,121.43273655491423,122.69434883219921,125.15338193324361,132.1714043007333,129.51675898897565,127.57526515463299,133.07593947387318,136.56725626875624,135.34663081330535,129.5866257484791,134.77573041711537,122.83422442285077,111.72450851049138,117.24693746357623,106.75640759849148,101.97877299122501,109.67957370301309,109.80947559739315,110.54316871223911,112.64534912778251,108.28835709858596,112.17396049970421,107.50033259561599,102.27033193177331,102.1928097972,98.7801344816088
"Industrial processes and product use",6.043814767140276,5.703210148618582,5.758663205488566,6.235502782786052,5.466411340398629,7.045038485251591,7.1826392542190165,7.5633533858034205,7.685096111810357,7.745170017751181,7.5665079396269,7.210327696063749,6.955353864041448,7.008041732694493,6.199706520504319,7.69082509454883,7.276077578783718,7.445652382469823,7.618002669556679,6.571834137509303,5.885238489632385,5.934981723253117,6.1177414957428455,6.669653427316065,7.056306780318938,6.916576833262907,6.989986069353244,6.221356987310935,6.696983186067056,6.751470590479769,7.126311500643691,7.4212925807272905,7.514916904098326
"Agriculture",5.981394300669079,6.0718076978098035,6.246449571653588,6.0868467796788694,6.189743519692261,6.233409417876217,6.326772510096802,5.945479954882743,5.980098000415088,6.550466042671292,6.136309021827109,6.25557184916522,6.074060419774127,6.372610646455726,5.832743013490488,5.746696739880087,5.694123051637032,5.494697243075937,5.943468463068607,5.531904115312176,5.73846958630139,5.918184304300844,5.800602648145294,5.94807750374148,5.738269777428569,5.896413919325181,5.627984530203604,5.591408151328522,5.9565409764784105,5.428697101691976,5.497343077005406,5.2788423079498,5.278632683104558
"Waste",4.913685376768248,5.240382223032465,5.162202612576411,5.834904293725096,6.062473271185843,5.980062569773389,5.971868903010101,6.960044380857157,7.001098471603243,6.227123970837803,6.238126090040593,6.038243158996383,6.0825831666513634,6.604957211679666,6.352545993418029,6.089065424439081,5.90747727584886,5.81868908477703,5.8583028995956035,5.604626840890243,5.091240347997437,5.069867298980117,4.929376827315525,4.854459974030583,4.773021716051306,4.752441888835801,5.645069151958078,5.064248375689149,5.043484418444085,5.114373034975444,5.285455434000652,5.1088446731263195,5.042641264066705
"Land use, land-use change, and forestry",-45.14391479082105,-45.15462683369485,-45.21182273506983,-45.13323352823094,-45.0382377119409,-44.895403736099546,-45.069529919465154,-45.14706946207322,-45.24646240326758,-45.23562237347914,-44.56856576888927,-44.612716814093886,-44.67770559528887,-44.52860951686267,-44.05242469236027,-43.47816861291925,-43.47397120728967,-42.89499526945491,-42.11099021081958,-42.24432100668434,-42.2042945245379,-41.94935994214313,-41.879071418353846,-41.65621625881137,-42.068702598889125,-42.1770322047268,-42.20843632276137,-42.55346366288521,-42.65104987857886,-42.94627306127098,-42.23044803506249,-41.983356213232476,-41.36507708078196
"Net total",91.2277289412796,90.40328870216423,92.15186212210097,92.12460089700917,89.5450545254831,89.50892868932053,95.36413343215808,96.75454481438435,98.11417901276036,100.44051959102475,107.54378158333861,104.40818487910713,102.00955700981106,108.53293954784039,110.89982710380883,111.39504945925411,104.99033244745902,110.63977385798324,100.14300824425206,87.18855259751874,91.75759136296953,81.73008098288241,76.94742254407484,85.49554834928985,85.30837127230282,85.9315691489362,88.69995255653606,82.61190695002936,87.2199192021149,81.84860026149221,77.94899390836059,78.01843314577093,75.25124825209643
"Gross total",136.37164373210064,135.55791553585908,137.3636848571708,137.2578344252401,134.583292237424,134.40433242542008,140.43366335162324,141.90161427645756,143.36064141602793,145.6761419645039,152.11234735222789,149.020901693201,146.68726260509993,153.06154906470306,154.9522517961691,154.87321807217336,148.4643036547487,153.53476912743815,142.25399845507164,129.43287360420308,133.96188588750744,123.67944092502555,118.82649396242869,127.15176460810122,127.37707387119195,128.108601353663,130.90838887929743,125.16537061291457,129.87096908069375,124.79487332276318,120.17944194342307,120.00178935900341,116.61632533287839
