"North Carolina Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",115.37234803071932,114.61747594694437,125.23305012482855,130.57365024264314,126.31627921948002,132.19180204222906,144.17486229535467,145.9004881924695,146.42567790429678,144.94520375849308,153.14242425453844,147.92135638159257,149.19544402784732,151.41424061029375,153.9924537264271,157.81954640480473,152.69272154917644,157.18207724856762,150.56364219249338,136.4691417613028,149.6082854798342,135.16674105449,126.25940318943512,127.79220464489245,130.6916725267972,126.10547639396532,126.54957169016839,122.5767435759579,125.75613115054308,124.12765581642618,108.56447886153184,117.54620709191036,118.55226532316424
"Agriculture",7.285859403003955,7.657183290612335,8.16840348982946,8.549896064045878,9.810240119948523,10.865623468673087,11.712800076591485,11.707548568528493,12.194891381965135,11.815188322422047,11.175079709786203,11.24172930858815,11.65731124440991,11.611650585129661,11.823360841889068,11.513400576627888,11.44580212462045,11.590808988316864,11.337353078759476,11.04961986348093,10.690196080495047,10.790549460888077,10.447592731323994,10.311423324837687,9.865886431272994,10.625172320467717,10.699953964765209,10.954402845792114,10.868008426469114,11.020910604876404,11.007995146337734,10.192456209843,10.053379236003307
"Industrial processes and product use",3.149885898324113,3.0037987825319483,3.0682218265422736,3.155709771438461,3.407636644654757,3.9192659799904632,4.203738499077871,4.549770568435516,4.8980307213115415,5.116574961484992,5.671593436255906,6.424298479888568,7.101147797837953,7.0543368938299436,6.743298479148157,6.485854175923082,6.5989008689049005,6.8700019941332,6.921881555092476,7.280620611936933,6.774844242936999,6.415763875459883,7.3582131220630895,7.004462919382632,7.328343782796228,7.787941626362421,8.701305311184397,8.651838195608425,9.3827864748373,10.824889799359804,8.567448294580078,9.084969477876102,9.25365819355326
"Waste",3.4599791705399587,3.4917703640390845,4.619504568947507,4.993467018916121,5.0964567060327886,4.988023722214208,4.879265711713742,5.444131459036964,5.073402981325692,4.787700711207824,4.983013058799663,4.812382577296577,5.004558251791709,5.112819990771826,4.950560399514002,4.866119128818162,4.847304604730852,4.795322377133318,4.941476702861957,5.070748531231157,6.27281989858393,6.3682081093211576,6.2390224912572165,6.060699463670365,6.1324567773907654,6.189636363052435,6.623256385460984,6.656765700142929,6.963607083389684,6.774055405755552,6.683550558893357,6.747170243721955,6.666062515850249
"Land use, land-use change, and forestry",-40.65943910562729,-40.99588532038465,-41.08414830257552,-40.84056765510857,-40.60795753643928,-40.19930755848378,-40.22750031633308,-40.446117775625794,-40.60249651181542,-40.29244710864002,-39.657845823023045,-39.24142225862505,-38.3620387108665,-37.37841077637137,-36.814060645312324,-36.07577623026862,-36.88395834893219,-36.900527455466936,-36.56155745927036,-37.025092737972166,-37.250270405319064,-37.66853888053334,-37.34936405402705,-37.89683043596107,-38.137853093966285,-38.619697192974975,-38.59002508110873,-39.27856183670335,-40.21338947418784,-39.9603371338967,-39.379311563488805,-39.665784572907874,-39.241939551771004
"Net total",88.60863339696007,87.77434306374309,100.00503170757227,106.43215544193501,104.02265515367682,111.765407654623,124.7431662664047,127.15582101284468,127.98950647708372,126.37222064496792,135.31426463635717,131.15834448874082,134.5964226110204,137.81463730365383,140.69561280166602,144.60914405590523,138.70077079850046,143.53768315268405,137.20279606993694,122.84503802997966,136.0958752965311,121.07272361962578,112.95486748005236,113.27195991682206,115.88050642429089,112.08852951087295,113.98406227047025,109.56118848079802,112.75714366105134,112.78717449252122,95.44416129785421,103.90501845044355,105.28342571680005
"Gross total",129.26807250258736,128.77022838412773,141.0891800101478,147.27272309704358,144.6306126901161,151.96471521310679,164.97066658273778,167.60193878847048,168.59200298889914,166.66466775360794,174.97211045938022,170.39976674736587,172.9584613218869,175.1930480800252,177.50967344697833,180.68492028617385,175.58472914743265,180.438210608151,173.76435352920728,159.87013076795182,173.34614570185016,158.7412625001591,150.3042315340794,151.16879035278313,154.01835951825717,150.7082267038479,152.57408735157898,148.83975031750137,152.97053313523918,152.74751162641792,134.82347286134302,143.57080302335143,144.52536526857105
